"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","Ti_fit_OLS","Ti_lwr_OLS","Ti_upr_OLS","Ti_fit_WLS","Ti_lwr_WLS","Ti_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-0.257414791856384,-0.0128707395928192,2.27658167329825,0.113829083664913,2.29769377297246,1.48049199827623,3.11489554766869,2.31408605199618,1.49401389213365,3.13415821185871
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,0.686768692352828,0.0343384346176414,3.46000496422137,0.173000248211068,2.96289383081464,2.14436488547216,3.78142277615712,2.92356246139385,2.35423888731613,3.49288603547156
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,0.824978496711697,0.0412489248355848,3.41799088359356,0.170899544179678,3.06026597446199,2.24126420821146,3.87926774071252,3.01277776404739,2.48008109656389,3.54547443153088
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,0.96716070794504,0.048358035397252,3.40343813870372,0.170171906935186,3.16043677464895,2.34087466271792,3.97999888657998,3.10455728045706,2.60950593981861,3.5996086210955
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,0.73798500446097,0.0368992502230485,3.41974211894606,0.170987105947303,2.99897695909064,2.18028107209272,3.81767284608856,2.95662291471496,2.40087556328867,3.51237026614124
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,0.771278396052283,0.0385639198026141,3.39518452842468,0.169759226421234,3.02243295719131,2.2036233245994,3.84124258978323,2.97811400951073,2.43118984154532,3.52503817747614
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,0.56840300527259,0.0284201502636295,3.65515035574551,0.182757517787275,2.87950234684026,2.0613219181385,3.69768277554203,2.84715666192366,2.24644352416768,3.44786979967964
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,0.666477117676992,0.0333238558838496,3.44853782930146,0.172426891465073,2.94859792660341,2.1301324270596,3.76706342614723,2.9104641216312,2.3357607042529,3.48516753900949
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,0.591218346195258,0.0295609173097629,3.47649800748405,0.173824900374203,2.89557630529777,2.07733275228433,3.71381985831122,2.86188410875713,2.26722278826186,3.45654542925239
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,0.809576282118356,0.0404788141059178,3.27746032009325,0.163873016004663,3.04941474246128,2.23046917814153,3.86836030678104,3.0028355371348,2.46605863803007,3.53961243623954
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,0.576119326391839,0.028805966319592,3.11106361246329,0.155553180623165,2.88493868134589,2.06673712023345,3.70314024245833,2.85213759599863,2.25347129906177,3.45080389293548
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,0.135365685724049,0.00676828428620246,2.50828226049238,0.125414113024619,2.57441710140963,1.75706714120102,3.39176706161825,2.56762833393698,1.85195137753162,3.28330529034235
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,0.133599636998589,0.00667998184992946,3.015122851458,0.1507561425729,2.57317287744896,1.75582487247978,3.39052088241813,2.56648833831747,1.85034220470609,3.28263447192885
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,0.149942873431689,0.00749714367158447,2.10306154964954,0.105153077482477,2.58468708205266,1.76732053853275,3.40205362557258,2.57703800077797,1.86523360752063,3.2888423940353
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-0.159928776453093,-0.00799643882265466,2.79105440953946,0.139552720476973,2.36637502420127,1.54919021258556,3.18355983581699,2.3770138913708,1.58286004214476,3.17116774059683
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-0.174241178646928,-0.00871205893234639,2.18550134588112,0.109275067294056,2.35629159134482,1.53910651180328,3.17347667088635,2.36777514525329,1.56981639707716,3.16573389342941
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-0.500432904082291,-0.0250216452041146,2.14295889354511,0.107147944677255,2.12648164629057,1.30908311863412,2.94388017394702,2.15721632388174,1.27251512341643,3.04191752434704
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-0.541294984061352,-0.0270647492030676,1.94799705388227,0.0973998526941136,2.09769332450756,1.28024006809117,2.91514658092394,2.1308395928727,1.23526908933195,3.02641009641346
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-0.500775985790992,-0.0250387992895496,2.29171864681868,0.114585932340934,2.12623993694457,1.30884097571259,2.94363889817655,2.15699486246937,1.27220240491692,3.04178732002181
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-0.0354940444627302,-0.00177470222313651,2.4658517415306,0.12329258707653,2.45404229682561,1.63682758103383,3.27125701261739,2.45733729770676,1.69625933512722,3.21841526028631
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-0.504352495910792,-0.0252176247955396,2.32414360418252,0.116207180209126,2.12372019922584,1.30631669196432,2.94112370648736,2.15468620257175,1.26894241831344,3.04042998683005
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-0.281119041113116,-0.0140559520556558,2.43919218709465,0.121959609354733,2.28099355713476,1.46378229453466,3.09820481973486,2.29878480921225,1.47240978307197,3.12515983535253
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,0.445779122714901,0.0222889561357451,3.13071831485914,0.156535915742957,2.79311086135635,1.97523651583386,3.61098520687884,2.768002170347,2.13475260421413,3.40125173647987
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,0.0544541682416265,0.00272270841208133,2.33018627327574,0.116509313663787,2.51741298408546,1.70014065314215,3.33468531502878,2.51539943777555,1.77822493936875,3.25257393618235
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-0.460374800713394,-0.0230187400356697,2.11026402882057,0.105513201441029,2.1547035471432,1.33735262422332,2.97205447006307,2.18307408290514,1.30902772324612,3.05712044256415
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-0.414660006868332,-0.0207330003434166,2.22917985326574,0.111458992663287,2.18691072299255,1.36960681082304,3.00421463516205,2.21258327139976,1.3506955853612,3.07447095743833
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-0.503856003927957,-0.0251928001963979,2.98296008584771,0.149148004292386,2.1240699898134,1.30666711648557,2.94147286314122,2.15500669128612,1.26939497071133,3.04061841186092
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,0.2578229255979,0.012891146279895,2.20459742646051,0.110229871323025,2.66069118309991,1.84317726830933,3.4782050978905,2.6466752566075,1.96352528121403,3.32982523200097
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,0.170731482069427,0.00853657410347137,2.5311222929437,0.126556114647185,2.59933315868878,1.78194159389664,3.41672472348092,2.59045717910591,1.88417520575858,3.29673915245324
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,0.178684332363554,0.0089342166181777,3.32574649338332,0.166287324669166,2.60493613370808,1.78753457038343,3.42233769703273,2.5955907942589,1.89142138387976,3.29976020463805
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,0.52517425102084,0.026258712551042,2.92081758503462,0.146040879251731,2.84904664589905,2.03098050900924,3.66711278278885,2.81925222770645,2.20707088520173,3.43143357021117
