"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,1.20279716005192,0.0601398580025959,-1.86422786842431,-0.0932113934212157,-1.78873545117834,-3.94975397687978,0.372283074523095
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,0.604634674353541,0.030231733717677,-1.71198655087963,-0.0855993275439815,-1.95233012958275,-4.12008192164054,0.21542166247504
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,0.853578157269108,0.0426789078634554,-3.1787494568536,-0.15893747284268,-1.88424523626,-4.04869470008722,0.280204227567222
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,1.20533164124005,0.0602665820620023,-2.96515560122102,-0.148257780061051,-1.78804228227389,-3.94904105090685,0.372956486359058
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,1.03751932181509,0.0518759660907547,-3.0009071154618,-0.15004535577309,-1.83393817692628,-3.99640523023821,0.32852887638565
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,0.829744664001044,0.0414872332000522,-2.98402070684709,-0.149201035342355,-1.89076358664082,-4.05549841078238,0.273971237500748
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,1.39612175328062,0.0698060876640309,-2.99926384441743,-0.149963192220872,-1.73586206741877,-3.89558679797152,0.423862663133986
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,1.51873274602855,0.0759366373014277,-2.83740975011191,-0.141870487505596,-1.70232852693934,-3.86145684900901,0.456799795130335
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,1.26534823994082,0.0632674119970408,-2.29571340533187,-0.114785670266594,-1.77162801959757,-3.93218063351644,0.388924594321305
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,1.13022649716736,0.0565113248583679,-2.90290595262746,-0.145145297631373,-1.80858319245275,-3.97019890926256,0.353032524357069
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,0.760317845078883,0.0380158922539441,-2.89101768643517,-0.144550884321759,-1.90975150110515,-4.07535478234641,0.255851780136109
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,0.671755939441982,0.0335877969720991,-2.64991709904074,-0.132495854952037,-1.93397277344829,-4.10076418345355,0.232818636556976
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,1.20268478148842,0.0601342390744208,-3.02062322756074,-0.151031161378037,-1.78876618619666,-3.94978558964238,0.372253217249057
