depth	min	max	median	mean
38	228.61	645.49	424.29	429.03
38.1	230.52	649.13	427	431.55
38.2	231.95	652.69	429.89	434.07
38.3	233.33	654.18	432.53	436.59
38.4	235.51	659.02	435.48	439.11
38.5	237.72	662.38	437.96	441.63
38.6	239.76	666.21	440.32	444.15
38.7	241.45	669.23	442.93	446.67
38.8	242.38	673.89	445.5	449.19
38.9	244.23	678.1	448.22	451.71
39	245.96	680.04	450.7	454.23
39.1	248.69	683.04	453.37	456.74
39.2	249.73	685.29	456.09	459.26
39.3	250.81	689.31	458.8	461.78
39.4	251.57	693.92	460.77	464.3
39.5	251.72	697.26	463.24	466.82
39.6	252.86	700.19	465.49	469.34
39.7	254.15	703.87	467.84	471.86
39.8	254.33	707.16	470.36	474.38
39.9	254.51	711.82	472.58	476.9
40	256.3	715.85	474.68	479.42
40.1	261.65	716.48	477.86	481.93
40.2	265.37	718.04	480.77	484.44
40.3	267.41	718.77	483.61	486.95
40.4	272.05	720.68	486.4	489.47
40.5	273.99	722.12	489.21	491.98
40.6	275.61	723.73	491.72	494.49
40.7	278.29	724.91	494.42	497
40.8	280.65	726.69	496.99	499.52
40.9	283.18	728.8	499.19	502.03
41	286.2	730.91	501.72	504.54
41.1	288.84	732.74	504.11	507.05
41.2	291.78	735.84	506.66	509.57
41.3	293.62	737.56	509.59	512.08
41.4	296.92	738.72	512.79	514.59
41.5	299.81	740.73	515.3	517.1
41.6	303.86	742.84	517.95	519.62
41.7	305.94	745.99	520.72	522.13
41.8	308.48	747.37	523.31	524.64
41.9	310.52	748.28	525.56	527.15
42	311.73	750.95	528.26	529.67
42.1	313.41	752.51	531.67	532.18
42.2	315.6	754.95	534.09	534.69
42.3	318.4	756.45	536.88	537.2
42.4	320.31	759.11	539.06	539.71
42.5	322.27	761.48	541.37	542.23
42.6	323.82	764.59	543.93	544.74
42.7	325.08	768.03	546.67	547.25
42.8	326.26	771.07	549.26	549.76
42.9	327.88	775.73	551.85	552.28
43	328.86	780.18	554.8	554.79
43.1	330.97	782.3	557.11	557.3
43.2	332.35	785.03	559.88	559.81
43.3	335.07	790.18	562.53	562.33
