"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,0.0612534929321313,0.00306267464660657,-2.35569346780063,-0.117784673390032,-1.93590633843232,-3.29448210642055,-0.577330570444094
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-0.287116088306087,-0.0143558044153044,-2.28158728452907,-0.114079364226453,-2.02207149646022,-3.38076807578379,-0.663374917136643
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,0.232986004547765,0.0116493002273882,-1.8767742588832,-0.0938387129441601,-1.89343030206516,-3.25236667514856,-0.534493928981759
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-1.00301715709903,-0.0501508578549517,-2.41013124840174,-0.120506562420087,-2.19914128684097,-3.56166493614555,-0.836617637536387
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-1.12907169912629,-0.0564535849563143,-2.15420720085252,-0.107710360042626,-2.23031940949825,-3.59401334062063,-0.866625478375879
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-0.783858807200296,-0.0391929403600148,-2.30116536261147,-0.115058268130574,-2.14493502180187,-3.50577701235546,-0.784093031248288
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-0.78878435162471,-0.0394392175812355,-2.40878477289655,-0.120439238644827,-2.14615329784135,-3.5070281502002,-0.785278445482495
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-0.655539524695319,-0.032776976234766,-2.3537886537825,-0.117689432689125,-2.11319674196766,-3.47326269720677,-0.753130786728552
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-0.941323463238058,-0.0470661731619029,-2.41098513409386,-0.120549256704693,-2.18388207028721,-3.54588695015453,-0.821877190419892
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-0.694764740186011,-0.0347382370093006,-2.3621151976264,-0.11810575988132,-2.12289864211468,-3.48318544562595,-0.762611838603416
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-0.964619618075615,-0.0482309809037808,-2.55418602314753,-0.127709301157376,-2.18964410282715,-3.55184070125403,-0.827447504400275
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-0.211082090242188,-0.0105541045121094,-2.44154497946278,-0.122077248973139,-2.00326537270113,-3.36183817052981,-0.644692574872438
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-0.942348485340548,-0.0471174242670274,-3.73627901215626,-0.186813950607813,-2.18413559756456,-3.5461488064161,-0.822122388713024
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-0.355948588685022,-0.0177974294342511,-3.09360065047122,-0.154680032523561,-2.03909641365168,-3.3979519444326,-0.680240882870757
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,0.424930026282635,0.0212465013141317,-2.40362134581016,-0.120181067290508,-1.84595518409846,-3.20562267496466,-0.486287693232258
