"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,1.22334716733399,0.0611673583666994,4.72175456217983,0.236087728108991,4.80423979076895,4.07412825640406,5.53435132513385,4.80260748265868,4.09296356664212,5.51225139867523
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-0.0651417753043621,-0.00325708876521811,4.17931763056164,0.208965881528082,3.70387404561954,2.97100344519448,4.43674464604461,3.706175134118,2.94441179586591,4.46793847237009
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,0.419394950347769,0.0209697475173884,4.12144662046522,0.206072331023261,4.11766697587375,3.38977820946756,4.84555574227993,4.11848890917698,3.38018559146772,4.85679222688625
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,0.577870817184966,0.0288935408592483,3.95616439002135,0.197808219501067,4.25300489731795,3.52571643369526,4.98029336094064,4.25334304809379,3.52173959700494,4.98494649918265
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,0.337196740884978,0.0168598370442489,4.05893269852625,0.202946634926312,4.04746994816758,3.31906921008599,4.77587068624917,4.04854280962988,3.30657080139118,4.79051481786857
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,0.734878233890543,0.0367439116945271,4.276554046131,0.21382770230655,4.387088766694,3.65989182168053,5.11428571170748,4.38694761771028,3.66148605817024,5.11240917725032
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,0.536440591008446,0.0268220295504223,4.03811139333738,0.201905569666869,4.21762360673032,3.49022743885481,4.94501977460582,4.21808823240692,3.48478125010476,4.95139521470907
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,0.119988490181006,0.00599942450905029,4.06644417711947,0.203322208855974,3.86197474465495,3.13156435799805,4.59238513131185,3.86371068219686,3.11142513269977,4.61599623169395
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,0.39272797247085,0.0196363986235425,3.96969216864866,0.198484608432433,4.0948934556584,3.36685359067421,4.8229333206426,4.09579679579167,3.3563176052053,4.83527598637804
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,0.422049741409496,0.0211024870704748,4.25938344509466,0.212969172254733,4.11993415958653,3.39205964670125,4.8478086724718,4.12074798855467,3.38256097576965,4.8589350013397
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,0.170140963687013,0.00850704818435064,3.83419346924168,0.191709673462084,3.90480480865808,3.174942804512,4.63466681280416,3.90638764471601,3.15656195856391,4.65621333086811
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,0.685958065096261,0.0342979032548131,4.16219030874498,0.208109515437249,4.34531108726904,3.6181393779003,5.07248279663778,4.34531927788744,3.61799775116486,5.07264080461003
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,0.729218985518323,0.0364609492759161,4.13755970268604,0.206877985134302,4.38225578532644,3.65506424841895,5.10944732223393,4.38213191244624,3.65645769280759,5.10780613208488
