Site,Site_Section,Sample_ID,Core_section,Sample,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,sedrate_cm_yr-1,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3,DMAR_g_cm2_yr
HER42PB,HER42PB1D,HER42PB1D_118,D,118,2.1,2.2,1.1,127.28,128.38,127.83,127.28,128.38,127.83,995.02,1421.61,1240.50,1230.04,0.1098,7.8432,2.7561,5.0871,1.6085,NA,76,24,NA,NA,4,1.68,0.4,1.0537
HER42PB,HER42PB1D,HER42PB1D_119,D,119,2.2,2.3,1.2,128.44,129.64,129.04,128.44,129.64,129.04,1004.80,1433.10,1251.45,1241.09,0.1071,7.6075,2.3254,5.2821,1.1778,NA,81.8,18.2,NA,NA,4.7,1.39,0.25,0.4872
HER42PB,HER42PB1D,HER42PB1D_120,D,120,2.3,1.9,1.2,129.70,130.85,130.28,129.70,130.85,130.28,1016.79,1444.28,1262.47,1252.65,0.1001,6.8475,1.9464,4.9011,0.7988,NA,86,14,NA,NA,3.9,1.47,0.21,0.2942
HER42PB,HER42PB1D,HER42PB1D_121,D,121,2.4,2,1.3,130.92,132.22,131.57,130.92,132.22,131.57,1037.64,1449.41,1273.16,1265.52,0.1008,7.1476,2.0746,5.073,0.927,NA,84.6,15.4,NA,NA,4.9,1.21,0.19,0.2951
HER42PB,HER42PB1D,HER42PB1D_122,D,122,2.4,1.9,1.2,132.28,133.43,132.85,132.28,133.43,132.85,1055.79,1454.81,1284.49,1278.29,0.1000,7.3305,2.2288,5.1017,1.0812,NA,82.5,17.5,NA,NA,4.1,1.52,0.27,0.4724
HER42PB,HER42PB1D,HER42PB1D_123,D,123,2.3,1.9,1.1,133.49,134.59,134.04,133.49,134.59,134.04,1073.37,1460.68,1297.90,1290.17,0.1001,6.4367,1.8723,4.5644,0.7247,NA,86.3,13.7,NA,NA,3.7,1.42,0.19,0.2605
HER42PB,HER42PB1D,HER42PB1D_124,D,124,2.1,2.1,1.1,134.65,135.70,135.18,134.65,135.70,135.18,1089.45,1468.17,1309.54,1301.54,0.1005,4.9929,2.0202,2.9727,0.8726,NA,77.3,22.7,NA,NA,3.5,1.08,0.25,0.5702
HER42PB,HER42PB1D,HER42PB1D_125,D,125,2.2,2.3,1.3,135.77,137.02,136.39,135.77,137.02,136.39,1102.68,1474.17,1322.39,1313.61,0.1000,6.7413,2.0331,4.7082,0.8855,NA,84.2,15.8,NA,NA,4.9,1.15,0.18,0.2844
HER42PB,HER42PB1D,HER42PB1D_126,D,126,2.3,2,1.2,137.08,138.28,137.68,137.08,138.28,137.68,1116.93,1482.31,1336.92,1326.49,0.1005,6.1109,1.9786,4.1323,0.831,NA,83.3,16.7,NA,NA,4.3,1.17,0.2,0.3355
HER42PB,HER42PB1D,HER42PB1D_127,D,127,2.3,2.3,1.2,138.34,139.54,138.94,138.34,139.54,138.94,1127.80,1492.06,1349.95,1339.06,0.0986,7.1061,2.2618,4.8443,1.1142,NA,81.3,18.7,NA,NA,4.8,1.25,0.23,0.4242
HER42PB,HER42PB1D,HER42PB1D_128,D,128,2.1,2.1,1.2,139.61,140.76,140.18,139.61,140.76,140.18,1141.88,1502.26,1362.63,1351.61,0.0911,7.0105,2.3665,4.644,1.2189,NA,79.2,20.8,NA,NA,4,1.47,0.31,0.5871
HER42PB,HER42PB1D,HER42PB1D_129,D,129,2.2,2,1.2,140.82,141.97,141.39,140.82,141.97,141.39,1176.51,1504.86,1372.65,1364.93,0.0903,7.2133,2.3315,4.8818,1.1839,NA,80.5,19.5,NA,NA,3.9,1.56,0.3,0.5283
HER42PB,HER42PB1D,HER42PB1D_130,D,130,2.2,2,1.2,142.03,143.18,142.61,142.03,143.18,142.61,1208.46,1509.05,1383.28,1378.36,0.0911,6.9112,2.3267,4.5845,1.1791,NA,79.5,20.5,NA,NA,3.9,1.48,0.3,0.5600
HER42PB,HER42PB1D,HER42PB1D_131,D,131,2.2,2.1,1.2,143.24,144.39,143.82,143.24,144.39,143.82,1243.59,1513.88,1395.06,1391.68,0.0907,7.8153,2.4726,5.3427,1.325,NA,80.1,19.9,NA,NA,4.2,1.6,0.32,0.5775
HER42PB,HER42PB1D,HER42PB1D_132,D,132,2.2,2,1.2,144.46,145.66,145.06,144.46,145.66,145.06,1276.50,1519.77,1407.37,1405.33,0.0910,7.2122,2.1343,5.0779,0.9867,NA,83.7,16.3,NA,NA,4.2,1.46,0.24,0.3562
HER42PB,HER42PB1D,HER42PB1D_133,D,133,2.2,2,1.2,145.72,146.92,146.32,145.72,146.92,146.32,1302.23,1528.09,1419.98,1419.20,0.0911,7.1391,2.0636,5.0755,0.916,NA,84.7,15.3,NA,NA,4.2,1.44,0.22,0.3067
HER42PB,HER42PB1D,HER42PB1D_134,D,134,2.3,1.8,1.2,146.98,148.18,147.58,146.98,148.18,147.58,1325.98,1538.39,1433.62,1433.06,0.0907,6.4263,2.0755,4.3508,0.9279,NA,82.4,17.6,NA,NA,4,1.33,0.23,0.3671
HER42PB,HER42PB1D,HER42PB1D_135,D,135,2.2,1.9,1.2,148.24,149.39,148.82,148.24,149.39,148.82,1346.53,1551.25,1448.17,1446.71,0.0900,6.7601,2.0644,4.6957,0.9168,NA,83.7,16.3,NA,NA,3.8,1.48,0.24,0.3522
HER42PB,HER42PB1D,HER42PB1D_136,D,136,2.2,2.1,1.2,149.46,150.61,150.03,149.46,150.61,150.03,1361.69,1561.50,1461.69,1460.18,0.0623,6.6932,2.0097,4.6835,0.8621,NA,84.5,15.5,NA,NA,4.1,1.36,0.21,0.2028
HER42PB,HER42PB1D,HER42PB1D_137,D,137,2,2.3,1.3,150.67,151.92,151.30,150.67,151.92,151.30,1378.35,1586.48,1481.05,1480.45,0.0631,7.5009,2.1607,5.3402,1.0131,NA,84.1,15.9,NA,NA,4.5,1.4,0.22,0.2206
HER42PB,HER42PB1D,HER42PB1D_138,D,138,2.2,2,1.1,151.98,153.08,152.53,151.98,153.08,152.53,1388.95,1629.02,1500.06,1500.08,0.0623,7.0116,2.2383,4.7733,1.0907,NA,81.4,18.6,NA,NA,3.8,1.54,0.29,0.3358
HER42PB,HER42PB1D,HER42PB1D_139,D,139,2.2,2.2,1.2,153.15,154.35,153.75,153.15,154.35,153.75,1396.56,1676.34,1515.59,1519.56,0.0628,7.7495,2.4029,5.3466,1.2553,NA,81,19,NA,NA,4.5,1.48,0.28,0.3341
HER42PB,HER42PB1D,HER42PB1D_140,D,140,2,2.1,1.2,154.41,155.61,155.01,154.41,155.61,155.01,1404.45,1727.62,1530.46,1539.67,0.0625,6.9723,2.1042,4.8681,0.9566,NA,83.6,16.4,NA,NA,4,1.47,0.24,0.2462
HER42PB,HER42PB1D,HER42PB1D_141,D,141,2.2,2.1,1.2,155.67,156.82,156.25,155.67,156.82,156.25,1409.94,1780.30,1545.01,1559.46,0.0631,7.4913,2.3397,5.1516,1.1921,NA,81.2,18.8,NA,NA,4.2,1.52,0.29,0.3439
HER42PB,HER42PB1D,HER42PB1D_142,D,142,2.1,2.1,1.1,156.88,157.98,157.43,156.88,157.98,157.43,1415.98,1829.09,1559.86,1578.29,0.0622,6.4881,2.1166,4.3715,0.969,NA,81.9,18.1,NA,NA,3.6,1.47,0.27,0.3042
HER42PB,HER42PB1D,HER42PB1D_143,D,143,2.1,2.2,1.1,158.05,159.15,158.60,158.05,159.15,158.60,1419.72,1884.51,1574.89,1596.97,0.0628,7.5368,2.6442,4.8926,1.4966,NA,76.6,23.4,NA,NA,3.9,1.64,0.38,0.5583
HER42PB,HER42PB1D,HER42PB1D_144,D,144,2,2.2,1.1,159.21,160.31,159.76,159.21,160.31,159.76,1424.02,1935.53,1589.19,1615.49,0.0689,7.4945,3.0874,4.4071,1.9398,NA,69.4,30.6,NA,NA,3.8,1.67,0.51,1.0748
HER42PB,HER42PB1D,HER42PB1D_145,D,145,2,2,1.2,160.37,161.57,160.97,160.37,161.57,160.97,1434.83,1956.32,1605.87,1633.10,0.0700,6.9278,2.5118,4.416,1.3642,NA,76.4,23.6,NA,NA,3.8,1.53,0.36,0.5947
HER42PB,HER42PB1D,HER42PB1D_146,D,146,2,2.1,1.2,161.64,162.84,162.24,161.64,162.84,162.24,1449.59,1972.16,1625.87,1651.14,0.0705,7.1784,2.7057,4.4727,1.5581,NA,74.2,25.8,NA,NA,4,1.52,0.39,0.7099
HER42PB,HER42PB1D,HER42PB1D_147,D,147,1.8,2,1.2,162.90,164.10,163.50,162.90,164.10,163.50,1458.18,1990.30,1643.92,1669.04,0.0705,6.755,2.2853,4.4697,1.1377,NA,79.7,20.3,NA,NA,3.3,1.69,0.34,0.4869
HER42PB,HER42PB1D,HER42PB1D_148,D,148,2.1,2.1,1.2,164.16,165.36,164.76,164.16,165.36,164.76,1467.40,2022.85,1663.37,1686.94,0.0705,6.5248,2.0698,4.455,0.9222,NA,82.9,17.1,NA,NA,4.1,1.33,0.23,0.2775
HER42PB,HER42PB1D,HER42PB1D_149,D,149,2.1,2.2,1.2,165.42,166.62,166.02,165.42,166.62,166.02,1474.67,2042.43,1680.08,1704.84,0.0703,7.6923,2.3376,5.3547,1.19,NA,81.8,18.2,NA,NA,4.4,1.5,0.27,0.3454
HER42PB,HER42PB1E,HER42PB1E_156,E,156,2.2,2,1.2,166.24,167.44,166.84,166.24,167.44,166.84,1479.52,2066.85,1691.65,1716.49,0.0703,6.6376,2.0767,4.5609,0.9291,NA,83.1,16.9,NA,NA,4.1,1.35,0.23,0.2733
HER42PB,HER42PB1E,HER42PB1E_157,E,157,2.1,2,1.2,167.82,168.97,168.39,167.82,168.97,168.39,1487.89,2112.59,1713.26,1738.51,0.0701,6.6747,2.033,4.6417,0.8854,NA,84,16,NA,NA,3.7,1.49,0.24,0.2691
HER42PB,HER42PB1E,HER42PB1E_158,E,158,2,2.1,1.2,169.34,170.49,169.92,169.34,170.49,169.92,1497.87,2156.89,1732.19,1760.25,0.0770,6.8197,1.9777,4.842,0.8301,NA,85.4,14.6,NA,NA,3.8,1.5,0.22,0.2474
HER42PB,HER42PB1E,HER42PB1E_159,E,159,2.1,2.2,1.2,170.86,172.06,171.46,170.86,172.06,171.46,1519.09,2181.54,1752.87,1780.35,0.0767,6.9564,2.2041,4.7523,1.0565,NA,81.8,18.2,NA,NA,4.3,1.37,0.25,0.3489
HER42PB,HER42PB1E,HER42PB1E_160,E,160,2.1,2.1,1.2,172.44,173.64,173.04,172.44,173.64,173.04,1535.82,2207.63,1775.52,1800.87,0.0772,6.642,2.0303,4.6117,0.8827,NA,83.9,16.1,NA,NA,4.2,1.32,0.21,0.2610
HER42PB,HER42PB1E,HER42PB1E_161,E,161,2,2,1.2,174.01,175.21,174.61,174.01,175.21,174.61,1548.12,2223.35,1797.66,1821.25,0.0772,6.2684,2.1188,4.1496,0.9712,NA,81,19,NA,NA,3.7,1.39,0.26,0.3812
HER42PB,HER42PB1E,HER42PB1E_162,E,162,1.9,2.1,1.2,175.58,176.78,176.18,175.58,176.78,176.18,1556.17,2241.12,1818.97,1841.64,0.0767,6.8322,2.1077,4.7245,0.9601,NA,83.1,16.9,NA,NA,3.8,1.51,0.25,0.3239
HER42PB,HER42PB1E,HER42PB1E_163,E,163,2,2.2,1.2,177.16,178.36,177.76,177.16,178.36,177.76,1564.51,2269.14,1842.13,1862.16,0.0772,7.1242,2.03,5.0942,0.8824,NA,85.2,14.8,NA,NA,4.2,1.44,0.21,0.2398
HER42PB,HER42PB1E,HER42PB1E_164,E,164,2.1,2.2,1.2,178.73,179.93,179.33,178.73,179.93,179.33,1570.60,2297.28,1863.47,1882.55,0.0709,6.8111,2.0348,4.7763,0.8872,NA,84.3,15.7,NA,NA,4.3,1.33,0.21,0.2338
HER42PB,HER42PB1E,HER42PB1E_165,E,165,2,2,1.2,180.30,181.50,180.90,180.30,181.50,180.90,1596.77,2315.60,1887.16,1904.74,0.0667,6.3539,1.8873,4.4666,0.7397,NA,85.8,14.2,NA,NA,3.8,1.38,0.2,0.1894
HER42PB,HER42PB1E,HER42PB1E_166,E,166,2.1,2.2,1.3,181.88,183.13,182.50,181.88,183.13,182.50,1628.54,2326.01,1911.66,1928.71,0.0665,6.9913,2.0351,4.9562,0.8875,NA,84.8,15.2,NA,NA,4.5,1.29,0.2,0.2021
HER42PB,HER42PB1E,HER42PB1E_167,E,167,2,2.1,1.2,183.50,184.65,184.08,183.50,184.65,184.08,1648.54,2345.71,1936.57,1952.38,0.0669,6.9904,2.0042,4.9862,0.8566,NA,85.3,14.7,NA,NA,3.8,1.54,0.23,0.2261
HER42PB,HER42PB1E,HER42PB1E_168,E,168,2.1,2.3,1.3,185.02,186.27,185.65,185.02,186.27,185.65,1665.59,2364.74,1963.18,1975.91,0.0667,7.3589,2.0093,5.3496,0.8617,NA,86.1,13.9,NA,NA,4.7,1.31,0.18,0.1668
HER42PB,HER42PB1E,HER42PB1E_169,E,169,2.1,2.1,1.3,186.65,187.95,187.30,186.65,187.95,187.30,1679.21,2392.16,1990.13,2000.63,0.0667,6.9057,2.0989,4.8068,0.9513,NA,83.5,16.5,NA,NA,4.4,1.31,0.22,0.2420
HER42PB,HER42PB1E,HER42PB1E_170,E,170,2,2.2,1.3,188.32,189.57,188.95,188.32,189.57,188.95,1693.84,2415.82,2016.50,2025.35,0.0687,6.9133,1.9543,4.959,0.8067,NA,86,14,NA,NA,4.2,1.36,0.19,0.1826
HER42PB,HER42PB1E,HER42PB1E_171,E,171,2.1,1.9,1.3,189.94,191.24,190.59,189.94,191.24,190.59,1713.28,2443.20,2040.62,2049.36,0.0712,6.5517,1.95,4.6017,0.8024,NA,85.2,14.8,NA,NA,4,1.36,0.2,0.2107
HER42PB,HER42PB1E,HER42PB1E_172,E,172,2.1,2.2,1.3,191.62,192.87,192.24,191.62,192.87,192.24,1736.08,2461.04,2063.53,2072.52,0.0710,7.2631,2.0586,5.2045,0.911,NA,85.1,14.9,NA,NA,4.5,1.35,0.2,0.2115
HER42PB,HER42PB1E,HER42PB1E_173,E,173,2.1,2.2,1.3,193.24,194.49,193.87,193.24,194.49,193.87,1753.17,2484.78,2087.26,2095.39,0.0716,7.1781,1.9805,5.1976,0.8329,NA,86.2,13.8,NA,NA,4.5,1.33,0.18,0.1780
HER42PB,HER42PB1E,HER42PB1E_174,E,174,2.1,2.4,1.2,194.86,196.06,195.46,194.86,196.06,195.46,1770.39,2504.30,2111.67,2117.70,0.0712,6.4116,1.975,4.4366,0.8274,NA,84.3,15.7,NA,NA,4.6,1.15,0.18,0.2012
HER42PB,HER42PB1E,HER42PB1E_175,E,175,2.1,2.3,1.3,196.44,197.69,197.06,196.44,197.69,197.06,1783.84,2537.35,2136.08,2140.15,0.0712,7.2617,2.2999,4.9618,1.1523,NA,81.2,18.8,NA,NA,4.6,1.32,0.25,0.3346
HER42PB,HER42PB1E,HER42PB1E_176,E,176,2,2.3,1.1,198.06,199.16,198.61,198.06,199.16,198.61,1796.15,2558.08,2156.82,2161.90,0.0713,6.4372,2.2485,4.1887,1.1009,NA,79.2,20.8,NA,NA,3.9,1.36,0.28,0.4155
HER42PB,HER42PB1E,HER42PB1E_177,E,177,2.1,2.4,1.1,199.53,200.63,200.08,199.53,200.63,200.08,1806.60,2579.04,2177.63,2182.55,0.0693,6.3647,2.4472,3.9175,1.2996,NA,75.1,24.9,NA,NA,4.3,1.22,0.3,0.5179
HER42PB,HER42PB1E,HER42PB1E_178,E,178,2.3,2,1.1,201.01,202.11,201.56,201.01,202.11,201.56,1828.17,2593.68,2199.74,2203.80,0.0698,6.5058,2.4774,4.0284,1.3298,NA,75.2,24.8,NA,NA,3.8,1.41,0.35,0.6061
HER42PB,HER42PB1E,HER42PB1E_179,E,179,1.9,1.9,1.1,202.48,203.58,203.03,202.48,203.58,203.03,1850.10,2608.75,2222.86,2224.90,0.0698,5.7089,1.7778,3.9311,0.6302,NA,86.2,13.8,NA,NA,3.1,1.46,0.2,0.1927
HER42PB,HER42PB1E,HER42PB1E_180,E,180,1.8,2,1.2,203.95,205.15,204.55,203.95,205.15,204.55,1871.99,2628.55,2246.08,2246.72,0.0694,5.7995,1.9294,3.8701,0.7818,NA,83.2,16.8,NA,NA,3.3,1.4,0.24,0.2797
HER42PB,HER42PB1E,HER42PB1E_181,E,181,1.9,2.1,1.1,205.53,206.63,206.08,205.53,206.63,206.08,1888.09,2655.06,2267.71,2268.68,0.0699,5.6207,1.7954,3.8253,0.6478,NA,85.5,14.5,NA,NA,3.5,1.3,0.19,0.1925
HER42PB,HER42PB1F,HER42PB1F_188,F,188,2.3,2.1,1.2,206.70,207.90,207.30,206.70,207.90,207.30,1895.93,2677.56,2285.63,2286.19,0.0697,6.4253,1.9191,4.5062,0.7715,NA,85.4,14.6,NA,NA,4.5,1.18,0.17,0.1729
HER42PB,HER42PB1F,HER42PB1F_189,F,189,2,2.4,1.2,208.08,209.28,208.68,208.08,209.28,208.68,1905.20,2701.58,2305.23,2306.00,0.0691,7.0825,2.0175,5.065,0.8699,NA,85.3,14.7,NA,NA,4.6,1.3,0.19,0.1929
HER42PB,HER42PB1F,HER42PB1F_190,F,190,2.2,2.1,1.3,209.46,210.71,210.09,209.46,210.71,210.09,1917.89,2724.87,2326.44,2326.34,0.0645,7.5286,2.1446,5.384,0.997,NA,84.4,15.6,NA,NA,4.5,1.41,0.22,0.2212
HER42PB,HER42PB1F,HER42PB1F_191,F,191,2.2,2.1,1.3,210.89,212.19,211.54,210.89,212.19,211.54,1953.15,2736.47,2350.25,2348.91,0.0640,7.234,2.2986,4.9354,1.151,NA,81.1,18.9,NA,NA,4.7,1.29,0.24,0.2905
HER42PB,HER42PB1F,HER42PB1F_192,F,192,2.3,2.1,1.2,212.37,213.52,212.95,212.37,213.52,212.95,1980.54,2750.41,2371.67,2370.85,0.0645,6.6592,2.1686,4.4906,1.021,NA,81.5,18.5,NA,NA,4.3,1.29,0.24,0.2863
HER42PB,HER42PB1F,HER42PB1F_193,F,193,2.2,2.1,1.3,213.70,215.00,214.35,213.70,215.00,214.35,2003.04,2764.41,2395.70,2392.64,0.0640,7.0187,2.2071,4.8116,1.0595,NA,82,18,NA,NA,4.6,1.27,0.23,0.2650
HER42PB,HER42PB1F,HER42PB1F_194,F,194,2,2.2,1.3,215.18,216.43,215.81,215.18,216.43,215.81,2021.81,2778.46,2419.44,2415.37,0.0643,6.7106,1.8994,4.8112,0.7518,NA,86.5,13.5,NA,NA,4.2,1.32,0.18,0.1562
HER42PB,HER42PB1F,HER42PB1F_195,F,195,2,2,1.2,216.61,217.76,217.19,216.61,217.76,217.19,2038.29,2791.29,2446.86,2436.84,0.0645,5.7954,1.7417,4.0537,0.5941,NA,87.2,12.8,NA,NA,3.4,1.35,0.17,0.1403
HER42PB,HER42PB1F,HER42PB1F_196,F,196,2.2,1.8,1.2,217.94,219.14,218.54,217.94,219.14,218.54,2056.00,2805.63,2469.63,2457.85,0.0642,6.103,1.8633,4.2397,0.7157,NA,85.6,14.4,NA,NA,3.7,1.35,0.19,0.1758
HER42PB,HER42PB1F,HER42PB1F_197,F,197,2,2.4,1.2,219.32,220.52,219.92,219.32,220.52,219.92,2073.22,2831.84,2491.10,2479.33,0.0547,7.1665,1.9985,5.168,0.8509,NA,85.9,14.1,NA,NA,4.5,1.35,0.19,0.1467
HER42PB,HER42PB1F,HER42PB1F_198,F,198,2.3,2.2,1.2,220.70,221.85,221.28,220.70,221.85,221.28,2119.55,2841.27,2514.59,2504.08,0.0547,6.8048,1.8865,4.9183,0.7389,NA,86.9,13.1,NA,NA,4.6,1.24,0.16,0.1146
HER42PB,HER42PB1F,HER42PB1F_199,F,199,2.1,2.4,1.2,222.03,223.23,222.63,222.03,223.23,222.63,2152.69,2850.80,2539.44,2528.87,0.0544,7.2853,1.9858,5.2995,0.8382,NA,86.3,13.7,NA,NA,4.7,1.32,0.18,0.1342
HER42PB,HER42PB1F,HER42PB1F_200,F,200,2.4,1.8,1.2,223.41,224.61,224.01,223.41,224.61,224.01,2190.30,2866.52,2565.32,2554.22,0.0545,6.1136,1.7257,4.3879,0.5781,NA,88.4,11.6,NA,NA,4.1,1.22,0.14,0.0884
HER42PB,HER42PB1F,HER42PB1F_201,F,201,2.3,2.1,1.1,224.79,225.89,225.34,224.79,225.89,225.34,2211.95,2879.06,2589.22,2578.64,0.0544,6.3178,1.7612,4.5566,0.6136,NA,88.1,11.9,NA,NA,4.1,1.27,0.15,0.0972
HER42PB,HER42PB1F,HER42PB1F_202,F,202,2.2,2.2,1.2,226.07,227.27,226.67,226.07,227.27,226.67,2229.09,2894.49,2616.20,2603.07,0.0543,7.5164,1.9553,5.5611,0.8077,NA,87.3,12.7,NA,NA,4.5,1.43,0.18,0.1241
HER42PB,HER42PB1F,HER42PB1F_203,F,203,1.9,2.3,1.3,227.45,228.70,228.08,227.45,228.70,228.08,2251.19,2917.28,2642.81,2628.96,0.0546,6.631,1.7379,4.8931,0.5903,NA,89.2,10.8,NA,NA,4.3,1.27,0.14,0.0826
HER42PB,HER42PB1F,HER42PB1F_204,F,204,2.1,2.3,1.2,228.88,230.08,229.48,228.88,230.08,229.48,2263.89,2951.54,2668.69,2654.67,0.0561,6.8058,1.799,5.0068,0.6514,NA,88.5,11.5,NA,NA,4.4,1.3,0.15,0.0967
HER42PB,HER42PB1F,HER42PB1F_205,F,205,2.1,2.3,1.2,230.26,231.46,230.86,230.26,231.46,230.86,2304.19,2968.36,2693.93,2679.28,0.0571,7.0249,1.8274,5.1975,0.6798,NA,88.4,11.6,NA,NA,4.6,1.29,0.15,0.0993
HER42PB,HER42PB1F,HER42PB1F_206,F,206,2.3,2.2,1.3,231.64,232.94,232.29,231.64,232.94,232.29,2357.92,2975.75,2718.96,2704.33,0.0571,7.5972,2.0726,5.5246,0.925,NA,85.7,14.3,NA,NA,5.1,1.28,0.18,0.1470
HER42PB,HER42PB1F,HER42PB1F_207,F,207,2.3,2.3,1.2,233.12,234.32,233.72,233.12,234.32,233.72,2407.59,2983.99,2743.15,2729.37,0.0569,8.2547,2.8891,5.3656,1.7415,NA,75.5,24.5,NA,NA,5,1.43,0.35,0.4878
HER42PB,HER42PB1F,HER42PB1F_208,F,208,2.2,2.2,1.2,234.50,235.65,235.08,234.50,235.65,235.08,2438.62,2996.48,2766.56,2753.19,0.0573,7.8459,2.814,5.0319,1.6664,NA,75.1,24.9,NA,NA,4.4,1.53,0.38,0.5423
HER42PB,HER42PB1F,HER42PB1F_209,F,209,2.2,2.1,1.1,235.83,236.93,236.38,235.83,236.93,236.38,2464.67,3006.00,2789.36,2775.96,0.0569,7.0842,2.7402,4.344,1.5926,NA,73.2,26.8,NA,NA,3.9,1.52,0.41,0.6251
HER42PB,HER42PB1F,HER42PB1F_210,F,210,2.3,2.2,1.2,237.11,238.26,237.69,237.11,238.26,237.69,2483.41,3018.50,2814.41,2798.90,0.0573,7.4522,2.6081,4.8441,1.4605,NA,76.8,23.2,NA,NA,4.5,1.41,0.33,0.4388
HER42PB,HER42PB1F,HER42PB1F_211,F,211,2.2,2.2,1.1,238.44,239.54,238.99,238.44,239.54,238.99,2499.42,3038.91,2837.52,2821.67,0.0598,7.1152,2.4657,4.6495,1.3181,NA,77.9,22.1,NA,NA,4.1,1.46,0.32,0.4231
HER42PB,HER42PB1F,HER42PB1F_212,F,212,2.2,2.2,1.2,239.72,240.92,240.32,239.72,240.92,240.32,2525.16,3058.60,2860.47,2843.90,0.0702,7.7151,2.7011,5.014,1.5535,NA,76.3,23.7,NA,NA,4.5,1.47,0.35,0.5821
HER42PB,HER42PB1F,HER42PB1F_213,F,213,2.2,2.1,1.2,241.10,242.25,241.68,241.10,242.25,241.68,2583.80,3065.99,2875.45,2863.21,0.0723,7.3614,2.6716,4.6898,1.524,NA,75.5,24.5,NA,NA,4,1.56,0.38,0.6731
HER42PB,HER42PB1G,HER42PB1G_220,G,220,2.3,2.4,1.4,241.34,242.74,242.04,241.34,242.74,242.04,2599.02,3069.54,2879.23,2868.32,0.0702,7.4521,2.658,4.7941,1.5104,NA,76,24,NA,NA,5.9,1.06,0.25,0.4211
HER42PB,HER42PB1G,HER42PB1G_221,G,221,2.5,2.3,1.2,242.89,244.09,243.49,242.89,244.09,243.49,2656.24,3079.10,2896.83,2888.90,0.0707,7.1387,3.1078,4.0309,1.9602,NA,67.3,32.7,NA,NA,5.3,1.13,0.37,0.8552
HER42PB,HER42PB1G,HER42PB1G_222,G,222,2.3,2.4,1.2,244.23,245.43,244.83,244.23,245.43,244.83,2706.68,3087.89,2912.95,2907.92,0.0702,7.8721,3.0635,4.8086,1.9159,NA,71.5,28.5,NA,NA,5.2,1.29,0.37,0.7399
HER42PB,HER42PB1G,HER42PB1G_223,G,223,2.3,2.4,1.2,245.58,246.78,246.18,245.58,246.78,246.18,2746.16,3100.32,2930.75,2927.08,0.0707,7.6375,2.3839,5.2536,1.2363,NA,81,19,NA,NA,5.1,1.27,0.24,0.3223
HER42PB,HER42PB1G,HER42PB1G_224,G,224,2.4,2.3,1.2,246.92,248.12,247.52,246.92,248.12,247.52,2776.63,3111.44,2949.03,2946.10,0.0704,7.0199,1.9342,5.0857,0.7866,NA,86.6,13.4,NA,NA,5.1,1.15,0.15,0.1415
HER42PB,HER42PB1G,HER42PB1G_225,G,225,2.3,2.4,1.3,248.27,249.52,248.89,248.27,249.52,248.89,2801.19,3123.97,2966.56,2965.55,0.0750,7.473,1.989,5.484,0.8414,NA,86.7,13.3,NA,NA,5.3,1.19,0.16,0.1597
HER42PB,HER42PB1G,HER42PB1G_226,G,226,2.3,2.3,1.2,249.66,250.86,250.26,249.66,250.86,250.26,2820.18,3138.21,2984.61,2983.80,0.1040,7.2475,1.9531,5.2944,0.8055,NA,86.8,13.2,NA,NA,5,1.22,0.16,0.2196
HER42PB,HER42PB1G,HER42PB1G_227,G,227,2.3,2.3,1.3,251.01,252.26,251.63,251.01,252.26,251.63,2841.22,3151.76,2998.38,2996.97,0.1036,7.2398,1.9296,5.3102,0.782,NA,87.2,12.8,NA,NA,5.1,1.2,0.15,0.1989
HER42PB,HER42PB1G,HER42PB1G_228,G,228,2.1,2.4,1.2,252.40,253.55,252.98,252.40,253.55,252.98,2857.68,3164.54,3010.80,3009.95,0.1048,6.6675,1.9663,4.7012,0.8187,NA,85.2,14.8,NA,NA,4.6,1.21,0.18,0.2792
HER42PB,HER42PB1G,HER42PB1G_229,G,229,2.3,2.2,1.2,253.69,254.89,254.29,253.69,254.89,254.29,2870.43,3183.18,3022.81,3022.54,0.1037,7.7371,2.1064,5.6307,0.9588,NA,85.4,14.6,NA,NA,4.8,1.38,0.2,0.3027
HER42PB,HER42PB1G,HER42PB1G_230,G,230,2.3,2.6,1.2,255.04,256.24,255.64,255.04,256.24,255.64,2877.36,3205.85,3034.96,3035.51,0.1044,7.9905,2.3963,5.5942,1.2487,NA,81.8,18.2,NA,NA,5.7,1.21,0.22,0.4179
HER42PB,HER42PB1G,HER42PB1G_231,G,231,2.3,2.3,1.2,256.38,257.58,256.98,256.38,257.58,256.98,2886.34,3229.23,3045.60,3048.39,0.1040,7.1738,2.3202,4.8536,1.1726,NA,80.5,19.5,NA,NA,5,1.21,0.24,0.4866
HER42PB,HER42PB1G,HER42PB1G_232,G,232,2.3,2.4,1.2,257.73,258.88,258.30,257.73,258.88,258.30,2891.04,3260.09,3057.10,3061.08,0.1041,7.4357,1.9037,5.532,0.7561,NA,88,12,NA,NA,4.9,1.29,0.15,0.1873
