"Site","depth","SH20_age","Ti","Ti_ppm","Ti_lower_RMSE","Ti_upper_RMSE"
"HER42PB",341.8,3890.99,NA,NA,NA,NA
"HER42PB",341.9,3892.96,-7.00574001165732,547.933644090145,351.40668243936,854.369860703246
"HER42PB",342,3894.93,-7.25744033322048,462.901818601142,296.87315996061,721.783315449183
"HER42PB",342.1,3896.9,-7.26764573726419,459.747467956175,294.850177967528,716.864869301156
"HER42PB",342.2,3898.87,-7.72280047383885,338.906304925429,217.351027001426,528.442331756059
"HER42PB",342.3,3900.84,-7.11665671466081,508.690614240187,326.238921566889,793.179856570253
"HER42PB",342.4,3902.8,-7.12054235637219,507.368021648554,325.390702298265,791.117593629351
"HER42PB",342.5,3904.77,-6.53284490011212,752.193734868529,482.40495500279,1172.86401996471
"HER42PB",342.6,3906.74,-7.02637605887091,540.409962079653,346.581513984106,842.638500125902
"HER42PB",342.7,3908.71,-7.46266435553528,403.434797280543,258.735131930733,629.058892939075
"HER42PB",342.8,3910.68,-6.55427719009604,741.469688883808,475.527294792537,1156.14246659239
"HER42PB",342.9,3912.65,-6.62019898478346,709.433440382883,454.981464243644,1106.18969317831
"HER42PB",343,3914.62,-7.89295887914308,302.389992742219,193.931993953128,471.503983673472
"HER42PB",343.1,3916.58,-6.63928614314066,700.418689501666,449.200027505176,1092.1333716917
"HER42PB",343.2,3918.55,-6.7148365939714,665.846712101417,427.027956097216,1038.22674297074
"HER42PB",343.3,3920.52,-6.41146123960799,815.923800988803,523.277004654266,1272.23562873716
"HER42PB",343.4,3922.49,-6.82380640142619,618.96560830019,396.961663702924,965.12701172358
"HER42PB",343.5,3924.46,-7.92457889221724,296.051120029333,189.86668010634,461.620046347963
"HER42PB",343.6,3926.43,-7.26214485483479,461.445035539541,295.938880220294,719.511814958494
"HER42PB",343.7,3928.4,-7.59694224729046,368.724109740309,236.474101447823,574.935979337178
"HER42PB",343.8,3930.36,-6.52282782209152,757.259018364563,485.653476950939,1180.76210324834
"HER42PB",343.9,3932.33,-6.50752236070428,765.064403854588,490.659310503585,1192.93271220031
"HER42PB",344,3934.3,-6.98246152773118,556.546528519558,356.930389874043,867.799568751983
"HER42PB",344.1,3936.27,-7.46268931715678,403.428050177867,258.730804806467,629.048372465956
"HER42PB",344.2,3938.24,-6.39607070056161,824.380858979367,528.7007758056,1285.4223631808
"HER42PB",344.3,3940.21,-6.38973969014991,827.88512563085,530.948169685611,1290.88641862472
"HER42PB",344.4,3942.18,-6.84034279068461,612.145702551532,392.587848589482,954.493019839097
"HER42PB",344.5,3944.14,-6.6331120136285,703.322089280269,451.062066996633,1096.66052071999
"HER42PB",344.6,3946.11,-6.52488053394608,756.218263054959,484.986008591359,1179.13929731466
"HER42PB",344.7,3948.08,-7.07739876842222,522.248132813586,334.933774813032,814.319524447869
"HER42PB",344.8,3950.05,NA,NA,NA,NA
"HER42PB",344.9,3952.02,-7.58023803243167,372.873984079533,239.135543375721,581.406703665535
"HER42PB",345,3953.99,-6.9416976631575,571.956286172728,366.813140956223,891.8273550389
"HER42PB",345.1,3955.96,-7.03712524710032,536.531934703,344.094415866411,836.591655320277
"HER42PB",345.2,3957.92,-6.6753138281659,683.714022973767,438.486811572666,1066.08648851803
"HER42PB",345.3,3959.89,-6.61280878918943,712.954861989767,457.239860123679,1111.68049762187
"HER42PB",345.4,3961.86,-6.64236607362025,698.974828373232,448.274034997654,1089.88201982732
"HER42PB",345.5,3963.83,-7.40906655376413,418.18562336062,268.195289947946,652.059234968119
"HER42PB",345.6,3965.8,-7.33804548111842,438.565655309845,281.265630658959,683.836960693466
"HER42PB",345.7,3967.77,-6.85813522509492,604.891679097311,387.935620452226,943.18212649468
"HER42PB",345.8,3969.74,-7.973598379535,286.485832798301,183.732167490276,446.705296711201
"HER42PB",345.9,3971.7,-8.80951448601645,163.63286566553,104.942784736374,255.145837736023
"HER42PB",346,3973.67,-7.13775030524545,501.552002269865,321.660710360533,782.048919493328
"HER42PB",346.1,3975.64,-6.80355687850449,627.420450841234,402.384014018407,978.310291710073
"HER42PB",346.2,3977.61,-7.870191410877,307.038072548026,196.91295035522,478.751538809128
"HER42PB",346.3,3979.58,-6.5916229254546,723.1470860192,463.776446572589,1127.57280341146
"HER42PB",346.4,3981.55,-6.49715199301785,770.398693552262,494.080354394662,1201.25024552776
"HER42PB",346.5,3983.51,-7.16227636598861,493.377615291412,316.418224814964,769.302942057114
"HER42PB",346.6,3985.48,-7.80482721309848,320.783283942647,205.728176774893,500.183868200143
"HER42PB",346.7,3987.45,-7.01556684242073,544.337911890357,349.100628892737,848.763186880981
"HER42PB",346.8,3989.42,-7.27662794115277,456.988981192623,293.081075645399,712.563677035729
"HER42PB",346.9,3991.39,-6.92168223735682,579.678071885596,371.765359402988,903.867610378281
"HER42PB",347,3993.36,-7.8689476722075,307.294035513783,197.077107270193,479.150651084415
"HER42PB",347.1,3995.33,-7.13701343129621,501.799682410488,321.81955524524,782.435116708128
"HER42PB",347.2,3997.29,-7.84038677044435,313.230976913321,200.884650215494,488.407873836176
"HER42PB",347.3,3999.26,-7.15841671633309,494.655123753497,317.237530245998,771.29490721306
"HER42PB",347.4,4001.23,-7.51249880944208,390.186877593626,250.238833963608,608.401969569615
"HER42PB",347.5,4003.2,-6.60147271352398,718.390492003677,460.725896673465,1120.15604663754
"HER42PB",347.6,4005.17,-7.99434318267114,282.531505315892,181.196135770268,440.539480363254
"HER42PB",347.7,4007.14,-6.284706136765,888.244362709343,569.658403096346,1385.00203559972
"HER42PB",347.8,4009.11,-7.14623069429333,498.710334303817,319.838261377315,777.618026281159
"HER42PB",347.9,4011.07,-6.43974965239907,800.605032854937,513.452607946671,1248.34971857661
"HER42PB",348,4013.04,-6.81184491910578,623.946048690192,400.155773160182,972.892802724265
"HER42PB",348.1,4015.01,-6.79689820339649,630.22582259665,404.183185126464,982.684589769241
"HER42PB",348.2,4016.98,-6.59242167519984,722.760188475938,463.528317289805,1126.96953036242
"HER42PB",348.3,4018.95,-6.87131897843459,599.572130172665,384.524030271836,934.887577833957
"HER42PB",348.4,4020.92,-6.90316978164051,586.912793817936,376.405208881179,915.148407672311
"HER42PB",348.5,4022.89,-7.01985872419304,542.774883504409,348.098210761293,846.326022529456
"HER42PB",348.6,4024.85,-6.79417929037092,631.374933493023,404.920145253306,984.476350007101
"HER42PB",348.7,4026.82,-7.11816353411569,508.17731509683,325.909727053992,792.379490828272
"HER42PB",348.8,4028.79,-6.72038901904345,663.374280963472,425.442310037487,1034.37158519807
"HER42PB",348.9,4030.76,-7.21506839538308,476.231545028299,305.421923103946,742.567796624258
"HER42PB",349,4032.73,-6.90325737367728,586.878350874315,376.383119563099,915.094702240529
"HER42PB",349.1,4034.7,-7.02217463912831,541.933332867092,347.558498479059,845.01382805384
"HER42PB",349.2,4036.67,-6.8928892272095,590.969387207723,379.006826869937,921.473682943767
"HER42PB",349.3,4038.63,-6.86780096347511,600.987030521761,385.431449341682,937.093772374489
"HER42PB",349.4,4040.6,-6.78962218206146,633.305632909644,406.158362114234,987.486808316114
"HER42PB",349.5,4042.57,-4.765288610465,2458.37694073942,1576.63267121545,3833.24365471901
"HER42PB",349.6,4044.54,-5.23519572733788,1794.38722298013,1150.79566265014,2797.91244483794
