Site,depth,SH20_age,Ti,Ca,Sr,Ti_ICP_clr_ppm,Ti_ICP_clr_lower_ppm,Ti_ICP_clr_upper_ppm,Ca_ICP_clr_ppm,Ca_ICP_clr_lower_ppm,Ca_ICP_clr_upper_ppm,Sr_ICP_clr_ppm,Sr_ICP_clr_lower_ppm,Sr_ICP_clr_upper_ppm
HER42PB,313.8,3600.13,99,320,721,1823.634773,1571.831303,2110.048576,14975.88075,15242.19688,14674.38257,197.7438428,183.2311828,212.8282196
HER42PB,313.9,3601.08,89,346,694,1609.375813,1384.495149,1866.223733,15182.25946,15422.59671,14909.24056,205.6240996,190.1675137,221.7950784
HER42PB,314,3602.02,413,349,721,4746.61294,4201.999282,5332.093244,12134.44898,12684.67487,11543.74838,116.1974479,110.5852212,121.4177441
HER42PB,314.1,3602.97,144,476,779,1702.93279,1466.21257,1972.815246,15091.52202,15343.32898,14805.90043,202.8045623,187.7178181,218.543695
HER42PB,314.2,3603.91,128,445,807,1682.058051,1447.967895,1949.049512,15111.7282,15360.99016,14828.89877,203.4731198,188.3013107,219.3110879
HER42PB,314.3,3604.86,121,426,827,1670.097538,1437.527811,1935.413109,15121.95408,15369.844,14840.64008,205.2077465,189.8875614,221.2061754
HER42PB,314.4,3605.8,68,494,762,853.1082846,729.0817713,996.8076,15880.6264,16026.06258,15714.03388,263.5246833,242.1150171,286.4178859
HER42PB,314.5,3606.75,147,389,632,2084.539108,1800.89096,2405.567891,14728.2361,15025.02603,14393.65814,184.4841611,171.342383,198.033339
HER42PB,314.6,3607.7,115,351,659,1845.886057,1591.342175,2135.288912,14952.77431,15221.85521,14648.27245,198.5990052,184.0619839,213.6980099
HER42PB,314.7,3608.64,165,464,655,1845.886057,1591.342175,2135.288912,14952.77431,15221.85521,14648.27245,198.5990052,184.0619839,213.6980099
HER42PB,314.8,3609.59,145,465,836,1785.50083,1538.454369,2066.705084,15010.43721,15272.32052,14713.79391,201.3213295,186.4844823,216.7603755
HER42PB,314.9,3610.53,128,421,711,1748.394286,1505.973696,2024.532293,15047.05266,15304.40937,14755.35444,201.8124192,186.8763069,217.3726361
HER42PB,315,3611.48,133,382,767,1992.827899,1720.266533,2301.846668,14813.73261,15100.02172,14490.52007,190.6988567,176.9711128,204.8926309
HER42PB,315.1,3612.42,118,364,615,1801.455447,1552.404312,2084.859944,14997.38893,15261.0387,14698.80029,198.4149911,183.8163521,213.5991377
HER42PB,315.2,3613.37,105,303,613,1975.755813,1705.260676,2282.534761,14830.95551,15115.1954,14509.95746,190.5480412,176.8032908,204.7671446
HER42PB,315.3,3614.32,141,347,464,2116.856611,1829.353887,2442.042511,14695.96296,14996.55345,14357.2976,184.439794,171.3520328,197.9192609
