"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10857",12,332,331,3765.31,6.93,1,TRUE,20680,53721,1.29,0.442347133359432,0.274440698375296,-0.676324065435165,-0.393050556163466,-0.53880190860778,0.868666774449424,-0.263555808226852,-0.0167541062610683,-0.348911457097792,-0.0631838973734502,41947,6.33467389403742,0.157861322733797
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10858",12.1,332.1,331.1,3766.31,6.91,1,TRUE,20628,52514,1.37,0.720562713846075,1.46532645271892,0.00788483684898342,0.129340864250355,0.41378685718474,-0.566423807632097,-1.42503101953986,0.829422390268037,0.568392281111734,-0.261262639629735,41557,6.44348916353215,0.15519541891366
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10859",12.2,332.2,331.2,3767.32,6.91,1,TRUE,20780,52517,1.35,-0.0727143335988179,0.834955236732299,0.327898070090209,0.516007063411173,-0.207788169638497,1.00342865800626,-1.64379628933731,0.509856798769061,-0.139592778749658,-0.109790660257282,42025,6.38966062950589,0.156502834498321
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10860",12.3,332.3,331.3,3768.32,6.89,1,TRUE,20758,52413,1.42,0.993508234083028,1.02567183438405,0.0323302507852866,1.22858974245028,0.0894301335306448,-0.715291483821,-1.56010413221232,0.976568676744915,0.283717581275065,-0.0296852865506961,41391,6.20846394984326,0.161070436758394
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10861",12.4,332.4,331.4,3769.32,6.9,1,TRUE,20724,52806,1.27,0.275907148335781,0.674464519837248,-0.470794464370609,-0.293400100506121,-0.345114889184304,-0.951525634156557,0.951170692775397,0.240643459654752,-0.27591988474317,0.115960847461278,41450,6.09517288599795,0.164064255223545
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10862",12.5,332.5,331.5,3770.32,6.91,1,TRUE,20310,52000,1.29,0.158397587601708,0.866746465739614,-0.741936227384528,0.192543171467345,-0.187473687440354,-0.343865307353211,-0.162707609186743,0.910044672987464,-0.148713274891566,-0.0821178947950069,40406,6.08131791097091,0.164438040345821
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10863",12.6,332.6,331.6,3771.33,6.91,1,TRUE,20670,54077,1.36,0.452505312638033,0.434743524357869,-0.308186352922183,0.0226157531449133,-0.272390320248558,-0.96314178237742,0.470591706480656,0.66455361059412,-0.330454298705747,0.366472197961874,41928,5.97173262387762,0.167455588349947
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10864",12.7,332.7,331.7,3772.33,6.91,1,TRUE,20790,52786,1.25,-0.0375419372143082,0.451846261250618,-0.36546040492318,0.222231154779413,-0.384886966663688,-0.950063922154153,0.972184871884211,0.351092313111604,-0.370569133790185,0.0518765484960096,41806,6.21041738530528,0.161019773383692
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10865",12.8,332.8,331.8,3773.33,6.91,1,TRUE,20484,52616,1.48,-0.252090618860436,-0.442211233229107,-0.899139982767447,-0.409092810275868,-0.596176616881237,1.03659796481547,0.253741479485887,0.33221373128656,-0.460545122302198,0.113047924781039,41178,6.05102739726027,0.165261191918049
"Isla Hermite","HER42PB","HER42PB_1I","ACE_ITRAX_10866",12.9,332.9,331.9,3774.34,6.91,1,TRUE,20859,52891,1.29,0.546055368963062,0.0601694591534871,-0.63874313824915,0.469070286167523,-0.667375040710079,-0.0383517728191929,0.299459716486875,0.113060855314461,-0.564490014486606,0.0110956309726567,41270,6.1525129982669,0.162535211267606
