"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-0.814454948885045,-0.0407227474442522,-3.46238229513192,-0.173119114756596,-3.75943895452086,-5.10106257530247,-2.41781533373926,-3.74628725701541,-4.86834910944348,-2.62422540458733
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-0.86358801165464,-0.043179400582732,-3.55021568087124,-0.177510784043562,-3.78513266300014,-5.12735240329061,-2.44291292270968,-3.77049339881047,-4.8699446507658,-2.67104214685513
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-0.760062950852074,-0.0380031475426037,-3.5395386858543,-0.176976934292715,-3.73099513151682,-5.07202718526973,-2.38996307776392,-3.71949022172622,-4.86668846759066,-2.57229197586178
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-0.64870669766907,-0.0324353348834535,-3.53418045391718,-0.176709022695859,-3.67276234598814,-5.01280773074827,-2.33271696122801,-3.66462889002063,-4.86360631527395,-2.46565146476732
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-0.0717237638336788,-0.00358618819168394,-3.53797389878137,-0.176898694939068,-3.37103413154716,-4.71081191022035,-2.03125635287398,-3.38036957618053,-4.85285408500906,-1.90788506735199
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-0.195366399290307,-0.00976831996451533,-3.76158218605121,-0.188079109302561,-3.43569197398475,-4.77484280170672,-2.09654114626278,-3.44128397876546,-4.85456084228083,-2.02800711525009
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,0.14031881302882,0.007015940651441,-3.4291892943498,-0.17145946471749,-3.26014830746066,-4.60186842020045,-1.91842819472087,-3.2759036138978,-4.85050410582099,-1.70130312197461
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,0.221915527740436,0.0110957763870218,-3.81407698267329,-0.190703849133665,-3.21747801412888,-4.56023664413891,-1.87471938411885,-3.23570376607674,-4.84976987043246,-1.62163766172102
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-0.602277463866114,-0.0301138731933057,-3.72748394850788,-0.186374197425394,-3.64848258138556,-4.98820579035114,-2.30875937241999,-3.64175483020188,-4.8624371289522,-2.42107253145157
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,0.0543616999189497,0.00271808499594749,-3.7756765719398,-0.18878382859699,-3.30509883326693,-4.64589973105582,-1.96429793547803,-3.31825167752226,-4.85137575038668,-1.78512760465785
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-0.425410934148651,-0.0212705467074326,-3.90038047240039,-0.195019023620019,-3.55599176566718,-4.89496939571409,-2.21701413562027,-3.55461887620656,-4.85853300536142,-2.2507047470517
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-0.570786265491804,-0.0285393132745902,-3.67341653402143,-0.183670826701071,-3.63201453268103,-4.97154913404527,-2.29247993131679,-3.62624021804103,-4.86168015701577,-2.3908002790663
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-0.786761434789174,-0.0393380717394587,-3.4174099396415,-0.170870496982075,-3.74495687182875,-5.0862703165079,-2.4036434271496,-3.73264363108979,-4.86749015625833,-2.59779710592125
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-0.228468397314089,-0.0114234198657044,-3.8783274944842,-0.19391637472421,-3.45300237637699,-4.7920486710531,-2.11395608170087,-3.45759217558235,-4.85506516754566,-2.06011918361904
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-0.173636273414751,-0.00868181367073753,-3.58622297280143,-0.179311148640071,-3.4243283933734,-4.76356238756047,-2.08509439918634,-3.43057830567044,-4.85424102761841,-2.00691558372247
