"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,0.156117788130314,0.0370064295764462,5207.184,104.6643984,6556.71254171057,-5362.84241247341,18476.2674958946
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.136590012786175,0.0419761182815735,5837.940234,81.73116327,6108.66118376912,-5808.14368257705,18025.4660501153
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.162309815934851,0.0530904940814621,6956.874444,214.2717329,6698.7843556956,-5221.82310997056,18619.3918213618
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.195436500490601,0.042046070533082,5864.826617,211.1337582,7458.85332093781,-4468.85983016099,19386.5664720366
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.26760178385172,0.0961755668806419,8871.994311,120.6591226,9114.63605278307,-2837.14030994451,21066.4124155107
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.36286073907402,0.116705688965042,7746.307975,230.8399776,11300.287182585,-701.158687826313,23301.7330529963
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.144632769456611,0.0267340812507992,8706.157013,221.1363881,6293.19669712257,-5624.63611719118,18211.0295114363
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.14105434106084,0.0478442166015877,6598.380417,137.9061507,6211.0921217797,-5706.26521982496,18128.4494633844
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.146705212461712,0.0344229491341433,4618.995032,122.8652679,6340.7474747369,-5577.37398534491,18258.8689348187
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,0.12831162917258,0.031761774512703,3415.579205,69.67781578,5918.71937246368,-5997.18063722318,17834.6193821505
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,0.137892409371546,0.0347421915823191,4921.529077,148.6301781,6138.54377655657,-5778.41759632536,18055.5051494385
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,0.103615122091676,0.0388671493048754,7273.786524,336.7763161,5352.07502414415,-6562.04931123241,17266.1993595207
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,0.0971096803755229,0.0250655510743553,5415.67046,155.9713092,5202.81214378199,-6711.07475206301,17116.699039627
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,0.31245438819213,0.0461007293887611,8945.422022,111.8177753,10143.7481727135,-1828.88796890114,22116.3843143281
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,0.232695942517169,0.070701389537126,8976.759109,182.2282099,8313.74556042453,-3624.9249301881,20252.4160510372
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,0.154142809250872,0.0262134408229321,5721.295663,207.6830326,6511.39801134317,-5407.83951495178,18430.6355376381
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,0.0939282262212202,0.0304657266729656,6594.697268,79.79583695,5129.81586904291,-6783.98987914856,17043.6216172344
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,977.5775,0.0956973930015286,0.0312919111802033,5009.073815,164.2976211,5170.40818252321,-6743.43985556773,17084.2562206141
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1058.64692307692,0.291309435014927,0.153711236214484,7175.3422,244.679169,9658.59178302273,-2303.64836922257,21620.831935268
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1151.60416666667,0.075893894261859,0.0297011143722135,6260.84885,155.2690515,4716.03054114155,-7197.74940097085,16629.8104832539
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1233.23666666667,0.0636911802109688,0.0238238208185154,5656.960644,182.7198288,4436.04767034753,-7478.13351518632,16350.2288558814
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1270.93,0.070041896168538,0.0453096921265735,3648.143898,92.29804061,4581.76047472713,-7332.16971797535,16495.6906674296
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1396.85230769231,0.0452172168500483,0.0269218183114656,5049.87496,82.31296185,4012.17530267891,-7903.25635019725,15927.6069555551
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1480.03461538462,0.047388702718348,0.0208312559793694,3309.7982,88.37161193,4061.99855058587,-7853.24595777999,15977.2430589517
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1611.23,0.124098894419598,0.02758107675608,5997.873908,169.1400442,5822.06107455432,-6093.43814861125,17737.5602977199
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1669.44846153846,0.158894360062662,0.0657498954238559,4295.763522,76.03501434,6620.41907267924,-5299.59709451485,18540.4352398733
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1768.77461538462,0.0623010234452056,0.0285533767905127,1024.567593,13.93411927,4404.1514806549,-7510.09685704784,16318.3998183576
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1865.00538461538,0.0755877864118284,0.0247140098767388,3756.973168,89.79165872,4709.00710731635,-7204.7787677096,16622.7929823423
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,1961.41923076923,0.061312255384124,0.0192797721012656,3191.150345,68.60973241,4381.46487838458,-7532.83389115389,16295.763647923
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,2158.50153846154,0.0546723491779344,0.0256326286792184,3125.582355,61.88653064,4229.11680289425,-7685.57810515638,16143.8117109449
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2273.88416666667,0.0604641909714138,0.0271203518981895,2826.666898,28.26666898,4362.00662443397,-7552.33716787339,16276.3504167413
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,2256.42833333333,0.127979253822382,0.0510528785685916,5457.248831,229.2044509,5911.09324893562,-6004.77367674566,17826.9601746169
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,2363.54384615385,0.0782414594489939,0.0232193800502304,2756.113305,144.6959485,4769.89380776641,-7143.84770371921,16683.635319252
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,2407.86357142857,0.0694602817437641,0.0237404584821293,2828.534907,102.3929636,4568.41573226539,-7345.53363956382,16482.3651040946
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,2535.41461538462,0.094325222413615,0.0327862140792766,3423.57602,48.95713709,5138.92467329559,-6774.88994647057,17052.7392930617
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,2595.94769230769,0.0581331792105849,0.0213096731927917,2194.360902,30.94048872,4308.52316477658,-7605.95278630347,16222.9991158566
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,2697.92846153846,0.089666600183471,0.019591875069328,2525.307497,72.47632516,5032.03579427237,-6881.69724964413,16945.7688381889
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,2780.0925,0.0898645587103793,0.0378142777989738,5697.238235,74.63382088,5036.57781635293,-6877.15769191042,16950.3133246163
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,2819.29,0.102264394840499,0.0424373615517687,5573.411793,145.4660478,5321.08351751152,-6592.98361761963,17235.1506526427
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,2859.43,0.129669000224829,0.0677299877403596,4695.135297,117.847896,5949.86331653681,-5966.17440460855,17865.9010376822
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2943.97461538462,0.0478364033293807,0.022993485042334,1688.278234,102.8161445,4072.27073280782,-7842.93652166569,15987.4779872813
