"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.0749789089435057,0.0257451550610467,42.2400533,0.50833131,125.275187581491,-98.5192436939222,349.069618856904
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0621248538744475,0.0266561281496218,160.5283798,4.267333565,116.040858784207,-107.796443534884,339.878161103299
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.064748772299837,0.0261235562256569,73.63658302,0.458479319,117.925876807479,-105.901959572555,341.753713187513
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0575161447796347,0.0163840269352198,51.31483509,0.280653345,112.729970906111,-111.12484473673,336.584786548951
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.0439761241643733,0.0331839507587752,64.81180749,1.00218427,103.002845760654,-120.909960282232,326.91565180354
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.0557757767414549,0.0180408658444505,41.07148346,0.20369105,111.479693806278,-112.382029357812,335.341416970367
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0594041572595473,0.0323002191191392,56.87091915,0.770254564,114.08631549303,-109.761188910805,337.933819896866
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.0396079168110255,0.0216089697756904,39.2756349,0.284820113,99.8647338777646,-124.068861005652,323.798328761181
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.0476829443996979,0.0213391285335191,55.60667563,0.815337755,105.665818391587,-118.230142280584,329.561779063758
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0492621978733521,0.0298916342312218,54.76131918,0.753154456,106.800351093651,-117.088654778617,330.689356965918
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.09210273159346,0.0167024026230188,80.6250656,1.855020668,137.576909315723,-86.1740812926778,361.327899924123
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.0591806746765089,0.0166923475888391,70.96066682,1.987543814,113.925766028978,-109.922593901625,337.77412595958
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0542161198461307,0.0320488607427174,272.5348429,4.718080418,110.359239248942,-113.508811135308,334.227289633192
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.0445374999080832,0.0303501386923025,48.26462876,0.742906646,103.406137030871,-120.504070928367,327.316344990108
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.0477020179532627,0.0224769800371736,71.25145017,1.139627929,105.679520796315,-118.216355087311,329.575396679941
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0604975682649404,0.0375695995051548,63.1732016,1.032756436,114.87181988679,-108.971537085026,338.715176858605
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.069002299928322,0.0146444765641805,70.44102514,1.552356955,120.981602993397,-102.831667240312,344.794873227106
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0567324310896884,0.0281825965410439,100.6908119,1.179209481,112.16695247675,-111.69095377697,336.02485873047
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.0773619649789107,0.0323645421709834,69.28334701,0.809799887,126.987170520342,-96.8002795828969,350.774620623581
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0681762002624761,0.0327527804155678,70.46152124,0.555145222,120.388134559291,-103.427889264575,344.204158383157
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0515920547123187,0.0289259028385461,97.8957421,1.441879782,108.474115830618,-115.404871932855,332.35310359409
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.0728866098820781,0.0215561238376987,81.91402797,0.649961199,123.772083901627,-100.028726135201,347.572893938455
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.110451963126397,0.0462545459720726,274.0987451,7.474758189,150.758962468778,-72.9628226290652,374.480747566621
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0883308534728769,0.0287232339089333,78.69369569,2.21352713,134.867199223334,-88.8920184425163,358.626416889185
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.0519349920500385,0.0278954166507102,60.23512043,1.406740407,108.720481364012,-115.157056190435,332.598018918459
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.10441817167529,0.034858370814695,321.8666456,8.368333361,146.424298127104,-77.3051101277126,370.15370638192
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,0.0998331972654615,0.0280686207666959,107.9334325,2.989644718,143.130461201712,-80.6060374519409,366.866959855364
