Kerguelen,KER3,CAT2-S3-1D,121,136.5,137.6,137.1,0.55,7212.991667,474.68,6082.98,7069.31,6430.88,6488.05,6089.99,7135.25,6529.68,6551.22,6084.87,7034.23,6448.65,6480.83,23250.58333,55415.25,1.308333333,17.08333333,298.75,101.4166667,40.91666667,1611.25,49.58333333,208.25,90.75,1,44.16666667,158.1666667,924.4166667,43329.5,6352.583333,0.146602392,6.444988657,32.65278771,28.09871668,19.32712805,312.6037646,22.030798,42.52298844,44.72771156,3.464101615,39.75797995,52.51291327,100.6365724,253.7097483,190.4222382,0.750551524,0.003973301,1905.039024,342.9070243,10983.42711,1427.845524,1277.650304,178.8710426,48.95495609,5.874594731,1412.625853,254.2726535,0.742090782,0.051946355,5.483297024,2.960980393,3.491107712,0.48875508,9.172328677,0.825509581,3.948114024,0.631698244,143.0455433,2.860910866,31.70817962,1.585408981,0.017413329,0.001045359,6.003212103,0.002632338,0.000421259,16.00321237
Kerguelen,KER3,CAT2-S3-1D,124,140.5,141.6,141,0.55,7429.425,655.99,6177.1,7705.27,6677.5,6778.46,6285.14,7550.7,6825.47,6855.44,6196,7507.98,6688.35,6734.67,22309.83333,53542.5,1.288333333,9.916666667,253.4166667,63.5,32.58333333,1618.416667,76.16666667,216.75,99.5,0,14.25,249.3333333,951.6666667,41712.33333,6153.25,0.147516231,12.2582687,43.80215506,16.82800696,14.8902551,369.9580955,46.20474854,28.3649111,58.02585631,0,28.28467301,80.82341395,94.62493745,505.3222794,148.1007796,0.293081832,0.00304777,1172.723456,211.0902221,10474.5502,1361.691526,551.7275601,77.24185841,34.43938134,4.132725761,1493.608743,268.8495737,0.586260213,0.041038215,5.475324783,2.956675383,2.881552952,0.403417413,8.062815032,0.725653353,1.526329795,0.244212767,123.0309909,2.460619818,21.99268344,1.099634172,0.014289426,0.000800815,5.604251602,0.002047396,0.000319481,15.60425146
Kerguelen,KER3,CAT2-S3-1D,130,148.3,149.4,148.9,0.55,7841.691667,674.965,6553.35,7936.1,7157.49,7217.13,6712.43,7964.66,7553.83,7500.41,6513.77,7863.7,7278.49,7235.16,22427.91667,53799.08333,1.340833333,26.08333333,270.75,140.3333333,59.16666667,1086.583333,38.66666667,219.9166667,79.58333333,0,34.41666667,304,979.25,41857.08333,6174.25,0.14751002,11.55585907,35.23460334,34.67074568,17.61111908,251.7352355,24.87910161,31.73314394,41.69250714,0,45.59198162,93.58224385,103.820759,642.1406612,156.3051357,0.243412612,0.00310004,1668.833707,300.3900673,10175.81245,1322.855619,1250.404357,175.05661,58.05521047,6.966625256,1219.508653,219.5115575,0.698079854,0.04886559,6.019128737,3.250329518,4.230290494,0.592240669,9.555585218,0.86000267,4.097635166,0.655621627,124.2977188,2.485954376,62.50131563,3.125065782,0.003883084,0.000779418,20.07213157,0.000793032,0.000238482,30.07213171
Kerguelen,KER3,CAT2-S3-1D,133,152.3,153.4,152.8,0.55,8051.725,530.225,6933.11,8047.31,7458.73,7492.5,7196.77,8076.45,7765.03,7734.19,6967.45,8027.9,7543.06,7524.3,23022.91667,55877.75,1.296666667,39.16666667,317,183.8333333,61.5,1700.666667,51.66666667,223.5833333,90.83333333,0,74.08333333,469.3333333,1106.333333,42330.41667,6283,0.14841622,11.36048441,22.86720558,30.82452782,17.76359914,167.0478066,36.66143213,30.21877301,31.05957131,0,65.44457521,55.6079349,79.049275,346.1178092,166.2643022,0.480369105,0.003225335,2102.277758,378.4099964,10563.03941,1373.195123,1550.668939,217.0936515,68.57980204,8.229576245,1754.957543,315.8923577,0.730675186,0.051147263,7.25278997,3.916506584,5.949248492,0.832894789,12.17608051,1.095847246,5.543690999,0.88699056,132.9506239,2.659012478,86.08478295,4.304239148,0.004551285,0.000962094,21.1389438,0.001178806,0.000367068,31.13894383
Kerguelen,KER3,CAT2-S3-1D,134,153.6,154.8,154.2,0.6,8122.738462,435.1,7124.52,8060.08,7568.05,7594.11,7383.33,8092.57,7832.53,7810.01,7179.59,8049.79,7644.13,7634.02,23100,55776.53846,1.303076923,45.61538462,324.6923077,197.5384615,69.46153846,2018.538462,51.23076923,225.3076923,109.8461538,2.076923077,58.38461538,455.1538462,1080.076923,42036.69231,6231.615385,0.148242751,17.02712768,42.06816812,24.79117916,21.20383371,392.1852486,42.39330499,27.77104192,47.94762099,7.488452649,49.80719235,83.59609855,92.74468676,230.4355964,202.8347186,0.880223029,0.004764269,3216.421278,578.95583,14186.97308,1844.3065,2482.480732,347.5473025,99.68880033,11.96265604,2776.371193,499.7468147,1.156587985,0.080961159,12.74073522,6.879997019,10.45175639,1.463245895,20.20440283,1.818396255,9.271372537,1.483419606,206.9438485,4.13887697,142.986496,7.1493248,0.005558129,0.001239605,22.30256702,0.001185351,0.000382899,32.3025672
Kerguelen,KER3,CAT2-S3-1D,136,156.4,157.6,157,0.6,8271.9,251.43,7523.8,8104.86,7801.72,7812.94,7749.29,8133.11,7967.99,7961.67,7594.57,8097.43,7855.32,7853.48,23238.07692,56094.07692,1.312307692,37.30769231,313.4615385,202.9230769,58.61538462,1843.846154,43.46153846,210.7692308,112.7692308,0,55.61538462,436.3846154,1082,42602.23077,6322.384615,0.1484212,9.012811394,32.3022584,25.2700796,23.91491327,216.3977226,21.22347515,31.04070942,42.37167656,0,80.56212764,57.1395054,85.00784278,559.8700971,118.3170447,0.211329459,0.003012581,2409.761443,433.7570597,12437.46462,1616.870401,2058.571835,288.2000569,78.14911625,9.37789395,2063.954537,371.5118167,1.014040906,0.070982863,11.91900007,6.436260038,10.26088375,1.436523725,15.78135257,1.420321731,6.530373442,1.044859751,171.8039896,3.436079792,108.6647317,5.433236585,0.008068312,0.001969441,24.40957805,0.002193868,0.000754901,34.40957794
Kerguelen,KER3,CAT2-S3-1D,139,160.4,161.5,160.9,0.55,8483.125,147.095,8036.11,8266.37,8161.89,8158.58,8121.35,8517.69,8339.88,8337.09,8073.02,8367.21,8235.15,8231.18,23838.66667,57027.33333,1.344166667,18,320.5,126.25,44.16666667,1139,30,248,110.5,0,29.33333333,297.5833333,1028.083333,44809.91667,6644.416667,0.148284218,8.290191356,30.02271867,31.53965758,19.40868284,118.37383,38.68050954,23.92412248,50.87864349,0,51.30184,93.36094018,83.02733212,330.0714684,136.8392942,0.414574743,0.003071103,1087.584239,195.765163,10755.33611,1398.193694,823.5410759,115.2957506,40.47458511,4.856950213,922.1577841,165.9884011,0.762922668,0.053404587,11.06659272,5.975960069,7.674057487,1.074368048,7.801664241,0.702149782,1.196850042,0.191496007,133.8686841,2.677373682,51.6087618,2.58043809,0.00616212,0.002284148,37.06756925,0.001187435,0.000558897,47.06756925
Kerguelen,KER3,CAT2-S3-1D,141,163,164.1,163.5,0.55,8623.308333,391.835,8197.75,8854.47,8593.08,8576.33,8256.94,9140.49,8770.83,8762.49,8198.8,8982.47,8662.01,8643.06,23441.16667,55894.16667,1.304166667,17.5,295.75,106.6666667,47.75,971.5,57.16666667,247.5,135.1666667,0,26.41666667,359,997,43939.58333,6614.833333,0.150538667,5.712824488,30.33787012,19.53241284,19.30202533,74.69026954,41.96282626,23.90701685,26.62477771,0,62.50448469,116.5293564,76.96516331,323.452247,134.0853414,0.414544473,0.002538499,962.7736169,173.299251,10528.61814,1368.720358,464.8436599,65.07811239,35.49509925,4.25941191,892.1897853,160.5941614,0.735314311,0.051472002,10.95410735,5.915217969,7.281443283,1.01940206,7.362706322,0.662643569,0.766206838,0.122593094,132.8334633,2.656669266,32.68616841,1.634308421,0.005908896,0.001166812,19.7466958,0.000946934,0.000281682,29.74669586
Kerguelen,KER3,CAT2-S3-1D,142,164.3,165.5,164.9,0.6,8696.084615,545.07,8248.9,9163.28,8806.26,8785.21,8327.63,9478.63,9002.26,8991.56,8240.18,9330.32,8883.37,8864.84,23958.38462,56345.53846,1.32,10.30769231,295.2307692,79.23076923,41.84615385,942.9230769,52,235.9230769,125.4615385,0,24.53846154,260.1538462,977.9230769,44709.30769,6701.153846,0.14988908,8.004005408,41.09167362,20.01313671,18.84518574,89.7120036,36.29279084,24.59492339,58.55142382,0,36.07310952,98.81113817,114.7021226,480.7505217,119.2852646,0.248123006,0.002575174,1130.73032,203.5314576,11573.18648,1504.514242,465.2383663,65.13337128,39.76382213,4.771658656,1079.067648,194.2321766,0.851045118,0.059573158,12.37150296,6.680611598,7.973932809,1.116350593,8.349818929,0.751483704,1.004100827,0.160656132,158.8010154,3.176020308,35.9483757,1.797418785,0.005815362,0.000975824,16.7801062,0.000829989,0.000222272,26.78010592
Kerguelen,KER3,CAT2-S3-1E,150,166.5,167.5,167,0.5,8805.218182,779.495,8342.88,9698.98,9171.08,9138.69,8428.35,9967.39,9332.53,9318.79,8302.16,9861.15,9224.23,9197.52,22916.63636,53492.81818,1.284545455,8.727272727,209.9090909,59.36363636,33.45454545,611.2727273,48.36363636,222.1818182,98.18181818,0,25.54545455,248.7272727,992,42635.63636,6326,0.148365123,9.571738704,29.57855489,24.07186211,15.05565433,55.00561955,40.36650276,30.00939247,35.28404223,0,24.94539491,53.62665552,137.2086003,580.8738715,215.6218913,0.3712026,0.004299314,1320.408365,237.6735057,12213.0194,1587.692522,824.966145,115.4952603,49.16188154,5.899425785,962.6720227,173.2809641,0.779826419,0.054587849,13.51243096,7.296712718,9.490423637,1.328659309,8.318544287,0.748668986,1.1035724,0.176571584,162.2061418,3.244122836,52.72711269,2.636355635,0.005552471,0.00061557,11.08641991,0.001241227,0.00026173,21.08641973
Kerguelen,KER3,CAT2-S3-1E,152,169.1,170.2,169.6,0.55,8943.066667,1079.08,8450.07,10333.4,9600.7,9556.45,8597.6,10578.35,9765.8,9747.94,8373.52,10531.68,9651.03,9609.4,23838.75,55856.58333,1.305,11.75,231,64.83333333,34,851.25,58.58333333,250.9166667,120.75,0,9.083333333,252.9166667,1029.333333,44265.16667,6654.75,0.150340893,8.561276455,32.2462119,13.66370995,16.61324773,161.7524062,33.55174656,37.1837167,56.40297381,0,19.19023584,129.4101713,127.5177944,431.5213749,139.8129432,0.324000041,0.002954636,1998.212264,359.6782075,16966.12573,2205.596345,1131.044645,158.3462503,76.21539977,9.145847972,2348.961834,422.8131301,1.362159166,0.095351142,20.45200621,11.04408335,13.75191128,1.925267579,14.86451,1.3378059,2.065153229,0.330424517,252.3308725,5.04661745,73.90718256,3.695359128,0.005744425,0.000516849,8.997406356,0.000947519,0.000180004,18.99740648
Kerguelen,KER3,CAT2-S3-1E,156,174.6,175.7,175.1,0.55,9234.5,533.09,9567.59,10625.3,10205.6,10180.72,9778.82,10667.59,10313.32,10301.02,9620.14,10686.32,10232.64,10223.59,24150.41667,56959.25,1.314166667,8.333333333,215.0833333,57.08333333,44.5,1387.916667,98.5,237.6666667,125.75,0,40.58333333,273.5,1056.416667,44410.25,6639.166667,0.149494094,8.896713728,30.31488783,22.12139373,14.40012626,560.4844428,41.6358674,39.06249848,49.85638466,0,55.87885977,107.7391631,151.8961717,528.8282287,144.25472,0.272781807,0.00257635,1283.586316,231.0455369,11679.15184,1518.289739,493.835685,69.1369959,42.00968918,5.041162702,1655.247904,297.9446227,0.727182174,0.050902752,10.59774057,5.722779908,5.900840785,0.82611771,7.409196191,0.666827657,1.239803204,0.198368513,146.3233767,2.926467534,37.80938757,1.890469379,0.009143807,0.001,10.93636364,0.001520273,0.00031829,20.93636364
Kerguelen,KER3,CAT2-S3-1E,158,177.2,178.3,177.8,0.55,9367.741667,252.79,10139.03,10677.81,10466.7,10451.83,10257.35,10733.54,10580.86,10562.47,10224.77,10730.35,10526.81,10515.2,24389.75,65545.75,1.443333333,6.416666667,219.1666667,42.58333333,38.33333333,12235.66667,207.75,239.25,121.1666667,3.25,22.66666667,252.5833333,1046.166667,42433,6370.916667,0.150237827,8.095546849,25.55860764,18.37715149,17.83935044,8387.305455,127.5376059,28.47047913,51.1501059,11.25833025,37.08058383,107.9026989,91.21087787,1437.304421,133.0478098,0.092567592,0.004015724,1186.056597,213.4901875,10593.10427,1377.103555,541.1782668,75.76495735,45.03243353,5.403892024,4196.122168,755.3019902,1.156498194,0.080954874,11.29587326,6.09977156,8.749783869,1.224969742,13.53520131,1.218168118,1.357751212,0.217240194,125.1519053,2.503038106,49.06428939,2.45321447,0.009942155,0.001850263,18.6102841,0.002035008,0.000582222,28.61028415
Kerguelen,KER3,CAT2-S3-1E,159,178.6,179.6,179.1,0.5,9437.281818,170.345,10364.28,10737.86,10605.92,10597.82,10370.7,10854.75,10712.29,10693.2,10444.03,10784.72,10665.37,10655.61,22739.45455,53365.90909,1.293636364,6.818181818,193.6363636,40.81818182,34.72727273,991.5454545,47.81818182,237,106.4545455,0.636363636,16.90909091,264.0909091,1061.727273,42068.45455,6251.181818,0.148558148,6.539391131,60.10369827,16.52766276,21.10967034,427.3797758,49.36763754,37.58723187,31.19411366,2.110579412,28.47263439,97.46430582,95.6734978,1814.467049,334.6352696,0.184426204,0.003044998,956.4968488,172.1694328,9607.16883,1248.931948,363.0065924,50.82092294,32.82676736,3.939212083,2097.411436,377.5340585,0.853831839,0.059768229,7.457837511,4.027232256,4.407188324,0.617006365,9.220712284,0.829864106,0.717833958,0.114853433,109.4298921,2.188597842,40.56232656,2.028116328,0.010484378,0.002038861,19.44665321,0.001306491,0.000384718,29.44665329
Kerguelen,KER3,CAT2-S3-1E,163,183.8,184.9,184.3,0.55,9717.925,180.965,10552.1,10967.26,10794.14,10788.75,10502.42,10971.84,10811.5,10793.51,10613.3,10975.23,10810.51,10807.03,23110.5,55527.41667,1.431666667,61,210.6666667,152.3333333,75.91666667,2632.166667,59.75,198.6666667,86.16666667,2.166666667,97,221.75,1509.75,41686.16667,6203.5,0.149359515,34.92589558,31.14871465,27.70406381,36.43788821,1365.915732,52.94443914,26.55468914,50.92031803,7.505553499,152.6820821,72.8037524,289.2982497,2881.56204,176.1025011,0.061113555,0.00933067,28404.1912,5112.754416,9637.612103,1252.889573,2640.113003,369.6158204,390.1614629,46.81937555,11542.31551,2077.616792,0.442215771,0.030955104,2.341268423,1.264284948,4.336218703,0.607070618,118.9866526,10.70879873,75.21650139,12.03464022,43.73690339,0.874738068,375.2701178,18.76350589,0.231092437,0.00262067,1.134035355,0.084506656,0.009409001,11.13403538
Kerguelen,KER3,CAT2-S3-1E,165,186.4,187.5,187,0.55,9857.625,187.705,10596.47,10993.06,10826.38,10819.51,10542.8,11009.59,10842.39,10825.39,10642.29,11017.7,10844.77,10841.07,23307.41667,55448.83333,1.350833333,5,149.5,90.75,39.83333333,600.8333333,56.58333333,229.25,85,0,37.75,268.1666667,1205.083333,43623.83333,6510.5,0.149262991,7.045307916,20.33581704,17.73607008,12.76239742,76.86213553,31.63846432,36.13642081,44.60941605,0,71.16322467,115.1700982,86.93096355,640.2962146,107.623502,0.168083927,0.00283193,997.6136229,179.5704521,9116.045845,1185.08596,867.4628485,121.4447988,24.26747918,2.912097502,2793.517809,502.8332056,1.391187562,0.097383129,7.95662022,4.296574919,5.898747032,0.825824584,20.40517355,1.83646562,0.590156647,0.094425064,91.72627388,1.834525478,149.0322419,7.451612095,0.18707483,0.002662665,1.423315259,0.031403693,0.003587343,11.4233155
Kerguelen,KER3,CAT2-S3-1E,168,190.4,191.5,190.9,0.55,10071.14167,200.555,10641.48,11057.4,10872.76,10866.84,10602.77,11066.93,10890.28,10875.56,10679.43,11080.54,10889.89,10889.27,22089.83333,54170.16667,1.274166667,93.08333333,241.8333333,282.25,92.25,3035.833333,63.5,209.1666667,73.75,4.666666667,135.5,482.1666667,1427.916667,39546.08333,6306.75,0.159933655,61.21416701,47.68615834,63.54257699,33.38514912,1371.45078,34.37097084,23.84355576,39.76321964,11.30030839,72.0031565,69.09523511,123.8697691,2425.446068,161.5302533,0.066598163,0.008987334,18363.9166,3305.504988,11081.24965,1440.562455,2657.03495,371.984893,156.345027,18.76140324,4685.263824,843.3474883,0.770566552,0.053939659,4.147415448,2.239604342,3.077501979,0.430850277,27.9689,2.517201,35.06414579,5.610263326,94.3121603,1.886243206,181.1907224,9.05953612,0.126146789,0.002585498,2.049594547,0.045337722,0.005463012,12.04959441
Kerguelen,KER3,CAT2-S3-1E,171,194,195,194.5,0.5,10256.17273,183.85,10692.24,11076.67,10919.01,10909.62,10668.55,11088.18,10937.74,10921.11,10730.49,11098.19,10935.05,10930.75,19908.45455,50475.81818,1.320909091,109.8181818,274.2727273,227.1818182,108.3636364,5596,94.63636364,213.5454545,121.0909091,14.90909091,146.8181818,321.3636364,1392,33834.27273,5793.181818,0.173548204,93.42035986,40.6573263,52.3102632,56.76314425,3065.492489,71.17481679,52.62958034,48.4364626,23.56461137,113.5982554,104.8010236,180.3618585,4772.846972,246.9865657,0.051748268,0.0186866,2582.837915,464.9108247,15402.38837,2002.310488,2445.179433,342.3251206,80.49366959,9.659240351,3019.351972,543.483355,2.495460469,0.174682233,14.78209106,7.982329172,6.647074218,0.930590391,42.63542732,3.837188459,5.22738231,0.83638117,208.7810778,4.175621556,308.4077906,15.42038953,0.087032202,0.002525635,2.901954842,0.017107742,0.002207233,12.90195464
Kerguelen,KER3,CAT2-S3-1E,174,197.7,198.6,198.1,0.45,10446.9,179.48,10733.67,11110.3,10966.35,10953.58,10726.74,11123.15,10984.18,10967.96,10762.74,11121.7,10984.39,10972.24,13682.1,38366.3,1.392,612.2,414.5,402.8,211.6,8525.9,137.9,151.4,100.7,41.9,446.8,242.3,1031,19365.6,4995,0.258095926,103.9196271,114.964004,194.7818153,50.25755886,1312.001139,65.13481745,29.97109719,48.115717,51.22380089,49.36890609,50.11553319,137.4829282,588.0996136,109.3953076,0.186014929,0.007975903,38386.72772,6909.61099,11835.48443,1538.612976,2701.145029,378.1603041,296.0413566,35.52496279,10949.68509,1970.943316,2.559258484,0.179148094,4.315492745,2.330366082,6.066381953,0.849293473,54.94178027,4.944760224,56.48226198,9.037161917,50.30182718,1.006036544,236.657087,11.83285435,0.062586926,0.002310773,3.69210229,0.067821874,0.00928624,13.69210233
Kerguelen,KER3,CAT2-S3-1E,177,201.6,202.7,202.1,0.55,10658.89167,166.56,10794.48,11150.59,11016.84,11004.07,10801.54,11152.7,11041.35,11024.12,10819.97,11153.09,11036.42,11022.03,23686,56209.83333,1.290833333,20.91666667,169.6666667,121.4166667,40.41666667,1391.833333,73.25,244.6666667,127.5833333,97.83333333,10.08333333,226.8333333,1665.25,43203.25,6446.083333,0.149211874,32.04388563,34.9033297,31.26269439,20.86518777,290.5085927,45.44552183,32.18789533,59.33029018,87.33304418,15.4417282,78.05340052,151.5088506,545.7532118,185.0432177,0.339060245,0.004169422,5185.884967,933.4592941,8912.586825,1158.636287,2013.3191,281.864674,126.2715705,15.15258846,5241.125535,943.4025963,1.716659161,0.120166141,10.9175411,5.895472194,13.11197215,1.835676101,76.3419094,6.870771846,15.78377328,2.525403725,81.49647786,1.629929557,605.8587744,30.29293872,0.054862843,0.003070739,5.597119089,0.019119944,0.00298216,15.59711923
Kerguelen,KER3,CAT2-S3-1E,181,207,208.1,207.5,0.55,10924.02,148.72,10878.31,11184.93,11100.22,11082.22,10890.96,11195.21,11119.58,11100,10892.22,11189.66,11112.26,11093.75,24427,62999.2,1.34,2,193.6,72.6,34.2,8821.4,74.8,273.2,131.6,59.8,3.6,198.6,1284.4,43344,6470.4,0.149386262,2.828427125,15.24139101,6.066300355,17.04992669,3491.494279,62.05400873,30.49918032,68.22243033,91.42319181,5.128352562,144.9889651,150.455309,1511.531508,200.3204932,0.132528162,0.005733552,2111.546111,380.0783,9632.985674,1252.288138,925.9678774,129.6355028,54.61148695,6.553378434,9051.448288,1629.260692,10.43196843,0.73023779,27.65214913,14.93216053,5.623204587,0.787248642,89.9339509,8.094055581,2.277013402,0.364322144,91.41696835,1.828339367,195.2366924,9.76183462,0.061867267,0.003471127,5.610602714,0.012711256,0.001984304,15.61060296
Marion Island,PB1,PB1_1A,4,5,6.3,5.7,0.65,154.78,11.705,-67.02,-57.47,-63.68,-63.34,-63.88,-27.45,-52.86,-50.87,-64.67,-41.26,-57.14,-55.99,21886.23077,51097.61538,1.358461538,64.69230769,115.6153846,30.76923077,55.07692308,1038.230769,64.15384615,204.2307692,104.5384615,0,34.53846154,62.30769231,886.6923077,40130.07692,5827.076923,0.145120525,29.98717675,33.38547204,20.57163843,18.25496069,372.1277007,43.8213155,41.64963755,37.1878461,0,49.05713571,51.70651896,61.3736977,2383.093349,421.9489427,0.177059343,0.002974175,2134.314662,384.1766392,3780.755735,491.4982456,483.9049853,67.74669794,90.58997647,10.87079718,3050.532794,549.0959029,1.690889426,0.11836226,3.447393088,1.861592268,9.794512059,1.371231688,32.22505588,2.900255029,0.868594897,0.138975184,81.06532941,1.621306588,6.897431912,0.344871596,0.1042502,0.032853172,31.51377306,0.0376123,0.015614285,41.51377292
Marion Island,PB1,PB1_1A,7,9.8,11.1,10.4,0.65,333.91,74.665,-59.55,98.39,-22.97,-13.18,-50.7,84.2,-8.77,-1.48,-55.18,94.15,-14.6,-5.54,23303.71429,57021.57143,1.264285714,34.42857143,138.5714286,72.78571429,25.78571429,3249.714286,86.85714286,233.9285714,141.2857143,2.285714286,22.28571429,187.5714286,968.8571429,42628.85714,6302.285714,0.147880167,10.67501962,27.69258242,19.52977439,15.68035798,411.8497539,52.7313323,24.02070993,63.06825188,6.603362447,48.48382533,110.3760804,135.6935785,847.7820708,115.6296665,0.13639079,0.003362614,2089.942677,376.1896819,6525.57179,848.3243327,1408.35037,197.1690518,86.46016016,10.37521922,7851.216036,1413.218886,2.851308267,0.199591579,5.334838241,2.88081265,13.40015169,1.876021237,31.8213276,2.863919484,1.338842032,0.214214725,104.8784032,2.097568064,17.18644975,0.859322488,0.111111111,0.009043478,8.139130435,0.112475113,0.020402008,18.13913044
Marion Island,PB1,PB1_1A,9,12.6,13.8,13.2,0.6,440.63,83.56,-46.44,135.48,12.37,19.35,-38.85,128.94,26.86,32.08,-40.93,126.19,23.02,28.38,22344.46154,54220.76923,1.322307692,19.76923077,115.6923077,56.61538462,25.15384615,2784.923077,63.84615385,211.7692308,100.5384615,1.076923077,5.230769231,133.5384615,883.3076923,41067.15385,6062.538462,0.147634556,11.98021874,20.15516731,24.25399782,14.74135992,460.2362548,43.19692534,33.68766799,44.69641183,3.882901374,13.18555931,80.2803581,103.5739548,1708.77626,259.7699673,0.152021054,0.002370346,1779.04261,320.2276698,4940.432966,642.2562856,1241.462931,173.8048103,55.81310149,6.697572179,8344.923993,1502.086319,2.134905215,0.149443365,5.589422519,3.01828816,11.97926549,1.677097169,24.29654636,2.186689172,1.014046175,0.162247388,94.53614478,1.890722896,15.76503787,0.788251894,0.094265515,0.006842285,7.258524347,0.027539162,0.004752853,17.25852418
Marion Island,PB1,PB1_1A,14,19.4,20.7,20.1,0.65,704.72,108.61,-5.19,202.54,95.02,96.76,10.23,215.87,113.37,113.96,-0.74,216.48,108.52,108.74,21344,55060.5,1.252142857,15.71428571,126,143.2857143,18.14285714,6043.857143,62.5,194.3571429,109.2857143,7.5,31.07142857,116,892.3571429,39068.78571,5818.5,0.148946779,10.59338379,30.63683052,28.4940711,14.26592035,2430.908468,52.33582388,27.57258154,48.26597555,12.41432175,49.07053681,87.17091964,89.07439168,373.9010932,91.22562899,0.243983317,0.002973005,1462.794157,263.3029483,6131.18343,797.0538459,2277.256134,318.8158588,62.90213663,7.548256396,10691.94331,1924.549796,2.998855814,0.209919907,8.261052616,4.460968413,11.24002965,1.573604151,21.32425029,1.919182526,1.446039186,0.23136627,92.32272965,1.846454593,27.06353779,1.35317689,0.075581395,0.005880756,7.780693025,0.026085985,0.004638269,17.78069317
Marion Island,PB1,PB1_1A,16,22.3,23.5,22.9,0.6,810.69,100.74,22.15,226.45,134.71,130.87,31.25,234.36,151.84,146.38,28.73,230.21,148.2,141.22,20499.53846,50354,1.313076923,14.30769231,103.6923077,139.1538462,21.69230769,1944.076923,66.84615385,189.3076923,89.23076923,5.230769231,14.92307692,159.4615385,810.7692308,38739.15385,5718.153846,0.147600634,7.663600279,23.41076894,24.53176904,14.03795222,1525.144663,48.25254079,24.66571377,48.22197605,11.6200534,33.04154339,99.68585271,68.83937082,472.1078348,176.954724,0.374818444,0.003996293,1354.604703,243.8288465,6943.504909,902.6556382,2862.642661,400.7699725,71.5155,8.58186,7986.619879,1437.591578,3.571440727,0.250000851,7.700557879,4.158301255,11.60429285,1.624600999,22.50065448,2.025058903,1.729952721,0.276792435,111.3330188,2.226660376,33.63395636,1.681697818,0.077369439,0.005654776,7.308797889,0.046659237,0.008076153,17.30879784
Marion Island,PB1,PB1_1A,17,23.7,24.9,24.3,0.6,862.94,102.285,31.95,238.86,155.17,147.55,39.83,250.15,170.77,162.59,37.63,242.2,167.49,157.46,21543,53523.92308,1.347692308,7.153846154,100.6153846,104.1538462,18.23076923,4082.769231,50.38461538,200.6923077,104.4615385,6.153846154,35.61538462,150.1538462,954.3846154,39635.15385,5831.307692,0.147154705,6.804975555,13.02266269,20.8360511,14.81639771,3805.010625,41.25033022,30.49968474,41.3271811,17.29569385,46.19801306,82.24743781,90.78320188,771.3963363,162.8349802,0.211091202,0.004268201,1102.266789,198.408022,6534.507184,849.4859339,2202.675675,308.3745945,65.84935956,7.901923147,8570.237082,1542.642675,3.434464783,0.240412535,8.044716196,4.344146746,11.43140635,1.600396889,21.58351439,1.942516295,1.406166493,0.224986639,101.3618316,2.027236632,27.17845392,1.358922696,0.079787234,0.005499542,6.892758937,0.03465788,0.005854672,16.89275889
Marion Island,PB1,PB1_1A,22,30.4,31.6,31,0.6,1116.79,105,100.77,305.26,250.82,233.88,127.16,374.51,278.06,270.65,118.51,328.51,265.05,253.66,22876.84615,54689.61538,1.250769231,10.38461538,153.3846154,135.5384615,33.61538462,1401.692308,51.23076923,234.5384615,124.2307692,0,43.07692308,207.1538462,950.0769231,42683.07692,6365.846154,0.149119361,9.287432921,24.60534651,28.81439277,17.49065685,267.8772681,39.55408501,46.98513131,49.25131783,0,61.0552503,70.64564879,110.9455283,954.1762994,233.4162398,0.244625904,0.003357047,1144.77978,206.0603604,8345.148352,1084.869286,2912.205495,407.7087693,83.23987912,9.988785494,8371.598901,1506.887802,4.068094505,0.284766615,8.92706044,4.820612638,13.55326154,1.897456616,18.08953077,1.628057769,1.945437912,0.311270066,129.978,2.59956,34.46506593,1.723253297,0.032635301,0.004383722,13.43245415,0.025181197,0.005900572,23.4324541
Marion Island,PB1,PB1_1A,28,38.5,39.8,39.2,0.65,1426.52,219.87,231.92,663.67,431.83,438.8,243.48,750.3,478.05,486.31,262.74,702.48,455.11,464.59,21749.42857,56612.21429,1.285,18.28571429,370.2142857,757.6428571,80.85714286,7204.214286,96.14285714,208.8571429,119.8571429,7.5,13.71428571,680,909.7142857,37951.35714,6005.214286,0.158260431,11.82844402,50.09403246,89.75660005,21.31036997,1196.898054,36.5615543,33.69514264,54.67647102,13.32291259,19.93230301,133.7402764,80.38601923,629.9064164,131.4546886,0.208689236,0.003722228,3227.770248,580.9986446,23434.69076,3046.509799,10129.00989,1418.061385,323.9125641,38.86950769,26108.88564,4699.599415,12.9706968,0.907948776,23.03441319,12.43858312,33.18613386,4.64605874,52.60385462,4.734346916,6.18584993,0.989735989,270.9112707,5.418225414,116.7050439,5.835252195,0.02736266,0.002507813,9.165091246,0.016083763,0.003082468,19.16509131
