[a] Location,[b] Site,[c] Section,[d] sample,[e] depth_top,[f] depth_bottom,[g] depth_midpoint,[h] depth_err,[i] SH20_age,[j] SH20_mean_95CI,[k] SH20_min_depth_min,[l] SH20_min_depth_max,[m] SH20_min_depth_median,[n] SH20_min_depth_mean,[o] SH20_max_depth_min,[p] SH20_max_depth_max,[q] SH20_max_depth_median,[r] SH20_max_depth_mean,[s] SH20_midpoint_depth_min,[t] SH20_midpoint_depth_max,[u] SH20_midpoint_depth_median,[v] SH20_midpoint_depth_mean,[w] kcps,[x] cps,[y] MSE,[z-ak] K,[z-ak] Ca,[z-ak] Ti,[z-ak] Mn,[z-ak] Fe,[z-ak] Co,[z-ak] Ni,[z-ak] Cu,[z-ak] Zn,[z-ak] Rb,[z-ak] Sr,[z-ak] Zr,[al] Mo_inc,[am] Mo_coh,[an] coh_inc,[ao-az] K_sd,[ao-az] Ca_sd,[ao-az] Ti_sd,[ao-az] Mn_sd,[ao-az] Fe_sd,[ao-az] Co_sd,[ao-az] Ni_sd,[ao-az] Cu_sd,[ao-az] Zn_sd,[ao-az] Rb_sd,[ao-az] Sr_sd,[ao-az] Zr_sd,[ad-bi] Mo_inc_sd,[ad-bi] Mo_coh_sd,[ad-bi] coh_inc,[ad-bi] coh_inc_sd,[be-cb] K_ICP,[be-cb] K_ICP_sd,[be-cb] Ca_ICP,[be-cb] Ca_ICP_sd,[be-cb] Ti_ICP,[be-cb] Ti_ICP_sd,[be-cb] Mn_ICP,[be-cb] Mn_ICP_sd,[be-cb] Fe_ICP,[be-cb] Fe_ICP_sd,[be-cb] Co_ICP,[be-cb] Co_ICP_sd,[be-cb] Ni_ICP,[be-cb] Ni_ICP_sd,[be-cb] Cu_ICP,[be-cb] Cu_ICP_sd,[be-cb] Zn_ICP,[be-cb] Zn_ICP_sd,[be-cb] Rb_ICP,[be-cb] Rb_ICP_sd,[be-cb] Sr_ICP,[be-cb] Sr_ICP_sd,[be-cb] Zr_ICP,[be-cb] Zr_ICP_sd,[ck] SAR,[cl] SAR_err,[cm] SAR_pc_err,[cn] DMAR,[co] DMAR_err,[cp] DMAR_pc_err
Bird Island,BI10,BI10.1,1,0,1.1,0.6,0.55,-61.4,8.335,-69.86,-63.97,-66.97,-66.95,-66.96,-40.21,-57.84,-56.57,-67.77,-51.1,-62.17,-61.47,20689.81818,52220.36364,1.329090909,8.636363636,42,15.27272727,16.36363636,5450.545455,68.90909091,172.7272727,88,8,26.18181818,28.72727273,792.3636364,38213.72727,5590.272727,0.146376585,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.119040418,0.003886984,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,0.105973025,0.037099494,35.0084317,0.011327956,0.005098536,45.00843208
Bird Island,BI10,BI10.1,4,3.9,5,4.5,0.55,-24.86,56.95,-63.99,20.43,-36.21,-32.18,-63.96,55.4,-25.81,-19.51,-64.1,49.8,-31.32,-25.36,24515.91667,60507.16667,1.321666667,10.41666667,43.08333333,12.83333333,35.66666667,5083.583333,81.58333333,238.75,98.91666667,0,56.5,2.083333333,898.5,45226.25,6602.416667,0.145989152,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,0,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.28331277,0.003613515,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,0.086819258,0.009213502,10.61227909,0.015255009,0.003144405,20.61227891
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,0.55,47,129.025,-44.91,167.4,29.09,39.26,-32.39,200.9,48.24,59.91,-39.25,218.8,35.12,47.68,21782.66667,52798.33333,1.291666667,9.833333333,56.5,12.5,12.91666667,1170,33.08333333,191.9166667,71.25,4.333333333,28.58333333,10.25,921.5,42093.83333,6060.5,0.143955505,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.191085437,0.003010999,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,0.053268765,0.004475001,8.400797364,0.007736425,0.001423564,18.40079743
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,0.55,205.72,149.72,69.09,324.36,194.91,195.88,79.04,373,218.49,221.02,65.22,364.66,211.25,213.61,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,50.16666667,203.3333333,87.41666667,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,0.148022999,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.091273532,0.003202734,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,0.043754972,0.003619493,8.272185844,0.009372342,0.001712532,18.27218589
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,0.45,329.53,170.14,154.17,438.92,312.06,308.03,195.74,462.19,344.7,340.37,117.06,457.34,343.04,327.69,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,0.160262792,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.130580726,0.00242683,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,0.027829314,0.002921888,10.49931823,0.008455026,0.001733223,20.49931836
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,0.5,392,161.385,200.58,505.65,369.46,366.83,262.78,516.77,407.75,402.11,184.07,506.84,400.87,386.76,23491.90909,61638.18182,1.349090909,11.09090909,171.7272727,33.09090909,36.45454545,10621.27273,258.1818182,227.4545455,143,17.45454545,5.636363636,148.1818182,831.4545455,40697.09091,6303.272727,0.154934023,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.133912098,0.003348951,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,0.028344671,0.003162655,11.15784813,0.007358917,0.001556988,21.15784813
Bird Island,BI10,BI10.2,45,44,45,44.5,0.5,433.74,107.765,296.78,515.28,417.09,415.59,321.26,531.19,445.97,441.25,303.06,518.59,439.51,432.13,23876.4,60911.7,1.358,14.7,248,39.4,32,6755.8,189.9,219.5,142.2,265.8,47.9,369.7,866.8,42680.9,6658.3,0.156005654,7.572611468,30.23978248,14.82640288,16.00694294,1156.003537,73.9541149,38.77929001,30.11016809,53.05091894,51.60415573,85.43750152,126.1787092,801.7086545,145.3142572,0.181255692,0.002073748,66668.75515,12000.37593,10818.31417,1406.380842,3006.601666,420.9242332,498.7089785,59.84507742,25853.87296,4653.697133,6.375776882,0.446304382,9.325702706,5.035879461,12.41602198,1.738243077,63.36397587,5.702757828,138.1998527,22.11197643,165.8736664,3.317473328,60.55383697,3.027691849,0.038971161,0.00426603,10.94663197,0.013685775,0.002866709,20.94663206
Bird Island,BI10,BI10.2,51,45.9,46.9,46.4,0.5,557.39,86.255,458.19,652.16,557.61,558.58,452.96,676.01,571.49,571.49,489.96,662.47,565.39,570,24296.54545,57427.36364,1.319090909,10.18181818,201.4545455,13.90909091,34.81818182,1059.545455,61.54545455,235.4545455,125.0909091,3.272727273,31.63636364,301.6363636,927.1818182,45251.90909,6734.363636,0.148821988,8.412112479,15.58437446,14.03890698,16.98716093,180.1123892,35.1692014,31.43044268,36.71908099,10.8544084,61.23605593,99.87519485,95.6230288,298.8807302,161.2279583,0.539439121,0.003551217,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,0.077459334,0.004590947,5.926912129,0.013839463,0.002204199,15.92691219
Bird Island,BI10,BI10.2,54,49.3,50.3,49.8,0.5,627.65,161.895,510.24,810.35,637.24,645.55,497.9,836.66,643.63,650.17,518.09,841.88,637.88,651.29,24361,56855.45455,1.398181818,6.090909091,175,8.454545455,33,848.8181818,34.90909091,242.6363636,129.4545455,13,28.27272727,142,922.1818182,45281,6665,0.147191486,7.751832628,17.37239189,9.277538859,15.54348738,82.92022453,34.7000131,31.40787394,54.47635016,22.21260903,36.03634529,97.45460482,63.17407408,466.7517541,176.81742,0.3788254,0.003572464,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,0.216450216,0.003063538,1.415354451,0.059937771,0.006842109,11.41535434
