Location,Site,Section,Sample_ID,field_min_depth,field_max_depth,field_depth_mid,strat_min_depth,strat_max_depth,strat_depth_mid,depth,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,accrate_cmyr-1,kcps,cps,MSE,K,K_sd,Ca,Ca_sd,Ti,Ti_sd,Mn,Mn_sd,Fe,Fe_sd,Co,Co_sd,Ni,Ni_sd,Cu,Cu_sd,Zn,Zn_sd,Rb,Rb_sd,Sr,Sr_sd,Zr,Zr_sd,Mo_inc,Mo_coh,coh_inc,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,dry_mass_pc,dry_mass_err
Bird Island,BI10,BI10.6,228,221.4,222.4,221.9,217.4,218.4,217.9,217.9,2981.16,3579.00,3334.21,3318.46,0.05274,22133.63636,59188.27273,1.385454545,11.72727273,1.172727273,240.2727273,24.02727273,38.09090909,3.809090909,37.63636364,3.763636364,10933.36364,1093.336364,127.2727273,12.72727273,195.4545455,19.54545455,147.3636364,14.73636364,641.9090909,64.19090909,39.45454545,3.945454545,360.2727273,36.02727273,762.2727273,76.22727273,37510.09091,5808.454545,0.15488026,931.7696555,111.8931308,0.002108052,3810.216932,685.8390478,8457.047616,1099.41619,430.4165299,60.25831419,73.63658302,8.836389962,46161.88967,8309.140141,10.70451145,0.749315802,8.361148745,4.515020322,60.20244341,8.428342077,399.0691035,35.91621932,6.149324503,0.98389192,136.1592518,2.723185036,8.204676276,0.410233814,15.01857475,1.501857475
Bird Island,BI10,BI10.6,239,234.2,235.2,234.7,230.2,231.2,230.7,230.7,3276.08,3727.99,3580.47,3561.17,0.08916,21143.36364,63280.36364,1.398181818,7.454545455,0.745454546,285.5454545,28.55454545,38.09090909,3.809090909,36,3.6,20409.27273,2040.927273,208.1818182,20.81818182,193.4545455,19.34545455,143.7272727,14.37272727,49.18181818,4.918181818,45.45454545,4.545454545,367.0909091,36.70909091,662.3636364,66.23636364,33387.09091,5434.818182,0.162813335,438.7403457,126.3430395,0.004598313,2179.747422,392.354536,7198.222186,935.7688842,389.6638198,54.55293477,51.31483509,6.157780211,28337.51625,5100.752925,6.228678054,0.436007464,7.693387104,4.154429036,73.19734621,10.24762847,48.4428199,4.359853791,4.534790413,0.725566466,116.7915838,2.335831676,9.348601732,0.467430087,18.8198384,1.88198384
Bird Island,BI10,BI10.6,247,243.9,245,244.5,239.9,241,240.45,240.45,3430.91,3816.97,3685.19,3671.08,0.16351,21494.83333,55564,1.42,4.583333333,0.458333333,135.0833333,13.50833333,18.25,1.825,24.16666667,2.416666667,8114.75,811.475,104.3333333,10.43333333,189.4166667,18.94166667,128.9166667,12.89166667,52.41666667,5.241666667,42.83333333,4.283333333,193.4166667,19.34166667,732.3333333,73.23333333,38027.25,5765.583333,0.151656429,694.6642256,120.8511168,0.003910051,2601.638721,468.2949698,6524.805309,848.2246902,301.303437,42.18248118,64.81180749,7.777416899,68261.38783,12287.04981,16.02760991,1.121932694,12.99158529,7.015456057,116.9107903,16.36751064,232.0043335,20.88039002,3.037488827,0.485998212,95.07661499,1.9015323,4.985074292,0.249253715,16.82536639,1.682536639
Bird Island,BI10,BI10.7,259,250.7,251.7,251.2,252.7,253.7,253.2,253.2,3540.23,3899.41,3756.81,3748.75,0.16304,22053.5,55644.7,1.456,6.9,0.69,216.5,21.65,22.5,2.25,30.5,3.05,6016.1,601.61,58.4,5.84,193.8,19.38,94.7,9.47,0.181818182,0.018181818,36.7,3.67,309.4,30.94,778.5,77.85,39978.3,5991.2,0.149871289,409.0313897,142.4373547,0.003718036,2160.208858,388.8375944,6240.983611,811.3278694,344.5794406,48.24112168,41.07148346,4.928578015,23779.92504,4280.386507,0.986560337,0.069059224,4.505779401,2.433120877,32.9760233,4.616643262,29.80921049,2.682828944,5.026836978,0.804293916,101.292967,2.02585934,7.527120756,0.376356038,15.55226095,1.555226095
Bird Island,BI10,BI10.7,271,265,266,265.5,267,268,267.5,267.5,3668.26,3994.30,3838.72,3836.46,0.14999,21318.45455,65289.27273,1.384545455,9.454545455,0.945454546,229.1818182,22.91818182,32.45454545,3.245454545,38.27272727,3.827272727,22559,2255.9,268,26.8,198,19.8,150,15,134.9090909,13.49090909,13.54545455,1.354545455,179.9090909,17.99090909,669.9090909,66.99090909,33321.45455,5441.545455,0.16333933,783.5076724,100.1123006,0.002567568,2135.960113,384.4728203,7771.356271,1010.276315,232.314161,32.52398254,56.87091915,6.824510298,58747.48129,10574.54663,23.84445704,1.669111993,14.66999494,7.921797268,145.5334854,20.37468796,316.1883316,28.45694984,2.699363842,0.431898215,119.6977813,2.393955626,5.881017729,0.294050886,14.32041997,1.432041997
Bird Island,BI10,BI10.7,280,275.9,276.9,276.4,277.9,278.9,278.4,278.4,3758.86,4073.89,3903.29,3909.13,0.12280,22988.54545,61328.09091,1.342727273,12.63636364,1.263636364,210.0909091,21.00909091,30,3,24,2.4,11403,1140.3,201.1818182,20.11818182,228.2727273,22.82727273,145.4545455,14.54545455,299.6363636,29.96363636,30.63636364,3.063636364,298,29.8,792.4545455,79.24545455,39378.72727,6128.090909,0.155620113,414.5496571,177.2780046,0.004236404,1942.49545,349.649181,6196.60628,805.5588164,227.4128172,31.83779441,39.2756349,4.713076188,49872.72804,8977.091047,36.34308788,2.544016152,15.10269284,8.155454134,49.70613596,6.958859034,205.2689039,18.47420135,2.511699688,0.40187195,99.83622626,1.996724525,5.366567931,0.268328397,15.13754881,1.513754881
Bird Island,BI10,BI10.8,300,289.7,290.8,290.3,293.7,294.8,294.25,294.25,3859.29,4252.96,4032.34,4038.61,0.11842,21941.25,90008.25,1.515,3.916666667,0.391666667,215.9166667,21.59166667,29.33333333,2.933333333,42.41666667,4.241666667,54932.25,5493.225,417.3333333,41.73333333,161.5,16.15,168.6666667,16.86666667,259.3333333,25.93333333,27.08333333,2.708333333,230.9166667,23.09166667,469.5,46.95,26231.16667,4973.25,0.189814865,1786.447813,264.1897132,0.005451463,643.1526044,115.7674688,6725.623999,874.3311199,263.8954581,36.94536413,55.60667563,6.672801076,73040.17367,13147.23126,35.13097178,2.459168025,14.43173082,7.793134643,80.36054861,11.25047681,206.0678435,18.54610592,3.349219592,0.535875135,110.4667193,2.209334386,6.491956622,0.324597831,18.81474965,1.881474965
Bird Island,BI10,BI10.8,303,293.4,294.4,293.9,297.4,298.4,297.9,297.9,3880.40,4301.74,4061.61,4069.01,0.11640,22949.09091,77882.81818,1.480909091,11.45454545,1.145454545,237.0909091,23.70909091,46.81818182,4.681818182,37.45454545,3.745454545,35227.09091,3522.709091,408.6363636,40.86363636,192,19.2,203,20.3,321.7272727,32.17272727,31.45454545,3.145454545,320.9090909,32.09090909,621.0909091,62.10909091,32668.45455,5599.272727,0.171447406,844.0389047,133.5216019,0.004035679,661.9708417,119.1547515,5960.306307,774.8398199,277.5603378,38.85844729,54.76131918,6.571358302,74836.34761,13470.54257,16.81953054,1.177367138,12.65956686,6.836166104,78.52750915,10.99385128,100.7202187,9.064819683,3.120629768,0.499300763,95.05242503,1.901048501,6.318871737,0.315943587,19.36337954,1.936337954
Bird Island,BI10,BI10.8,311,303.1,304,303.6,307.1,308,307.55,307.55,3941.17,4415.92,4142.46,4152.34,0.11598,22421.4,74987.1,1.433,33.5,3.35,371.1,37.11,107.2,10.72,68.3,6.83,31882.8,3188.28,288.3,28.83,194.3,19.43,135.2,13.52,62.3,6.23,46.2,4.62,541.9,54.19,606,60.6,32349.8,5564.9,0.172016068,638.092435,197.5924256,0.004841071,1745.183529,314.1330352,6654.679504,865.1083355,691.4862269,96.80807177,80.6250656,9.675007872,65108.07757,11719.45396,25.16163647,1.761314553,12.05911704,6.511923202,51.06064778,7.148490689,130.9239492,11.78315543,9.077687309,1.452429969,109.9097917,2.198195834,13.10956878,0.655478439,20.68841246,2.068841246
Bird Island,BI10,BI10.8,318,311.7,312.8,312.2,315.7,316.8,316.25,316.25,3998.58,4496.01,4220.41,4227.35,0.09667,22422,70225.66667,1.4325,10.25,1.025,244.0833333,24.40833333,43.33333333,4.333333333,41.08333333,4.108333333,25978.75,2597.875,209.5833333,20.95833333,201.25,20.125,114.8333333,11.48333333,6.5,0.65,18.58333333,1.858333333,412,41.2,651.3333333,65.13333333,34650.58333,5648.416667,0.163066212,721.5749767,126.0241379,0.004634782,543.4726901,97.82508422,6154.781584,800.1216059,244.2716404,34.19802966,70.96066682,8.515280018,88890.89611,16000.3613,11.55396277,0.808777394,9.165262456,4.949241726,50.54112884,7.075758038,83.34916521,7.501424869,2.400125578,0.384020092,92.99111859,1.859822372,4.823094008,0.2411547,14.84252301,1.484252301
