"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12378",41.1,81.1,81.1,3289,7.18,1,TRUE,23141,57524,1.26,-0.0553575944944365,-1.01480030661999,-0.278559267055944,-0.135279877874157,-0.354767818432756,NA,-1.78247804555387,NA,-0.712258012975178,-0.672755533119091,49271,6.66744475568005,0.149982495040261
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12379",41.2,81.2,81.2,3292,7.17,1,TRUE,23481,57511,1.4,-1.21738810004639,-0.875224012294378,-0.510361183164935,-0.357986280639676,-0.411877533455955,-1.01243397708823,NA,NA,0.152719587445621,-0.933452236407428,49309,6.93386967015286,0.144219612939156
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12380",41.3,81.3,81.3,3294.9,7.17,1,TRUE,23759,57284,1.3,-0.954337910645169,-1.07768367262259,-0.554785086376929,-0.586244420883804,-0.417867462341205,NA,-0.252055860917565,NA,-0.14416259494553,-0.847866100750742,49378,6.84524944391484,0.146086714325504
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12381",41.4,81.4,81.4,3297.8,7.16,1,TRUE,23900,59588,1.4,-1.23646073698685,-0.766525025190706,-0.485345611393145,-0.778762284658521,-0.396231692844707,NA,-0.399110829231125,-1.01200790875841,-0.283120381859404,-0.720218302420622,50735,6.71517639902676,0.148916415679703
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12382",41.5,81.5,81.5,3300.8,7.17,1,TRUE,23890,59008,1.38,-0.572403836366437,-0.554265870202309,-0.18670239250357,-0.646538616529194,-0.331743032549783,NA,0.130420922271271,NA,-0.434519161706047,-0.599470266987998,49994,6.59440984353638,0.151643592637811
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12383",41.6,81.6,81.6,3303.7,7.17,1,TRUE,23625,58136,1.19,-0.908177900237521,-0.953198854455312,-0.465079970606279,-1.39636571427405,-0.341455686920713,NA,NA,NA,0.0337961518973681,-1.06562221159854,49665,7.0729843953186,0.141383034955071
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12384",41.7,81.7,81.7,3306.8,7.17,1,TRUE,23636,57626,1.31,-0.745643343475948,-0.655947316826033,0.0751716512142613,-0.450084328371473,-0.214212043732514,NA,NA,NA,-0.870200717259067,-0.970615085467455,48490,6.97270634659651,0.143416336540275
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12385",41.8,81.8,81.8,3309.6,7.17,1,TRUE,23108,57244,1.37,-0.174103133817212,-0.354091777345868,0.119396293329395,-0.395124676418415,-0.206708259898075,-1.87681433228298,NA,NA,-0.284720159370147,-0.95438770146797,47973,6.95572139303483,0.143766540304699
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12386",41.9,81.9,81.9,3312.5,7.17,1,TRUE,23257,57268,1.37,-0.320022211802606,-0.420254538668524,-0.302429345489064,-0.570013678781259,-0.305393162310742,NA,-2.950277204997,-1.74827016641155,-0.714652717582568,-0.985779068566947,48419,6.9886157399769,0.143089853156429
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12387",42,82,82,3315.4,7.18,1,TRUE,23607,57904,1.38,0.406957739732785,-0.648124636850132,-0.566748369727913,-0.561262084640393,-0.374042842892835,NA,0.0196542044015353,-2.21838445390024,-0.658852372749272,-0.881990436596063,49371,6.8804469273743,0.145339395907762
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12388",42.1,82.1,82.1,3318.3,7.17,1,TRUE,23285,57686,1.51,-0.0863219785151827,-1.03455663968389,-0.22873340987073,-0.213277898191653,-0.334969793324714,NA,NA,-1.64491033071699,0.257801615827869,-0.729194175003593,48879,6.7242414664981,0.148715658856431
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12389",42.2,82.2,82.2,3321.2,7.17,1,TRUE,23190,57225,1.3,-0.625065758882246,-0.704496543337832,0.0113374270087916,0.010282319388549,-0.31775364622206,NA,NA,-1.23203040191904,-0.410346843833357,-0.861927742670248,48581,6.85973143504287,0.145778301886792
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12390",42.3,82.3,82.3,3324.2,7.17,1,TRUE,23057,57085,1.42,-1.06373816715773,-1.05152924618133,-0.280454851674725,-0.247727408386955,-0.370148353894307,NA,0.100412694895341,NA,-0.268962073659223,-0.748645015471709,48779,6.74392760755676,0.148281544256121
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12391",42.4,82.4,82.4,3327.2,7.15,1,TRUE,23594,58236,1.34,-1.62279004455212,-0.733048781708388,-0.303851448399907,-0.647264357842036,-0.365212675774006,NA,-1.11958008503051,NA,-0.233624026369068,-0.80563694948092,49831,6.80194144355723,0.14701684927723
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12392",42.5,82.5,82.5,3330.1,7.12,1,TRUE,23690,58266,1.4,-0.956655516373322,-1.09082687633427,-0.101417159498029,-0.468021596526145,-0.339530101963534,NA,NA,NA,-1.59596623088167,-0.825452727692397,49546,6.82222923902747,0.14657965379987
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12393",42.6,82.6,82.6,3332.9,7.12,1,TRUE,23789,59736,1.36,-1.3100025385414,-0.717881392957552,-0.246602333530351,-0.186344304454565,-0.320406303574774,NA,-0.401398019725854,-1.80460021181511,0.123109026530114,-0.780434641653563,50110,6.77622594661701,0.147574772133926
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12394",42.7,82.7,82.7,3335.8,7.13,1,TRUE,23947,60119,1.35,-0.525740164942196,-0.781458332620714,0.0187779670302406,-0.154351457784039,-0.403091984897434,-2.01294245750612,NA,-1.12679447869514,0.0256462480231249,-0.682465369229786,51107,6.67718191377497,0.149763779527559
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12395",42.8,82.8,82.8,3338.7,7.13,1,TRUE,23629,58042,1.37,NA,-0.851902055185552,-0.88017550181392,-1.01328159462097,-0.471788537449655,NA,NA,NA,-0.218504198844439,-0.766481008380624,50166,6.76203001701996,0.147884584582294
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12396",42.9,82.9,82.9,3341.5,7.14,1,TRUE,23550,58852,1.24,-1.08396171695357,-0.888764803211864,-0.418036243289522,-0.597483455681176,-0.417542792750286,NA,-0.969493986424077,-1.01871507418828,-0.827241760941678,-0.765325796466413,50042,6.76085607940447,0.147910262880213
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12397",43,83,83,3344.3,7.15,1,TRUE,24006,60319,1.32,-1.04184025494649,-0.986050312936113,-0.300861906598923,-0.0990945453723779,-0.429879532735218,NA,NA,-1.49722725415583,-0.209266197477109,-0.900069124746849,51234,6.89916743755782,0.144945025475999
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12398",43.1,83.1,83.1,3347.3,7.12,1,TRUE,23892,58200,1.3,-0.609754861606104,-0.714947637576198,-1.73426178498552,-0.218070345122713,-0.436944655828257,NA,-2.47640827083743,-0.875892201324726,-0.472958310400742,-0.814592098067572,49952,6.81110242376857,0.14681911059072
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12399",43.2,83.2,83.2,3350.2,7.11,1,TRUE,23721,57970,1.34,NA,-0.906986158000005,-0.621299549330105,-0.0310666331693572,-0.614700923688545,NA,-0.245104051577307,NA,-0.465117322098626,-1.09318188932745,50510,7.1023419955085,0.140798626795555
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12400",43.3,83.3,83.3,3353,7.11,1,TRUE,23421,57283,1.33,-1.39904486834179,-1.13808370513836,-0.66027961546099,-0.704691132528575,-0.543623173537289,NA,-0.304103113802619,NA,0.222381600508586,-0.710841164083484,49987,6.70571913056883,0.149126436781609
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12401",43.4,83.4,83.4,3355.9,7.08,1,TRUE,23189,56566,1.39,-1.13316733088748,-0.868683554733998,0.0340591489774859,-0.249501891135631,-0.478297501668244,NA,NA,-0.887162112144335,-1.00406353281264,-1.01179085908311,48625,7.01599076821629,0.142531544444183
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12402",43.5,83.5,83.5,3358.8,7.06,1,TRUE,23713,57640,1.42,-1.61951027894351,-1.0446550834658,-0.164493827357809,-0.891104837439691,-0.481589387922276,NA,-0.100341530306062,NA,-0.144377977866599,-0.914527850993362,49519,6.91417612274253,0.144630391567658
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12403",43.6,83.6,83.6,3361.6,7.05,1,TRUE,24159,58502,1.33,-0.451049605728144,-1.08285672576228,-1.16825647788758,-1.05231024118505,-0.484355303956504,NA,-0.881011935127086,-1.91339144073306,-0.0800040621262281,-0.534478620204903,50310,6.53030983385721,0.153132091040363
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12404",43.7,83.7,83.7,3364.4,7.04,1,TRUE,23541,57042,1.22,-1.07302537614512,-0.832539169916315,-0.638941611797465,0.264835018363941,-0.439115968991764,NA,NA,-1.70621209858654,-0.966361382081871,-0.975129350090295,49149,6.9774387274793,0.143319065785801
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12405",43.8,83.8,83.8,3367.3,7.05,1,TRUE,22802,56104,1.39,NA,-0.563198324998222,-0.42937485414259,-1.05660109369433,-0.397673220595156,NA,-1.23917352690647,-1.92885004712534,-0.347644015043941,-0.877217037223773,48017,6.87551254715434,0.145443702290076
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12406",43.9,83.9,83.9,3370.2,7.04,1,TRUE,22655,55968,1.26,-0.734193331593803,-0.709053021739918,-0.989920708364861,-0.823332226313056,-0.459558024289707,NA,0.516490351387972,NA,-0.38734751302909,-0.80561653400115,47935,6.80192057291667,0.147017300375679
"Kerguelen","KER1","CAT1-S1-1B","ACE_ITRAX_12407",44,84,84,3373,7.03,1,TRUE,23351,57561,1.34,-0.674887402750866,-0.646326026455593,-0.0199474784525176,-0.487227211581561,-0.437550296707663,NA,-0.283557124198753,NA,-0.359282810419474,-0.720594658082662,49449,6.71555624902481,0.148907992565056
