"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,-6.66028445009695,-8.96287110463821,5.01535394970948,-0.557400263273693,4.5759056630372,3.41993258928462,5.73187873678978,4.58468681514432,3.39795123231082,5.77142239797781
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-5.78136668192001,-8.08395080230863,5.90200919440484,1.53585590882698,5.29824972070795,4.14179774781078,6.45470169360512,5.28775814616172,4.23486138760878,6.34065490471466
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-6.18140545759447,-8.48399055058852,4.87596639990492,1.05925357407307,4.96947535419844,3.81371289423734,6.12523781415953,4.96775574701191,3.85429275471799,6.08121873930583
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-6.70749475853935,-9.01008067005121,5.15960872937714,0.583997345602705,4.53710557615887,3.38105060441917,5.69316054789858,4.54692194612456,3.35292273170209,5.74092116054702
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-6.04113936246591,-8.3437231943456,4.67886871554592,-0.506119966093238,5.08475392060967,3.92883934570018,6.24066849551915,5.07995858756115,3.98780440427121,6.1721127708511
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-6.62966985743565,-8.93225419319785,4.65019577397658,0.665602075528573,4.6010664572407,3.44514062988398,5.75699228459742,4.60917629890521,3.42714736389349,5.79120523391694
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-6.25883640868762,-8.56142202429229,4.42089560472281,0.0468371401637754,4.90583824339347,3.75011825939336,6.06155822739357,4.90581652605393,3.78055911865868,6.03107393344919
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-6.1254687371979,-8.42805200075744,5.72432520415296,1.69013456488529,5.0154472972482,3.85963578636079,6.17125880813561,5.01250112125044,3.90754479919499,6.11745744330588
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-6.24879227623977,-8.55137581707227,5.84760008544681,0.588503431852193,4.91409307638337,3.75836924893026,6.06981690383648,4.9138511133893,3.79012486826129,6.03757735851732
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-6.27468140349164,-8.57726702744302,5.66576595949873,1.3826792728052,4.89281593544281,3.73710100463581,6.04853086624982,4.89314166386526,3.76546805893067,6.02081526879985
