Location,Site,label,ID,section_depth,field_depth,depth,SH20_age,surface,validity,qc,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,Total_scatter,cps_sum2
Bird Island,BI10,BI10.01,ACE_ITRAX_46,4.5,4.5,4.5,6,7.64,1,TRUE,24669,61755,1.41,0.043721156,0.072868594,0.021050927,0.040482552,8.626022184,0,0.127924864,0.040482552,1.654926727,74.03287183,11.33835317,0.010573104,0.000248001,52721,96.00952566
Bird Island,BI10,BI10.01,ACE_ITRAX_47,4.6,4.6,4.6,7.6,7.63,1,TRUE,25143,61747,1.4,0.034009749,0.074497546,0,0.029151214,9.67010543,0,0.361151149,0,1.316663158,73.99387825,10.87502227,0.011019193,0.000238023,52404,96.36573598
Bird Island,BI10,BI10.01,ACE_ITRAX_48,4.7,4.7,4.7,9.2,7.61,1,TRUE,24603,61057,1.33,0.032756277,0.094993203,0.031118463,0.045858788,8.408536286,0,0.086804134,0,1.61816008,74.95946411,10.66053032,0.01151628,0.000232925,52277,95.94997087
Bird Island,BI10,BI10.01,ACE_ITRAX_49,4.8,4.8,4.8,10.8,7.6,1,TRUE,24468,59906,1.37,0.010015691,0.105164758,0,0.110172604,8.25292959,0,0,0,1.185190131,75.05759022,11.06733883,0.011320904,0.000246138,51594,95.79996887
Bird Island,BI10,BI10.01,ACE_ITRAX_50,4.9,4.9,4.9,12.4,7.58,1,TRUE,24611,60338,1.33,0.014915973,0.033146607,0,0.029831947,8.435811595,0,0.261858199,0,1.547946568,75.13010043,10.68149425,0.011657114,0.000235628,51777,96.14699831
Bird Island,BI10,BI10.01,ACE_ITRAX_51,5,5,5,14,7.56,1,TRUE,23922,58453,1.25,0,0.065009495,0.027372419,0.029083195,6.603596052,0,0.171077618,0,1.4507382,76.78647803,10.70774811,0.01226817,0.000238565,51143,95.85360984
Bird Island,BI10,BI10.01,ACE_ITRAX_52,5.1,5.1,5.1,15.8,7.56,1,TRUE,24110,59450,1.32,0.008410429,0.099243061,0.015138772,0.045416316,8.469301934,0,0,0,1.461732548,74.70647603,10.99243061,0.011431748,0.000247505,50948,95.80982896
Bird Island,BI10,BI10.01,ACE_ITRAX_53,5.2,5.2,5.2,17.5,7.56,1,TRUE,24472,59253,1.3,0,0.097885339,0,0,7.86120534,0,0,0,1.672489157,74.51774594,10.95471959,0.011480164,0.000248103,50645,95.11577363
Bird Island,BI10,BI10.01,ACE_ITRAX_54,5.3,5.3,5.3,19.1,7.56,1,TRUE,24459,58573,1.24,0.015365441,0.076827207,0.008536356,0.110972632,7.004934014,0,0.078534478,0,1.464838748,76.06234955,11.2543322,0.011538585,0.000252611,51144,96.08848182
Bird Island,BI10,BI10.01,ACE_ITRAX_55,5.4,5.4,5.4,20.6,7.56,1,TRUE,24136,57845,1.32,0.019016337,0.076065347,0,0.048405221,5.829371597,0,0,0,1.794450687,77.19076843,10.87561587,0.012270032,0.000243569,50942,95.84620709
