"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_ICP_pred","Ca_ICP_pred","Sr_ICP_pred","Zr_ICP_pred"
"BI10",297.9,4071,212,-8.55953953172761,6.49522150919657,-4.92801137408514,8.69287715253073,-6.61129020031912,5.62603834306476,-6.70170583591555,4.00298409034192,0.333134913484782,11.2230589765515,-4.99626047461924,4.6123465610999,-6.46990422185823,1.13803483017063,-4.61843531699862,4.55442858181256,-4.0197388131102,1.84354066959512,0,-1.7163664906856,5.56203857917301,0.179937245344424,19.36,6.37800239480304,9.07631799784103,4.92172883629126,1.84345577953705
"BI10",307.6,4149,236,-7.77026128936174,7.46461500331814,-4.8132385814237,8.80307557099186,-6.45001034055884,6.53884323319134,-6.41450365210193,4.38980958875902,0.0887279359649054,11.0838038999157,-6.39911873326245,4.87461661416428,-6.4460023191613,2.20581945851924,-4.45293599322821,4.69965995389204,-3.94966129174764,2.57334240478613,0,-1.73366524998001,5.66454671063546,0.17675090088335,20.69,6.53822802306042,9.17052054630398,4.99349046593557,2.03540520266998
"BI10",316.2,4222,248,-9.14188462329369,6.29797945709271,-5.32512832035415,8.72498455204253,-7.11545409758036,5.49828088638407,-6.87695624973765,4.26212573508231,-0.0745890764603591,11.3951650102964,-8.47071634945252,4.42303859366974,-7.57236331826503,0.875521060151705,-5.71352331269071,4.53250398956068,-3.97140062825554,1.57341563249961,0,-1.79216461316447,6.00062252154693,0.166787315943378,14.84,5.86259631568577,8.7013344413419,4.55886329802288,1.91217665119663
"BI10",326.5,4329,265,-7.98554650888527,7.9025303252964,-5.05215228074163,8.36966059458673,-6.70945528789899,5.96682569063522,-6.91039570689616,5.60776646978262,-0.496037217667902,11.2410963520968,-5.34773218750961,4.95403130606332,-7.61849084889198,2.58627667702711,-4.46200324826592,4.00686912375442,-4.00286245892745,2.7051026968095,0,-1.7745972698459,5.89876975912551,0.169666507753294,18.17,6.47382521195033,9.10174413960791,4.93458875689732,1.97177167574973
"BI10",332.6,4397,285,-7.70122377800691,6.16077605719492,-4.77339800972765,8.12160079471329,-6.10579660264241,5.07092702537353,-6.67471478324015,3.87669896856894,0.474889010261805,12.4080433529741,-5.67422035053056,4.69070162574398,-6.82938480870359,0.704587583871853,-4.16899813393835,3.98120094013651,-4.04774625094389,1.25621944257179,0,-1.66882593822472,5.28332424227206,0.190100895715789,45.84,6.78987552236136,9.2234109734749,5.02747048787384,2.03347004575707
"BI10",340,4480,310,-8.06317629072588,6.25299817958083,-5.25715279239986,8.76031834851882,-6.75160547580192,5.51074057659514,-7.05084837065478,4.26621517220479,-0.556531764793376,10.4060643912265,-5.15912080574379,5.4904289100701,-6.20938143057837,1.10969261285147,-4.4072333368582,4.83863377723039,-3.92271179289022,1.88872506413701,0,-1.81859006051734,6.16540938068243,0.16223298013545,20.07,6.66604681134336,9.1027716981376,4.89127963853344,2.38782452828312
"BI10",346.2,4547,304,-6.70002425697567,6.38056005880022,-4.95546047908389,7.40847647391648,-5.70598477222714,5.28214271072745,-7.65980010078957,3.68991760355028,1.50467083752816,12.4674512432339,-10.4631604816961,3.83752447766366,-9.06856731776152,0.704877991259318,-4.22223507495654,3.28588152040155,-4.05793202366526,1.16811301237629,0,-1.59873175773588,4.93852274115494,0.203088291705397,40.85,7.1474438170059,9.16379208836914,4.8949268783558,2.51775535854184
"BI10",356.2,4652,302,-6.96537455607635,7.76448959280701,-4.88169272535763,8.85019577273905,-5.85829959348951,6.68360331814391,-6.8304277350485,4.1458801859122,-0.639818183205534,9.9005221972127,-8.12231241169731,3.92048494006009,-6.75420036966061,2.50127386729276,-4.05428715979659,5.0275703373299,-3.85381268017249,3.23120741293011,0,-1.83517416180262,6.26813179598429,0.159601122527869,24.48,7.22939302788581,9.29888547609339,5.00921650115483,2.86181813306781
"BI10",361.2,4703,301,-6.71042771726204,6.97624085555011,-4.33832780066834,8.83194179501929,-5.72209655359852,6.17881975007153,-6.25789509829589,4.25477583690087,0.361475434852843,11.4267416940747,-5.1428163197742,5.29538934356951,-6.95104227885584,1.60803160705006,-3.69456804043063,4.92796820808576,-4.06536436358657,2.27020424838806,0,-1.70680490505171,5.51633553480478,0.181389686246837,24.57,6.95523511218871,9.44051992988819,5.25645090053774,1.83742780997921
"BI10",367.3,4768,292,-7.27500599157652,7.27743506637325,-4.7894433889936,8.84077687981103,-5.92580861606454,6.29464227522857,-6.41374532405985,4.23820457443249,-0.252036152000398,11.1546227764023,-7.98402652129275,4.66751671834765,-5.77883377430736,2.01982429093537,-3.83254576769984,4.96127239704665,-3.99519063385165,2.32978863349165,0,-1.79765330188535,6.03297060271121,0.165833677701485,23.49,7.10833961250238,9.33302145956597,5.09436389525868,2.36416640463649
"BI10",370.4,4801,297,-7.96727376002436,7.46150136357903,-4.82296185169257,8.9814921289308,-6.26589835226458,6.8324190125684,-6.6961616528608,4.61205455325781,-0.143790870654183,11.0561258807318,-6.4189235395701,5.0478272141013,-7.321528818359,2.21654549625482,-4.01052527747575,5.15122272117239,-4.01674254592623,2.89983160159348,0,-1.79669495450333,6.03225425609092,0.165895806663403,20.96,6.80716134483624,9.27029305928712,5.07703581086199,2.06520927144011
"BI10",375.1,4852,283,-7.30635107616124,7.19595093777587,-4.78161795209449,8.7033784156252,-6.1068659383047,6.42593698649349,-6.49818864471764,4.25506676280208,-0.110917456077571,10.8976220776579,-5.66846592915195,5.03274929516764,-6.58863263487079,1.9597717742796,-4.05132084947291,4.8652129416843,-3.95775708995179,2.54921725667384,0,-1.77937306716495,5.93118206455523,0.168876733864015,27.87,6.91604169259088,9.28645994941118,5.06644647205289,2.28771711407997
"BI10",380,4905,291,-7.85651699727761,8.09022517793601,-5.06691692921129,8.98787944062394,-6.48338072073523,6.75993440171892,-7.22052823055761,4.58390305625152,-1.14696559683499,10.5999305078092,-8.05864118136775,4.15468531520257,-6.04962210398446,2.66453622255324,-4.12227684455344,5.03272069818746,-3.88684187274153,2.90556623767452,0,-1.8333701347773,6.25576371874217,0.159905569405957,21.31,6.87377749632821,9.23416893077245,5.00390746479908,2.50064568554254
"BI10",382.4,4931,274,-7.23233999532406,7.79969644617826,-4.78236991541696,9.00010635982522,-6.03358075805101,6.75631263409946,-6.49805087143294,4.40567025787697,0.110296789046673,10.8995670742494,-5.31306720579705,4.91906062730083,-6.85390355960382,2.2244225848454,-4.09389361957089,4.90990425474619,-3.9710178957931,2.80246976867159,0,-1.75522393665611,5.78759173226294,0.172901564288754,27.92,6.93713172850774,9.26900457123122,5.04360817929219,2.30590165795737
"BI10",387.2,4984,264,-7.66766880545334,8.34106033815079,-4.98209146020318,8.9339301416153,-6.45551041654096,7.28173969105345,-6.74500572611692,5.61348842504215,-0.71606706915712,9.9094393280291,-7.72402174200447,3.85318161888967,-6.58749021847406,2.99710652583661,-4.63100495434243,5.02211114919423,-3.86670491663402,3.1653284297982,0,-1.87965150908311,6.55290585240684,0.152836780571885,19.7,6.63313269972183,9.11325183070949,4.89595889995101,2.41899259475585
"BI10",395.8,5077,237,-8.29755960200465,7.8804290119637,-5.15833229727913,8.89802628245142,-6.84119767826805,6.99968644452428,-6.75711456105751,4.36556304662388,-0.6495735027024,10.840000929173,-10.9513882489402,4.12567067482762,-6.71869175565523,2.36309077597283,-4.65742999029244,4.79952697956569,-3.94278260977815,2.95772958023329,0,-1.79576955617236,6.02611938551482,0.16602044497674,22.29,6.41718237044795,9.04559130633941,4.86862797986348,2.12526240889152
"BI10",404.1,5184,218,-7.73568635692862,7.15388950448401,-4.90419447998714,8.87897314521011,-6.46389095626392,6.0862528200608,-6.57473093768637,4.09825557805275,-0.715511326898351,10.4367072074209,-5.97964497030264,4.57698758414123,-7.78975357819889,1.58752330391482,-4.32982152221896,4.85154838767966,-4.00318182306731,2.3694537107842,0,-1.82984658877319,6.23196237108261,0.16068896724785,18.54,6.59949550930111,9.16834783712062,4.99012401249507,2.00496551399263
"BI10",413.4,5402,234,-6.90444578855452,8.00617399458286,-4.56123972626956,9.15494049394655,-5.75760183894289,7.84202652460158,-6.38362008145394,5.77413731566368,-0.54529801610807,10.2689600502149,-6.27885675900586,4.28594599703063,-6.58827881809405,2.42052494302108,-4.02643373855928,5.43893495275558,-3.86460045955507,3.42959523453454,0,-1.81216103809601,6.12584447253961,0.16332561937701,28.24,7.0913284220787,9.36904896798754,5.11571635644723,2.54666131083859
"BI10",415.7,5491,287,-7.5262886614743,7.53540408642729,-4.7718026233643,9.02543413469161,-6.36487547156716,6.57009823799735,-6.6849609680736,4.68151467135203,-0.768011354467471,10.3396534788221,-5.76190673319355,4.26153098760221,-6.76816902616182,2.03089434043002,-4.24061991409753,4.99114666985596,-3.83186902698475,2.70067382574824,0,-1.8363828886267,6.27409731739256,0.15942048284918,17.98,6.75276649224642,9.27991321065349,5.06725319643799,2.38145403817413
"BI10",419.3,5629,395,-7.12653752639254,7.97141372181757,-4.79779160735982,8.30380898861032,-6.12927773198472,6.43534454377999,-6.38632283497461,4.5856816451236,-1.45058863619496,10.4443299476404,-7.14171232441177,4.1206810846406,-7.00208335191913,2.65458404108435,-3.84079156337017,4.5067322610346,-3.83696746693177,2.63664560445695,0,-1.86869708338651,6.47761426817617,0.154534673738992,22.45,7.09732412024376,9.38519508977306,5.13381937821383,2.62471060275212
"BI10",433.8,6189,221,-6.40677989708769,8.11365554635714,-4.61748895540296,8.52642819440421,-5.37705482192133,7.36434281101366,-6.45062667862975,3.97930816378938,-0.537528951646988,10.2847469871715,-6.2936097196932,4.14732074594836,-6.44754025642656,2.73082479204988,-4.29370187830906,4.50083290786636,-3.86555070757918,3.58500193216604,0,-1.8121682150182,6.12438736683727,0.163429551534534,24.94,7.26843623175303,9.27781152017856,4.97384057765141,2.87124409242981
"BI10",438.7,6306,199,-7.1302854685758,7.22559484626794,-4.6879384332066,8.59407118021473,-5.80097341845135,6.3360938525922,-6.60992461165881,3.84905447467711,-0.723069577189113,10.3803317960264,-7.84156003372831,3.98581176538193,-7.00389025647008,1.75847511135943,-4.46172747456385,4.51844421677488,-4.00289481287181,2.45099880585114,0,-1.84194283437626,6.3102346307188,0.158541357994711,19.97,6.84825411705687,9.17080654856886,4.94407838788658,2.25243398102359
