C:\Data\BAS2023_Mo_batch\MI1K__xrf     2023-09-05  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	Fe	Ni	Cu	Zn	Se	Br	Rb	Sr	Y	Zr	Tc	Rh	Pd	Ag	Cd	In	Sb	Te	I	Dy	Tm	Yb	Lu	Hf	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000113.spe	131.00	5.49	1	0.017525	-0.011353	0.012176	0.089277	29333	2.33	0.000	0.115	0.228	0.000	0.178	0.000	0.269	1.112	10.992	19.081	154.734	0.503	0.000	0.634	0.000	0.254	0.236	5.929	0.512	2.684	0.000	0.000	0.000	0.071	0.000	0.000	0.459	0.208	0.000	0.000	1.729	0.000	0.000	0.070	0.000	0.420	0.052	0.036	0.645	5.156	0.258	0.188	0.000	0.000	0.164	0.138	49.587	15.486	0.219	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000114.spe	132.00	5.49	1	0.017521	-0.011353	0.012145	0.089277	24787	2.07	0.000	0.028	0.160	0.028	0.133	0.000	0.534	0.778	8.420	14.155	123.197	0.319	0.000	0.392	0.000	0.148	0.129	5.244	0.512	2.525	0.000	0.000	0.027	0.000	0.080	0.000	0.395	0.125	0.000	0.000	1.493	0.000	0.000	0.080	0.000	0.542	0.068	0.000	0.474	4.760	0.100	0.099	0.000	0.000	0.140	0.036	43.171	14.962	0.207	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000115.spe	133.00	5.50	1	0.017518	-0.011353	0.012070	0.089277	26976	1.89	0.000	0.041	0.164	0.000	0.082	0.000	0.463	0.974	10.075	14.723	141.327	0.270	0.000	0.504	0.078	0.151	0.201	5.797	0.285	2.815	0.000	0.000	0.000	0.000	0.000	0.000	0.488	0.107	0.000	0.000	1.369	0.000	0.000	0.068	0.000	0.300	0.120	0.000	0.643	6.366	0.089	0.203	0.000	0.000	0.370	0.203	44.336	15.441	0.212	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000116.spe	134.00	5.50	1	0.017516	-0.011353	0.012051	0.089277	28759	2.38	0.000	0.044	0.236	0.000	0.144	0.000	0.472	1.034	11.205	17.000	155.812	0.246	0.000	0.506	0.031	0.000	0.116	5.470	0.594	2.626	0.010	0.000	0.000	0.000	0.015	0.000	0.647	0.105	0.000	0.000	1.381	0.000	0.000	0.000	0.000	0.638	0.375	0.025	0.540	6.251	0.071	0.098	0.000	0.000	0.038	0.056	49.213	14.997	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000117.spe	135.00	5.51	1	0.017516	-0.011353	0.012041	0.089277	28016	2.37	0.000	0.000	0.180	0.000	0.149	0.000	0.553	0.867	10.626	16.151	149.957	0.179	0.000	0.411	0.000	0.227	0.116	5.704	0.685	2.931	0.000	0.000	0.000	0.000	0.050	0.017	0.496	0.130	0.000	0.000	1.520	0.035	0.000	0.077	0.000	0.373	0.252	0.000	0.744	6.192	0.077	0.000	0.000	0.000	0.000	0.118	45.893	15.476	0.213	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000118.spe	136.00	5.52	1	0.017516	-0.011353	0.012021	0.089277	28254	2.55	0.022	0.102	0.159	0.021	0.172	0.000	0.500	0.925	11.737	17.048	152.483	0.315	0.000	0.363	0.036	0.321	0.239	6.311	0.611	2.914	0.000	0.000	0.000	0.000	0.051	0.000	0.542	0.072	0.000	0.000	1.513	0.000	0.073	0.000	0.014	0.300	0.127	0.000	0.608	5.943	0.088	0.095	0.000	0.000	0.107	0.075	47.984	15.626	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000119.spe	137.00	5.52	1	0.017520	-0.011353	0.011977	0.089277	27884	2.23	0.000	0.066	0.228	0.000	0.138	0.000	0.280	1.020	11.365	17.027	145.166	0.500	0.000	0.623	0.125	0.082	0.102	6.345	0.781	3.019	0.000	0.000	0.000	0.081	0.000	0.000	0.629	0.174	0.000	0.000	1.033	0.000	0.000	0.000	0.000	0.433	0.728	0.000	0.699	5.529	0.290	0.447	0.000	0.000	0.263	0.000	50.220	15.864	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000120.spe	138.00	5.54	1	0.017519	-0.011353	0.011967	0.089277	28716	2.36	0.014	0.121	0.184	0.000	0.133	0.000	0.385	1.076	11.465	17.659	153.858	0.312	0.000	0.534	0.064	0.225	0.262	5.815	0.677	3.148	0.000	0.000	0.000	0.022	0.000	0.000	0.637	0.203	0.000	0.000	1.187	0.000	0.000	0.000	0.063	0.485	0.415	0.183	0.635	5.753	0.156	0.144	0.000	0.000	0.248	0.194	47.530	15.890	0.217	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000121.spe	139.00	5.54	1	0.017520	-0.011353	0.011961	0.089277	28200	2.40	0.000	0.085	0.267	0.037	0.163	0.000	0.355	1.034	11.728	18.096	153.011	0.387	0.000	0.453	0.000	0.155	0.338	5.264	0.364	2.683	0.000	0.000	0.000	0.029	0.000	0.000	0.619	0.273	0.000	0.000	1.364	0.000	0.000	0.000	0.000	0.403	0.142	0.000	0.649	5.865	0.348	0.199	0.000	0.000	0.162	0.000	47.591	14.383	0.212	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000122.spe	140.00	5.55	1	0.017522	-0.011353	0.011961	0.089277	29193	2.27	0.016	0.065	0.177	0.000	0.121	0.027	0.454	0.943	11.787	19.152	162.805	0.525	0.000	0.615	0.136	0.088	0.548	5.677	0.714	2.666	0.000	0.000	0.000	0.000	0.000	0.000	0.509	0.145	0.000	0.000	1.605	0.000	0.019	0.229	0.110	0.261	0.000	0.043	0.839	5.922	0.478	0.262	0.177	0.000	0.290	0.115	47.413	15.651	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000123.spe	141.00	5.54	1	0.017524	-0.011353	0.011951	0.089277	27001	2.25	0.000	0.031	0.176	0.000	0.119	0.000	0.479	0.892	9.838	17.481	142.575	0.281	0.000	0.551	0.000	0.091	0.171	5.355	0.379	2.517	0.000	0.000	0.000	0.041	0.000	0.000	0.506	0.263	0.000	0.000	1.404	0.000	0.000	0.000	0.000	0.400	0.300	0.000	0.474	4.786	0.139	0.013	0.010	0.000	0.041	0.047	44.621	13.863	0.209	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000124.spe	142.00	5.52	1	0.017525	-0.011353	0.011993	0.089277	26955	2.10	0.000	0.097	0.214	0.048	0.278	0.000	0.375	0.791	9.468	17.973	140.518	0.322	0.000	0.537	0.178	0.280	0.100	4.982	0.339	2.734	0.000	0.000	0.000	0.000	0.016	0.000	0.611	0.229	0.000	0.000	1.412	0.000	0.011	0.000	0.000	0.566	0.252	0.000	0.620	5.440	0.061	0.316	0.109	0.000	0.223	0.124	43.711	14.044	0.208	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000125.spe	143.00	5.48	1	0.017526	-0.011353	0.012011	0.089277	30108	2.49	0.000	0.124	0.252	0.000	0.156	0.000	0.463	0.944	11.599	20.616	162.957	0.497	0.000	0.571	0.000	0.172	0.256	5.537	0.646	3.032	0.000	0.000	0.000	0.000	0.034	0.000	0.498	0.314	0.000	0.304	1.256	0.000	0.000	0.074	0.039	0.505	0.181	0.000	0.725	5.745	0.268	0.094	0.000	0.000	0.104	0.147	50.227	16.161	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000126.spe	144.00	5.49	1	0.017522	-0.011353	0.011969	0.089277	28864	2.23	0.016	0.117	0.285	0.000	0.204	0.000	0.170	0.776	10.660	17.632	151.829	0.216	0.000	0.556	0.000	0.194	0.397	5.835	0.734	3.151	0.000	0.000	0.000	0.150	0.000	0.039	0.519	0.136	0.000	0.000	1.530	0.032	0.024	0.000	0.000	0.504	0.490	0.000	0.826	5.626	0.000	0.000	0.000	0.000	0.195	0.000	50.370	16.243	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000127.spe	145.00	5.50	1	0.017522	-0.011353	0.011929	0.089277	28454	2.22	0.000	0.064	0.162	0.010	0.182	0.000	0.346	0.778	10.578	18.045	145.676	0.517	0.000	0.502	0.053	0.227	0.372	5.693	0.376	2.967	0.028	0.040	0.000	0.000	0.042	0.000	0.448	0.159	0.000	0.000	1.218	0.000	0.000	0.000	0.000	0.188	0.000	0.051	0.618	5.655	0.245	0.092	0.000	0.000	0.140	0.017	48.780	16.532	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000128.spe	146.00	5.51	1	0.017522	-0.011353	0.012296	0.089277	28199	2.13	0.039	0.118	0.216	0.000	0.233	0.016	0.363	0.883	12.186	19.159	154.154	0.427	0.000	0.488	0.000	0.160	0.627	5.495	0.468	2.686	0.000	0.000	0.000	0.011	0.000	0.000	0.419	0.099	0.000	0.000	1.163	0.000	0.000	0.000	0.000	0.520	0.000	0.000	0.599	5.597	0.289	0.076	0.000	0.000	0.307	0.032	46.490	15.055	0.212	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000129.spe	147.00	5.50	1	0.017523	-0.011353	0.012278	0.089277	28825	2.29	0.026	0.051	0.230	0.035	0.211	0.000	0.457	1.053	11.232	19.572	159.003	0.436	0.000	0.642	0.114	0.036	0.155	5.824	0.629	2.924	0.000	0.000	0.000	0.000	0.064	0.000	0.547	0.150	0.000	0.000	1.500	0.000	0.054	0.011	0.000	0.428	0.046	0.016	0.809	5.836	0.171	0.115	0.000	0.000	0.227	0.238	44.681	15.459	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000130.spe	148.00	5.51	1	0.017522	-0.011353	0.012228	0.089277	30224	2.47	0.000	0.033	0.241	0.000	0.212	0.000	0.408	1.062	11.988	19.757	170.588	0.330	0.000	0.385	0.095	0.194	0.383	6.205	0.427	2.782	0.000	0.000	0.000	0.000	0.027	0.000	0.699	0.161	0.000	0.000	1.602	0.000	0.000	0.000	0.000	0.548	0.000	0.000	0.582	6.379	0.159	0.000	0.000	0.000	0.000	0.000	47.147	15.894	0.219	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000131.spe	149.00	5.50	1	0.017519	-0.011353	0.012228	0.089277	31028	2.36	0.000	0.096	0.202	0.000	0.128	0.000	0.493	0.974	12.286	19.930	173.354	0.230	0.000	0.505	0.000	0.188	0.575	7.103	0.603	3.300	0.000	0.000	0.000	0.000	0.000	0.000	0.582	0.028	0.000	0.000	1.829	0.000	0.000	0.000	0.036	0.407	0.187	0.056	0.615	6.903	0.033	0.235	0.000	0.000	0.294	0.110	50.313	16.232	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000132.spe	150.00	5.51	1	0.017521	-0.011353	0.012193	0.089277	30559	2.46	0.041	0.060	0.328	0.000	0.199	0.000	0.265	1.079	12.955	20.426	171.002	0.375	0.000	0.432	0.000	0.246	0.597	6.262	0.543	3.312	0.000	0.000	0.000	0.078	0.000	0.000	0.582	0.254	0.000	0.000	1.811	0.000	0.000	0.000	0.000	0.649	0.000	0.000	0.799	6.194	0.112	0.056	0.000	0.000	0.132	0.000	47.446	16.271	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000133.spe	151.00	5.52	1	0.017522	-0.011353	0.012284	0.089277	29856	2.42	0.021	0.077	0.293	0.000	0.134	0.000	0.220	1.118	12.803	19.546	167.154	0.421	0.000	0.626	0.000	0.106	0.211	6.288	0.538	2.600	0.000	0.000	0.000	0.116	0.000	0.000	0.638	0.142	0.000	0.000	1.376	0.000	0.000	0.096	0.000	0.472	0.304	0.000	0.734	6.278	0.238	0.216	0.173	0.000	0.248	0.078	45.771	15.420	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000134.spe	152.00	5.52	1	0.017520	-0.011353	0.012294	0.089277	29938	2.89	0.036	0.079	0.290	0.000	0.146	0.000	0.412	1.096	13.646	19.475	172.448	0.360	0.000	0.504	0.088	0.204	0.190	6.824	0.694	2.733	0.000	0.000	0.000	0.022	0.000	0.000	0.590	0.167	0.000	0.000	1.509	0.000	0.000	0.000	0.000	0.558	0.523	0.000	0.606	5.858	0.111	0.000	0.000	0.000	0.102	0.000	46.848	15.622	0.216	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000135.spe	153.00	5.49	1	0.017522	-0.011353	0.012333	0.089277	31875	2.58	0.077	0.092	0.331	0.000	0.133	0.000	0.257	1.472	15.217	21.323	189.379	0.434	0.000	0.480	0.073	0.359	0.209	6.662	0.516	3.198	0.000	0.000	0.000	0.119	0.000	0.000	0.838	0.096	0.000	0.000	1.651	0.000	0.000	0.000	0.000	0.623	0.329	0.000	0.784	6.923	0.140	0.156	0.060	0.000	0.408	0.000	45.878	16.386	0.222	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000136.spe	154.00	5.49	1	0.017522	-0.011353	0.012415	0.089277	31851	2.56	0.000	0.145	0.374	0.029	0.042	0.000	0.532	1.532	16.907	20.784	190.366	0.428	0.000	0.624	0.066	0.136	0.351	6.622	0.335	3.177	0.000	0.000	0.000	0.000	0.050	0.000	0.615	0.296	0.000	0.000	1.482	0.000	0.000	0.065	0.000	0.588	0.000	0.000	0.846	7.139	0.152	0.272	0.000	0.000	0.189	0.000	47.246	16.142	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000137.spe	155.00	5.49	1	0.017524	-0.011353	0.012403	0.089277	31801	3.15	0.000	0.064	0.375	0.000	0.076	0.000	0.349	1.431	16.656	20.516	188.401	0.649	0.000	0.645	0.000	0.085	0.351	6.925	0.801	3.152	0.000	0.000	0.000	0.036	0.000	0.000	0.744	0.364	0.000	0.000	1.691	0.000	0.000	0.000	0.000	0.659	0.144	0.061	0.579	6.328	0.175	0.089	0.048	0.000	0.230	0.000	49.533	16.209	0.224	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000138.spe	156.00	5.52	1	0.017521	-0.011353	0.012361	0.089277	30156	2.36	0.000	0.034	0.312	0.000	0.061	0.025	0.282	1.288	14.133	18.665	171.614	0.119	0.000	0.418	0.000	0.269	0.717	6.631	0.697	3.385	0.000	0.000	0.054	0.020	0.000	0.000	0.731	0.298	0.000	0.000	1.318	0.081	0.000	0.000	0.000	0.448	0.000	0.000	0.949	6.523	0.000	0.000	0.000	0.000	0.313	0.000	47.738	16.562	0.222	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000139.spe	157.00	5.45	1	0.017518	-0.011353	0.012325	0.089277	33333	2.78	0.015	0.111	0.442	0.043	0.068	0.022	0.154	1.615	15.933	22.131	193.642	0.427	0.000	0.637	0.064	0.061	0.400	7.026	0.513	3.456	0.000	0.000	0.063	0.015	0.000	0.000	0.866	0.361	0.000	0.000	1.473	0.000	0.000	0.000	0.000	0.440	0.000	0.000	0.771	6.798	0.259	0.000	0.000	0.000	0.137	0.000	53.816	17.890	0.234	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000140.spe	158.00	5.48	1	0.017518	-0.011353	0.012325	0.089277	31627	2.56	0.000	0.137	0.353	0.000	0.200	0.021	0.546	1.157	14.602	21.129	179.696	0.265	0.000	0.440	0.000	0.220	0.300	6.213	0.719	3.274	0.000	0.000	0.000	0.000	0.121	0.000	0.617	0.127	0.000	0.000	1.988	0.000	0.000	0.000	0.000	0.568	0.275	0.013	0.726	6.552	0.000	0.040	0.000	0.000	0.039	0.057	51.648	17.300	0.228	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000141.spe	159.00	5.48	1	0.017521	-0.011353	0.012306	0.089277	31460	2.26	0.034	0.144	0.287	0.000	0.139	0.000	0.404	1.178	13.161	19.998	177.121	0.568	0.000	0.605	0.000	0.015	0.490	6.607	0.685	3.304	0.000	0.000	0.000	0.000	0.028	0.000	0.586	0.048	0.000	0.000	1.341	0.000	0.000	0.000	0.000	0.416	0.000	0.000	0.645	6.684	0.222	0.265	0.027	0.000	0.226	0.107	51.753	16.874	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000142.spe	160.00	5.48	1	0.017519	-0.011353	0.012319	0.089277	31474	2.79	0.000	0.075	0.336	0.000	0.179	0.000	0.098	1.164	13.314	19.376	179.345	0.405	0.000	0.333	0.010	0.080	0.191	6.339	0.601	2.833	0.000	0.000	0.037	0.192	0.000	0.000	0.564	0.058	0.000	0.000	2.062	0.000	0.000	0.000	0.000	0.573	0.214	0.000	0.599	7.082	0.028	0.205	0.000	0.000	0.145	0.042	51.644	16.683	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000143.spe	161.00	5.48	1	0.017525	-0.011353	0.012270	0.089277	29508	2.16	0.000	0.000	0.234	0.019	0.177	0.000	0.215	1.078	11.481	18.313	159.814	0.454	0.000	0.573	0.000	0.065	0.318	5.942	0.575	3.146	0.000	0.015	0.000	0.135	0.000	0.000	0.608	0.150	0.000	0.000	1.423	0.000	0.000	0.024	0.000	0.158	0.060	0.017	0.711	5.669	0.214	0.300	0.000	0.000	0.166	0.096	50.207	16.668	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000144.spe	162.00	5.47	1	0.017523	-0.011353	0.012222	0.089277	29369	2.27	0.032	0.115	0.230	0.000	0.227	0.000	0.517	0.774	10.535	18.228	156.264	0.332	0.000	0.565	0.000	0.158	0.478	5.935	0.424	2.722	0.000	0.000	0.015	0.000	0.053	0.030	0.460	0.329	0.000	0.000	1.821	0.000	0.000	0.000	0.000	0.047	0.000	0.069	0.554	5.787	0.096	0.474	0.000	0.000	0.403	0.000	49.483	16.441	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000145.spe	163.00	5.47	1	0.017520	-0.011353	0.012140	0.089277	29265	2.08	0.027	0.077	0.206	0.024	0.195	0.017	0.438	0.866	10.564	18.934	155.497	0.309	0.000	0.595	0.175	0.184	0.434	6.027	0.395	3.051	0.025	0.000	0.000	0.000	0.016	0.000	0.502	0.268	0.000	0.000	1.317	0.000	0.000	0.000	0.000	0.655	0.121	0.000	0.724	5.756	0.000	0.070	0.000	0.000	0.381	0.000	49.994	16.179	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000146.spe	164.00	5.48	1	0.017523	-0.011353	0.012165	0.089277	29270	2.27	0.000	0.043	0.194	0.000	0.177	0.000	0.455	0.851	10.544	19.687	154.843	0.439	0.000	0.700	0.043	0.310	0.084	5.998	0.705	3.346	0.000	0.000	0.000	0.000	0.042	0.000	0.535	0.172	0.000	0.000	1.448	0.000	0.000	0.031	0.000	0.435	0.659	0.000	0.759	5.422	0.445	0.191	0.000	0.000	0.349	0.036	50.231	16.088	0.223	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000147.spe	165.00	5.48	1	0.017524	-0.011353	0.012202	0.089277	30259	2.14	0.049	0.064	0.253	0.000	0.209	0.000	0.367	0.804	10.989	20.191	162.344	0.299	0.000	0.621	0.068	0.101	0.074	6.174	0.535	3.060	0.000	0.000	0.000	0.000	0.000	0.000	0.466	0.040	0.000	0.000	1.419	0.079	0.000	0.044	0.028	0.317	0.457	0.036	0.604	5.969	0.154	0.201	0.000	0.000	0.180	0.119	49.856	16.801	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000148.spe	166.00	5.47	1	0.017525	-0.011353	0.012240	0.089277	30645	2.43	0.015	0.099	0.192	0.000	0.247	0.000	0.412	1.061	11.760	20.747	168.378	0.532	0.000	0.599	0.000	0.218	0.437	6.239	0.314	2.812	0.009	0.000	0.000	0.000	0.000	0.000	0.448	0.276	0.000	0.083	1.227	0.000	0.000	0.063	0.024	0.552	0.000	0.000	0.801	6.234	0.435	0.125	0.049	0.000	0.128	0.000	50.050	16.205	0.225	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000149.spe	167.00	5.47	1	0.017526	-0.011353	0.012256	0.089277	30314	2.65	0.000	0.058	0.229	0.000	0.122	0.012	0.424	1.005	11.464	19.511	168.748	0.349	0.000	0.510	0.033	0.174	0.149	6.223	0.675	3.067	0.000	0.000	0.000	0.000	0.000	0.017	0.473	0.299	0.000	0.000	1.741	0.000	0.000	0.000	0.000	0.691	0.320	0.050	0.652	5.814	0.077	0.000	0.000	0.000	0.170	0.000	47.832	16.289	0.220	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000150.spe	168.00	5.48	1	0.017521	-0.011353	0.012276	0.089277	27620	2.33	0.000	0.084	0.236	0.037	0.224	0.000	0.395	0.758	9.899	16.970	149.395	0.245	0.000	0.562	0.211	0.076	0.263	5.785	0.428	2.738	0.000	0.035	0.000	0.000	0.000	0.000	0.504	0.202	0.000	0.000	1.475	0.000	0.000	0.000	0.000	0.506	0.214	0.000	0.534	5.606	0.099	0.000	0.000	0.000	0.168	0.042	43.835	15.171	0.210	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000151.spe	169.00	5.48	1	0.017520	-0.011353	0.012297	0.089277	26212	2.29	0.000	0.075	0.172	0.013	0.178	0.000	0.224	0.584	8.883	15.331	139.456	0.321	0.000	0.486	0.031	0.153	0.236	5.333	0.432	2.376	0.000	0.015	0.000	0.153	0.000	0.000	0.447	0.236	0.000	0.000	1.690	0.000	0.000	0.000	0.000	0.373	0.137	0.000	0.536	5.308	0.000	0.214	0.000	0.000	0.171	0.000	42.945	14.623	0.205	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000152.spe	170.00	5.47	1	0.017521	-0.011353	0.012260	0.089277	27760	2.37	0.000	0.057	0.125	0.000	0.139	0.000	0.479	0.725	9.050	15.654	148.417	0.480	0.000	0.444	0.131	0.263	0.259	5.735	0.441	2.888	0.000	0.000	0.000	0.000	0.025	0.054	0.391	0.302	0.000	0.000	1.431	0.000	0.000	0.000	0.000	0.411	0.206	0.045	0.338	6.189	0.296	0.000	0.023	0.000	0.288	0.021	43.951	15.206	0.212	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000153.spe	171.00	5.49	1	0.017521	-0.011353	0.012229	0.089277	29207	2.33	0.018	0.092	0.188	0.000	0.165	0.000	0.306	0.925	11.658	17.785	161.710	0.526	0.000	0.679	0.000	0.183	0.083	6.037	0.591	2.703	0.000	0.000	0.000	0.000	0.000	0.000	0.588	0.128	0.000	0.062	1.219	0.000	0.000	0.233	0.000	0.283	0.415	0.086	0.770	6.080	0.437	0.337	0.167	0.000	0.335	0.000	45.612	15.727	0.213	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000154.spe	172.00	5.51	1	0.017523	-0.011353	0.012218	0.089277	30073	2.67	0.051	0.122	0.271	0.000	0.205	0.000	0.295	1.221	12.766	19.173	169.351	0.335	0.000	0.573	0.204	0.078	0.395	6.454	0.491	3.063	0.000	0.000	0.000	0.053	0.000	0.000	0.677	0.170	0.000	0.000	1.742	0.000	0.000	0.159	0.000	0.165	0.000	0.000	0.549	5.938	0.112	0.113	0.096	0.000	0.296	0.000	46.341	16.327	0.217	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000155.spe	173.00	5.52	1	0.017520	-0.011353	0.012006	0.089277	30971	2.49	0.043	0.098	0.252	0.000	0.189	0.000	0.222	1.083	12.628	19.446	178.169	0.129	0.000	0.491	0.000	0.109	0.235	6.399	0.300	2.873	0.000	0.000	0.000	0.000	0.000	0.000	0.616	0.247	0.000	0.000	1.857	0.094	0.000	0.000	0.000	0.549	0.196	0.143	0.714	6.041	0.000	0.070	0.000	0.000	0.138	0.000	49.130	15.873	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000156.spe	174.00	5.52	1	0.017522	-0.011353	0.012034	0.089277	31321	2.69	0.072	0.093	0.275	0.000	0.266	0.000	0.507	1.248	13.588	20.162	182.667	0.304	0.000	0.454	0.051	0.150	0.387	6.564	0.352	2.877	0.000	0.000	0.000	0.000	0.028	0.000	0.692	0.094	0.000	0.000	1.526	0.000	0.000	0.000	0.000	0.560	0.000	0.000	0.749	6.257	0.092	0.000	0.000	0.000	0.208	0.046	46.814	15.640	0.221	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000157.spe	175.00	5.53	1	0.017523	-0.011353	0.012034	0.089277	29037	2.33	0.000	0.100	0.179	0.000	0.114	0.013	0.464	1.053	12.455	18.001	163.404	0.410	0.000	0.550	0.150	0.047	0.000	6.119	0.415	2.478	0.000	0.000	0.000	0.000	0.000	0.000	0.605	0.187	0.000	0.000	1.435	0.000	0.000	0.054	0.000	0.262	0.603	0.000	0.836	6.146	0.363	0.000	0.055	0.000	0.166	0.275	44.608	14.439	0.214	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000158.spe	176.00	5.48	1	0.017524	-0.011353	0.012058	0.089277	29210	2.46	0.000	0.057	0.240	0.000	0.154	0.013	0.512	1.034	12.285	18.044	162.201	0.401	0.000	0.467	0.037	0.070	0.611	6.682	0.378	2.665	0.000	0.000	0.000	0.000	0.045	0.000	0.616	0.313	0.000	0.043	1.314	0.000	0.000	0.000	0.086	0.511	0.000	0.000	0.729	5.278	0.157	0.102	0.000	0.000	0.243	0.000	44.557	16.070	0.215	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000159.spe	177.00	5.53	1	0.017521	-0.011353	0.012028	0.089277	29976	2.38	0.036	0.120	0.268	0.029	0.132	0.000	0.471	1.034	13.170	18.542	169.503	0.495	0.000	0.619	0.017	0.279	0.080	6.498	0.761	3.034	0.000	0.000	0.000	0.000	0.038	0.000	0.589	0.086	0.000	0.000	1.400	0.000	0.000	0.000	0.000	0.499	0.376	0.022	0.702	6.345	0.228	0.171	0.000	0.000	0.012	0.000	46.917	15.618	0.218	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000160.spe	178.00	5.49	1	0.017523	-0.011353	0.012016	0.089277	32915	2.99	0.015	0.120	0.363	0.000	0.239	0.029	0.307	1.456	15.790	21.455	195.300	0.402	0.000	0.562	0.000	0.010	0.290	7.174	0.625	2.840	0.000	0.000	0.000	0.000	0.000	0.000	0.886	0.458	0.000	0.000	1.284	0.000	0.000	0.000	0.136	0.386	0.133	0.000	0.706	6.589	0.076	0.263	0.000	0.000	0.193	0.000	49.363	16.802	0.227	
C:\Data\BAS2023_Mo_batch\MI1K__xrf\XRF data\L000161.spe	179.00	5.52	1	0.017525	-0.011353	0.012016	0.089277	29935	2.47	0.054	0.061	0.320	0.000	0.171	0.000	0.645	1.035	13.472	17.980	168.017	0.437	0.000	0.632	0.057	0.299	0.266	7.104	0.480	2.792	0.000	0.000	0.000	0.000	0.142	0.000	0.544	0.183	0.000	0.000	1.607	0.000	0.000	0.216	0.185	0.621	0.356	0.093	0.650	5.955	0.361	0.347	0.171	0.000	0.565	0.036	48.303	15.863	0.220	
