"depth","SH20_age","surface","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc"
96,2351.9,7.51,54877,310496,2.27,99,319,724,129,13161,0,16,406,0,252,767,3618,231036,39720,0.171921259024568
96.5,2366.71,7.5,57808,314424,2.28,36,247,420,58,10591,55,0,411,0,95,0,3487,240372,39372,0.163796116020169
97,2381.52,7.55,54615,310223,2.15,15,255,396,73,7039,131,94,427,0,135,0,3350,241469,39344,0.16293602905549
97.5,2396.32,7.56,57088,312796,2.02,10,265,242,65,7197,107,65,633,0,64,104,3567,241661,39926,0.165214908487509
98,2411.13,7.49,60158,315933,2.48,9,328,279,58,7582,0,80,518,0,0,0,3356,244322,40442,0.165527459663886
98.5,2425.93,7.45,59599,313832,2.32,43,322,385,71,7489,117,30,367,0,191,0,3549,242129,40215,0.16608915082456
99,2440.74,7.46,59849,312400,2.58,25,250,358,40,5328,10,0,383,0,0,0,3295,243828,39685,0.162758173794642
99.5,2455.54,7.43,55955,306980,2.7,36,350,195,52,7120,7,62,319,0,81,160,3259,237284,39242,0.165379882335092
100,2470.35,7.41,56084,308196,2.5,31,396,152,31,6498,0,30,475,0,124,123,3337,239308,38813,0.1621884767747
100.5,2484.17,7.48,56243,308430,2.3,95,522,228,51,7572,169,60,462,0,0,0,3469,237554,39956,0.168197546663074
101,2497.98,7.51,57902,311159,2.65,51,356,211,77,7643,134,58,478,0,113,0,3237,241158,38684,0.160409358180114
101.5,2511.8,7.55,57026,311224,2.33,142,442,839,77,9307,137,0,494,0,0,0,3369,238400,39018,0.16366610738255
102,2525.61,7.52,53250,305696,2.3,272,520,1225,90,13800,154,36,385,0,541,1010,3558,225801,38439,0.170233967077205
102.5,2539.43,7.52,52850,310453,2.24,277,650,1859,166,20334,112,0,513,0,365,597,3468,223253,38658,0.173157807509865
103,2553.25,7.55,54631,313221,2.27,137,521,1190,72,17402,121,46,346,0,127,374,3036,228993,39762,0.173638495499862
103.5,2567.06,7.6,57007,317815,2.27,22,302,436,62,13885,36,0,536,0,255,156,3563,240249,39263,0.163426278569318
104,2580.88,7.68,61477,322642,2.62,0,251,306,23,13781,134,82,442,0,356,0,3490,243980,39802,0.163136322649397
104.5,2594.69,7.71,59137,313515,2.2,0,247,181,51,9022,146,43,455,0,0,0,3206,242785,39764,0.163782770764256
105,2608.51,7.74,56909,310716,2.48,0,208,264,53,6238,0,0,322,0,0,0,3410,242326,40080,0.165397027145251
105.5,2622.33,7.71,59378,316126,2.5,45,217,512,71,11873,206,49,504,0,108,78,3070,238822,40322,0.168837041813568
106,2636.14,7.68,61262,323081,2.71,30,328,306,64,16453,213,71,477,0,32,27,3375,240221,40120,0.167012875643678
106.5,2649.96,7.63,61475,320083,2.35,52,269,302,63,12802,122,0,190,0,42,0,3439,241788,40013,0.165487948119841
107,2663.77,7.66,61281,322917,2.46,96,321,747,76,15305,75,8,484,0,206,447,3399,239851,40034,0.166911957840493
107.5,2677.59,7.68,60810,325980,2.19,59,474,676,74,19271,0,0,370,0,127,303,3612,241094,39368,0.163289007606991
108,2691.41,7.7,50980,294172,2.44,86,388,1106,112,15342,192,79,618,0,292,404,3338,216245,36305,0.167888274873407
108.5,2705.22,7.64,43885,326439,2.47,1469,1205,3892,1296,95761,547,0,74,0,1306,2657,3310,161824,34290,0.211896875617955
109,2719.04,7.68,55810,317231,2.29,170,354,1179,164,19752,164,0,432,0,370,602,3250,230309,39233,0.170349400153707
109.5,2732.86,7.67,59866,318135,2.38,14,346,546,62,12667,113,21,546,0,169,0,3461,241142,39137,0.162298562672616
110,2746.67,7.72,59861,315603,2.56,44,332,373,108,8476,0,0,356,0,0,45,3055,243560,40100,0.164641156183281
110.5,2760.49,7.67,58710,313478,2.43,36,340,738,56,9850,119,96,462,0,239,0,3407,239954,39723,0.165544229310618
111,2774.3,7.71,54439,311754,2.2,42,412,1058,28,12278,0,21,454,0,0,187,3319,235755,39164,0.166121609297788
111.5,2788.12,7.69,58002,317649,2.23,79,322,786,69,13536,0,0,347,0,139,0,3529,239939,39028,0.162658008910598
112,2801.94,7.71,57334,316164,2.2,0,262,539,53,12835,38,141,401,0,0,249,3507,239723,39501,0.164777680906713
112.5,2815.75,7.72,58368,318500,2.22,0,314,334,59,10465,40,33,465,0,0,0,3377,244520,40458,0.165458858171111
113,2829.57,7.72,54896,308309,2.24,8,477,316,12,9961,22,74,277,0,57,0,3276,236030,38986,0.165173918569673
113.5,2843.38,7.66,52133,298690,2.32,0,451,380,93,9501,0,35,299,0,16,0,3082,229964,37711,0.163986537023186
114,2857.2,7.68,53538,306773,2.6,241,734,304,164,13037,145,0,408,0,0,250,3242,232355,38083,0.16390006670827
114.5,2871.02,7.71,57607,316199,2.17,51,387,152,18,9418,10,76,394,0,151,269,3441,242618,40699,0.167749301370879
115,2884.83,7.79,57161,316721,2.31,0,363,248,15,8645,0,60,541,0,151,0,3344,245655,39847,0.162207160448597
115.5,2898.65,7.77,52740,308353,2.06,59,375,206,25,6253,31,91,352,0,70,0,3419,242643,39341,0.162135318142291
116,2912.47,7.79,55148,311203,2.06,0,563,113,49,7226,0,64,504,0,125,0,3494,242518,39926,0.164631078930224
116.5,2926.28,7.68,58314,312768,2.36,0,388,121,29,6199,8,0,499,0,0,0,3557,244515,39971,0.163470543729424
117,2940.1,7.71,63828,321046,2.48,21,391,126,24,6157,182,0,400,0,0,0,3589,250507,41014,0.163723967793315
117.5,2953.91,7.62,61777,320165,2.32,14,509,322,55,7218,152,0,405,0,102,14,3479,248922,41072,0.16499947774805
118,2967.73,7.52,62914,319229,2.65,67,477,214,0,6909,0,0,421,0,0,0,3542,248212,40926,0.164883244968011
118.5,2981.55,7.58,62573,316815,2.38,42,415,193,35,6495,117,43,511,0,0,0,3277,246780,39626,0.160572169543723
119,2995.36,7.58,62380,319480,2.4,29,386,300,36,6696,0,5,561,0,82,0,3700,249397,40602,0.162800675228652
119.5,3009.18,7.59,56608,310502,2.23,54,461,520,83,7859,183,28,359,0,0,0,3394,239430,39431,0.164686964874911
120,3022.99,7.57,54382,305428,2.34,70,400,743,166,12793,124,139,600,0,397,280,3375,229204,38757,0.169093907610687
120.5,3028.4,7.55,56250,310963,2.42,94,442,834,146,12452,71,0,415,0,0,319,3342,233717,39589,0.169388619569822
121,3033.81,7.55,57897,313392,2.37,90,388,780,67,9987,0,0,579,0,388,132,3203,238315,39455,0.165558189790823
121.5,3039.21,7.58,57285,311802,2.66,38,278,444,87,8544,0,5,438,0,312,0,3247,238848,39841,0.166804829849946
122,3044.62,7.59,60022,314014,2.36,5,270,325,34,8554,110,0,356,0,0,0,3400,242056,39547,0.163379548534223
122.5,3050.02,7.65,58348,313584,2.39,12,294,420,66,8768,70,75,456,0,116,0,3261,241339,39672,0.164382880512474
123,3055.43,7.68,55540,311523,2.28,17,518,366,36,10061,65,62,242,0,144,4,3410,238648,39403,0.165109282290235
123.5,3060.84,7.64,60302,315640,2.33,23,271,485,35,8021,93,83,435,0,7,89,3341,243983,39963,0.163794198776144
124,3066.24,7.65,58975,313986,2.25,34,295,329,69,6978,0,29,389,0,48,0,3481,243824,39765,0.163088949406129
124.5,3071.65,7.62,60372,317962,2.3,28,373,264,88,9077,0,172,382,0,177,0,3388,244236,39970,0.163653187900228
125,3077.05,7.6,59763,316590,2.25,0,334,382,46,8890,55,93,500,0,40,25,3203,242929,40460,0.16655072058091
125.5,3082.46,7.59,60378,317548,2.41,41,404,310,36,9544,170,31,425,0,0,0,3421,242995,39534,0.16269470565238
126,3087.87,7.55,59058,317155,2.24,15,349,265,47,9489,35,72,421,0,173,0,3235,244025,40232,0.16486835365229
126.5,3093.27,7.55,58634,314991,2.26,35,346,297,79,9295,0,18,412,0,0,0,3272,242411,39540,0.163111409960769
127,3098.68,7.52,61134,314925,2.33,21,291,206,0,7890,66,0,442,0,0,75,3351,243845,39874,0.163521909409666
127.5,3104.09,7.48,59840,313365,2.5,8,404,137,46,7774,0,4,361,0,0,0,3448,242102,40095,0.165612014770634
128,3109.49,7.49,60341,313792,2.43,0,273,175,43,6909,92,93,516,0,0,0,3383,243820,40131,0.164592732343532
128.5,3114.9,7.53,57006,311186,2.39,22,336,204,29,7864,148,0,360,0,342,0,3699,239575,39223,0.163719085881248
129,3120.3,7.52,57535,310844,2.53,49,393,243,75,9215,0,44,534,0,0,0,3543,238589,38998,0.1634526319319
129.5,3125.71,7.53,55702,311342,2.12,21,442,202,73,8935,0,0,317,0,21,0,3711,239570,39491,0.164841173769671
130,3131.12,7.5,57776,315162,2.31,35,494,429,21,10236,0,78,576,0,164,0,3740,241827,39927,0.165105633366001
130.5,3136.52,7.44,60744,322283,2.49,54,381,288,121,13362,67,0,378,0,197,0,3684,243781,40581,0.166464982914993
131,3141.93,7.46,59339,317509,2.31,50,388,246,37,10077,0,17,466,0,18,0,3418,243216,39501,0.162411190053286
131.5,3147.33,7.5,58982,314332,2.62,10,340,224,30,8301,61,34,359,0,183,0,3446,242640,39200,0.161556214968678
132,3152.74,7.5,60554,315304,2.51,0,267,228,68,7249,23,100,526,0,0,0,3267,244402,39800,0.16284645788496
132.5,3158.15,7.41,60978,313897,2.65,8,288,329,69,7682,31,50,318,0,178,0,3400,242097,39611,0.163616236467201
133,3163.55,7.46,57365,310243,2.22,51,334,799,68,14860,100,8,509,0,402,174,2969,230511,39153,0.169853065580384
133.5,3168.96,7.45,55267,313085,2.2,145,474,1135,125,19363,10,0,470,0,155,131,3284,230064,38229,0.166166805758398
134,3174.36,7.45,46872,286794,2.07,290,495,1640,189,25050,290,0,478,0,750,1399,3386,196999,35729,0.181366402875141
134.5,3179.77,7.46,56532,313802,2.38,159,463,1524,138,17892,75,10,516,0,430,1054,3408,227363,38709,0.170251975915166
135,3185.18,7.47,58009,320534,2.26,195,351,893,95,15254,85,0,401,0,329,74,3587,237671,40952,0.172305413786284
135.5,3190.58,7.5,58441,313038,2.34,95,361,706,21,11465,0,12,547,0,68,0,2779,236702,38555,0.162884132791442
136.5,3201.39,7.37,52462,304315,2.44,47,320,178,31,6978,67,41,509,0,241,0,3134,236038,38636,0.163685508265618
137,3206.8,7.34,56915,312328,2.53,25,314,306,72,8364,84,20,213,0,164,0,3389,241402,38941,0.161311836687351
137.5,3212.21,7.41,54802,309080,2.2,0,381,315,89,9742,130,12,317,0,0,0,2936,237407,38818,0.163508236909611
138,3217.61,7.43,58233,314386,2.33,38,409,289,31,10637,37,93,260,0,118,0,3305,240567,39230,0.163073073197903
138.5,3223.02,7.4,55408,309579,2.33,11,439,213,38,10704,0,0,458,0,36,0,3479,237153,39090,0.164830299426952
139,3228.42,7.46,58377,318403,2.37,14,447,250,40,10292,209,31,412,0,0,0,3580,244073,40375,0.16542182052091
139.5,3233.83,7.48,58897,314906,2.41,51,426,180,11,11342,26,0,411,0,96,0,3317,239860,39314,0.163903943967314
140,3239.24,7.49,56585,315615,2.2,46,331,244,41,12860,48,47,580,0,0,0,3239,239901,39345,0.164005152125252
140.5,3244.62,7.54,57985,316911,2.41,41,326,165,0,11548,10,0,361,0,92,0,3417,241688,39935,0.165233689715666
