"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-6.04113936246591,0.000237885,4.67886871554592,0.602830048,5.09617247211776,3.73486271554615,6.45748222868937
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-6.62966985743565,0.00013206,4.65019577397658,1.945661604,4.67978433092515,3.31946218707526,6.04010647477505
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-6.25883640868762,0.000191347,4.42089560472281,1.047951326,4.94215077027878,3.5814389369665,6.30286260359105
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-6.1254687371979,0.000218647,5.72432520415296,5.420210026,5.03650903599558,3.67546327755798,6.39755479443317
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-6.24879227623977,0.000193279,5.84760008544681,1.801290643,4.94925704204481,3.58852362798026,6.30999045610935
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-6.27468140349164,0.000188339,5.66576595949873,3.985565753,4.93094036063979,3.57026138996364,6.29161933131593
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-7.06736784780542,8.52e-05,4.51585615126129,2.286395813,4.3701109084406,3.00922848131927,5.73099333556194
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-7.05105075694746,8.66e-05,5.7054543862328,2.313865346,4.38165532829665,3.02081360182296,5.74249705477034
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-7.05373063469226,8.64e-05,4.61246139738606,1.158415535,4.37975930196952,3.01891099617747,5.74060760776156
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-6.8475891151827,0.000106201,4.35635408659728,1.138396094,4.52560541336876,3.16514236609112,5.8860684606464
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-7.04420865071842,8.72e-05,5.11160419611975,4.613030137,4.38649615119181,3.02567103500489,5.74732126737874
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-7.17582689946498,7.65e-05,4.72478547360075,1.1721457,4.29337561043644,2.93218368151918,5.6545675393537
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-6.0419468020559,0.000237693,5.20264696582195,1.417671051,5.09560120474441,3.73429416998135,6.45690823950747
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-6.22146505369881,0.000198633,5.44778421577514,3.088831834,4.96859118274787,3.60779611165706,6.32938625383868
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-6.95828044740136,9.51e-05,4.59947401737917,3.500006484,4.44729076618802,3.08665129125858,5.80793024111745
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-6.36993179930305,0.000171228,5.30180111225309,3.632633153,4.86355024984899,3.50303833790997,6.224062161788
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-6.7621806975553,0.00011567,4.66286652456503,2.065816837,4.58603227750246,3.22565708380865,5.94640747119626
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-6.37940609360656,0.000169613,5.32965354899277,0.701645984,4.85684714129663,3.49634898681775,6.21734529577552
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-6.04589792429404,0.000236755,5.70013486554465,1.853227806,5.09280576685559,3.73151199688578,6.4540995368254
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-6.48553663177071,0.000152534,5.13968637451095,2.42340375,4.78175927773196,3.42137986694533,6.14213868851859
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-6.96625765435747,9.43e-05,5.41347749427578,2.580722118,4.44164685409722,3.08099193651723,5.8023017716772
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-6.99948138924381,9.12e-05,4.26295183583182,0.923251052,4.41814090269616,3.05741772514048,5.77886408025184
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-7.15561297436852,7.8e-05,4.40303640183348,0.196076549,4.30767705916181,2.94654794824935,5.66880617007426
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-5.46532328873467,0.000423097,5.91425819446545,2.554928725,5.50356509944815,4.13936071408823,6.86776948480808
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-5.578975365663,0.000377643,5.57048776297292,3.413307769,5.42315571121875,4.05967326285759,6.78663815957991
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-5.03951096222705,0.000647691,6.16983116865387,5.880696175,5.8048293578797,4.4372645304233,7.1723941853361
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-5.45007674115936,0.000429597,6.19233358271761,11.83345793,5.51435210480939,4.15004524977707,6.8786589598417
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-6.72756432364169,0.000119745,6.02222963726831,2.062486453,4.61052352767881,3.25017196314635,5.97087509221126
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-6.62975921481981,0.000132048,6.14871964552327,3.042764702,4.6797211101483,3.31939896464302,6.04004325565359
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-6.23291057151258,0.000196373,4.88461210518651,0.978569787,4.9604934241301,3.59972470059899,6.32126214766122
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-5.62333141959858,0.000361259,5.53454842283274,1.646406972,5.39177359082442,4.02855283734472,6.75499434430412
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-5.89802047102901,0.000274487,5.21484298700158,2.244591758,5.19742977260484,3.83557833185344,6.55928121335623
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-5.73378601277809,0.000323481,5.83379094415111,8.404624652,5.31362643764663,3.95100834727941,6.67624452801385
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-3.91748409004302,0.001989108,6.42007931742014,4.3370591,6.59866873862561,5.2173479673323,7.97998950991892
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-4.80706864595583,0.000817178,6.31640669756049,15.06148595,5.9692834088319,4.59944947679048,7.33911734087332
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-4.95565262881485,0.000704348,6.07212752091516,7.251617097,5.8641595300143,4.49581135880814,7.23250770122046
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-6.1341277942003,0.000216761,4.98123576413021,1.71335692,5.03038271173451,3.66936174337873,6.39140368009029
