"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,4939.73076923077,0.00536200600632088,0.00286961064718514,2039.268789,17.53771158,2088.07873213083,-2373.81450588858,6549.97197015024
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-43.6,0.00077659190785271,0.00044200559035053,8034.582758,86.27648623,1638.44906052494,-2823.83677509551,6100.73489614538
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,3.97058823529412,0.0178473634970491,0.00967443830080077,10205.77283,252.6865249,3312.34922720208,-1149.11924799052,7773.81770239469
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,59.76,0.0256870134689733,0.0161175316475147,11837.89698,130.380681,4081.07788871141,-380.605574997855,8542.76135242067
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,108.485714285714,0.00561408792778829,0.00234857997194002,3166.073488,44.73377847,2112.79700383611,-2349.07833651463,6574.67234418686
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,130.207142857143,0.0171801465332367,0.0122242432457428,9442.994519,253.226675,3246.92426494424,-1214.54307197414,7708.39160186262
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,153.175,0.00977539758204205,0.0113121278814973,3112.020149,70.38593935,2520.84047670754,-1940.79492337804,6982.47587679312
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,212.526666666667,0.00378304972510089,0.00159474167182283,3257.609478,97.329283,1933.25180070011,-2528.76228003354,6395.26588143376
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,308.48,0.00203167310111019,0.00100250831168365,338.8842864,6.962616026,1761.51793339982,-2700.6478126641,6223.68367946375
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,466.2125,0.00790203388402626,0.00302313862756182,6877.170886,109.8412701,2337.14498350909,-2124.58547885491,6798.87544587309
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,587.28,0.00256110901762678,0.00082146896569221,2119.195067,42.49584384,1813.43256797105,-2648.68537512446,6275.55051106656
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,665.746666666667,0.0344106954959593,0.0218831603085428,12890.21714,60.8506047,4936.49164213846,474.132194196806,9398.8510900801
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,716.192857142857,0.034901713549969,0.0133829905171012,4855.040059,57.8341097,4984.63915545698,522.227986537088,9447.05032437687
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,744.413333333333,0.0218787531576268,0.006704183762405,10403.61788,155.4234859,3707.65319981526,-753.879417510504,8169.18581714102
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,772.55,0.0268418935665897,0.00990945769650629,9675.703494,40.69163139,4194.32139254434,-267.425142698538,8656.06792778721
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,799.733333333333,0.0211237429105233,0.0092116908891713,8232.043472,175.7847238,3633.6195352052,-827.893591080104,8095.13266149051
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,888.225,0.0306508139473954,0.0143702757018274,13294.3136,138.4755692,4567.81080554343,105.799107787633,9029.82250329924
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,1089.45333333333,0.0216978853262855,0.00730805274939359,10841.15992,130.6451559,3689.91793275678,-771.609701429861,8151.44556694342
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,1213.32142857143,0.0412384292036601,0.0159013438415681,11278.11655,175.8665955,5605.9953333823,1142.78599506665,10069.2046716979
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,1808.84285714286,0.00922368720922212,0.00136800874950096,3746.441884,59.23831837,2466.74168684351,-1994.91950521097,6928.40287889799
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,2110.62666666667,0.00874638029694397,0.00215892268878224,2161.427163,2.306044471,2419.93864013623,-2041.74635026129,6881.62363053374
