"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","K_fit_OLS","K_lwr_OLS","K_upr_OLS","K_fit_WLS","K_lwr_WLS","K_upr_WLS"
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-1.76367054591806,-0.0881835272959032,4.0872594138536,0.20436297069268,2.96242523615158,1.58293258822035,4.34191788408281,2.85420384443888,1.21147740213338,4.49693028674438
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-1.81542308041349,-0.0907711540206743,1.93672876504028,0.0968364382520142,2.93874322212929,1.55917360698605,4.31831283727254,2.80908281286529,1.13490649666063,4.48325912906996
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-2.75944495148245,-0.137972247574123,1.58511273599035,0.0792556367995177,2.50675782458361,1.12096902917129,3.89254661999592,1.98602668496828,-0.262629273891824,4.23468264382838
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-2.23589529429183,-0.111794764714592,3.02516970968075,0.151258485484037,2.7463346963994,1.36512068780104,4.12754870499776,2.44248936535213,0.512596336456341,4.37238239424792
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-1.4927409576331,-0.0746370478816547,2.95150102780924,0.147575051390462,3.08640289968775,1.70686404166176,4.46594175771374,3.09041686523897,1.61222041158878,4.56861331888917
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-0.875755465314423,-0.0437877732657211,1.82160760396241,0.0910803801981205,3.36873610757985,1.98628064241268,4.75119157274702,3.62834263352802,2.52375334853451,4.73293191852154
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-1.68057467428122,-0.0840287337140612,4.14287300717925,0.207143650358963,3.00044999409792,1.62102336378741,4.37987662440843,2.92665191841856,1.33440914310209,4.51889469373503
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-0.996151435896742,-0.0498075717948371,5.40058217317235,0.270029108658617,3.31364278526518,1.93206263859778,4.69522293193257,3.52337404710144,2.34604435511807,4.70070373908481
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,0.404721731562153,0.0202360865781076,5.22334665430383,0.261167332715192,3.95468381482371,2.55384793109508,5.35551969855234,4.74474113638078,4.39253318901032,5.09694908375125
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-0.316476890891769,-0.0158238445445884,2.63041618781146,0.131520809390573,3.6246625693653,2.23620650513691,5.01311863359368,4.1159559738406,3.34726568101583,4.88464626666538
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-2.04005996977019,-0.102002998488509,2.37250641531924,0.118625320765962,2.83594914613792,1.45572664748297,4.21617164479288,2.61323060434877,0.802477447222182,4.42398376147536
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-2.11777180693124,-0.105888590346562,2.44686840873175,0.122343420436587,2.80038812801023,1.41981921461228,4.18095704140818,2.54547666162167,0.687453579149925,4.40349974409342
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-1.88904574248941,-0.0944522871244703,2.70289750348778,0.135144875174389,2.90505341480605,1.52532689878146,4.28477993083065,2.74489406360987,1.02596718055471,4.46382094666503
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-2.29670747428902,-0.114835373714451,1.466651504395,0.0733325752197501,2.71850697910091,1.33690516012777,4.10010879807404,2.38946957954909,0.422568438472049,4.35637072062614
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-1.91024216276506,-0.0955121081382529,1.88116963910373,0.0940584819551864,2.89535391067385,1.5155719016075,4.27513591974021,2.72641372524907,0.994600754499828,4.45822669599831
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-2.21122751936175,-0.110561375968088,2.21115530040779,0.110557765020389,2.75762269605949,1.3765552085111,4.13869018360787,2.46399624346587,0.549113611128588,4.37887887580316
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-0.63907396300915,-0.0319536981504575,4.38481727004753,0.219240863502377,3.47704181107937,2.09243454320875,4.86164907894999,3.83469607384783,2.87274854495492,4.79664360274075
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,0.0135456100412777,0.000677280502063884,4.64306914368582,0.232153457184291,3.7756812116592,2.38220290582567,5.16915951749273,4.40368981779198,3.83002527335014,4.97735436223381
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-0.119889153975389,-0.00599445769876945,4.55114308966253,0.227557154483127,3.71462132380418,2.32330504559085,5.10593760201751,4.2873532120796,3.63531649593879,4.93938992822041
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-0.585522105069248,-0.0292761052534624,1.00126264509316,0.0500631322546579,3.50154719739556,2.11637399702508,4.88672039776604,3.8813858658839,2.95162982790681,4.81114190386099
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-1.59414971798865,-0.0797074858994323,-0.490982072592547,-0.0245491036296274,3.03999814467164,1.66056490434482,4.41943138499846,3.00200249244636,1.46224677464439,4.54175821024832
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-1.36197075557106,-0.068098537778553,3.12297310922221,0.15614865546111,3.14624348119984,1.76641247753339,4.52607448486629,3.20443034252379,1.80556655941987,4.60329412562771
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-1.47336283272506,-0.0736681416362531,3.10449939916831,0.155224969958416,3.09527034995414,1.71569928581087,4.47484141409741,3.10731190225189,1.64087507203336,4.57374873247041
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,-1.41215942575692,-0.070607971287846,3.24145045942126,0.162072522971063,3.12327709312455,1.74357898032498,4.50297520592413,3.16067278370717,1.73136888968732,4.58997667772702
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,-1.52337259628747,-0.0761686298143735,3.29776776227385,0.164888388113692,3.07238582973724,1.69289001226776,4.45188164720672,3.06371032519508,1.56692256361652,4.56049808677365
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,-1.78721368117425,-0.0893606840587123,2.99064313158539,0.149532156579269,2.95165187278491,1.57212762259967,4.33117612297015,2.83367749612391,1.17664472179957,4.49071027044826
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,-2.07206809476827,-0.103603404738414,3.09184088550965,0.154592044275482,2.82130219459396,1.44094451439208,4.20165987479584,2.58532395914326,0.755102409962394,4.41554550832412
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,-1.11270676136958,-0.0556353380684788,3.56157668449803,0.178078834224901,3.26030694617764,1.87943296777191,4.64118092458337,3.42175397048095,2.17391472349714,4.66959321746476
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,-0.425515850082832,-0.0212757925041416,3.46103501645448,0.173051750822724,3.57476622736553,2.1877288551061,4.96180359962495,4.02088912603538,3.18707604716121,4.85470220490954
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,-0.460814317814427,-0.0230407158907214,3.97062732680859,0.198531366340429,3.55861361153839,2.17200977247163,4.94521745060516,3.99011375836411,3.13516996810136,4.84505754862687
"Kerguelen","KER3","CAT2-S3-1A",32,45.1,47,46.1,-1.08918306405829,-0.0544591532029144,3.46131075808311,0.173065537904155,3.27107141472036,1.89006611639133,4.6520767130494,3.44226337160417,2.20866102175266,4.67586572145569
"Kerguelen","KER3","CAT2-S3-1B",38,46.4,47.6,47,-0.979936228961432,-0.0489968114480716,3.38942326227894,0.169471163113947,3.32106288095248,1.93937347729841,4.70275228460655,3.53751145836514,2.36998446786563,4.70503844886464
"Kerguelen","KER3","CAT2-S3-1B",42,51.6,52.7,52.2,-1.02217036124911,-0.0511085180624556,3.32924568015204,0.166462284007602,3.30173649775584,1.92032604508671,4.68314695042496,3.50068915323525,2.30762651726354,4.69375178920696
"Kerguelen","KER3","CAT2-S3-1B",45,55.3,56.5,55.9,-0.766942197606176,-0.0383471098803088,4.03906115722389,0.201953057861194,3.41852917292056,2.03515529176577,4.80190305407534,3.72321270966551,2.68426867690143,4.7621567424296
