"Location","Site","Section","sample","min_depth","max_depth","midpoint","K","K_sd","K_ICP","K_ICP_sd","fit","lwr","upr"
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-7.14485704449485,7.89e-05,8.21978036732468,1197.639786,8.0363853030811,6.03989404787126,10.0328765582909
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-5.92465074139464,0.000267274,9.64730328215626,4690.122304,8.66448765951698,6.6625009536016,10.6664743654324
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-5.95818684331827,0.000258459,7.19481760067809,500.4474263,8.64722491911777,6.64550607807628,10.6489437601593
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-8.01763075992896,3.3e-05,6.09336174908748,296.6069678,7.5871242019815,5.58918356962752,9.58506483433548
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-7.94435097389994,3.55e-05,5.78067873468173,259.1559924,7.62484504161903,5.6271986973725,9.62249138586556
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-7.82943299463377,3.98e-05,6.1890535857076,303.2847,7.68399918087445,5.68675068396796,9.68124767778094
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-7.7651028018224,4.24e-05,5.28073893881511,191.5053837,7.71711320888114,5.72005346839492,9.71417294936736
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-8.75717140379901,1.57e-05,5.70361390211532,205.5788987,7.20644495133782,5.2037690877492,9.20912081492643
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-8.76889055014851,1.55e-05,5.12277231787089,206.6572639,7.20041250959511,5.19763582147124,9.20318919771898
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-8.15699047738216,2.87e-05,5.81672173384908,217.6595685,7.51538865472019,5.51680119553392,9.51397611390646
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-8.06422763935922,3.15e-05,5.47451440839655,206.9599076,7.56313841392391,5.56499421684121,9.5612826110066
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-8.25455973241561,2.6e-05,3.58051059375477,186.0023139,7.46516478778351,5.46605652088055,9.46427305468647
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-8.85373643055807,1.43e-05,5.05662433497082,200.016727,7.15673801186164,5.15320743900514,9.16026858471813
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-7.50076938316846,5.53e-05,8.88952654720129,2014.293918,7.85317908783903,5.85663896990914,9.84971920576892
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-8.07995167704403,3.1e-05,5.68299005777989,214.5612668,7.55504445055278,5.55682867872166,9.5532602223839
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-9.19743401842667,1.01e-05,5.29711731277146,247.9286391,6.97981935122768,4.97280575188204,8.98683295057332
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-8.90152567471421,1.36e-05,6.88108524083891,485.0193541,7.13213845292599,5.12816476160793,9.13611214424404
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-8.14525384353324,2.9e-05,8.44977437794971,1417.904442,7.52143009816988,5.52290151750299,9.51995867883677
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-7.09436079885649,8.3e-05,5.36707802767625,203.8744744,8.0623782936074,6.06583346220948,10.0589231250053
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-8.01392102330516,3.31e-05,8.41878793399692,1385.451254,7.58903379244112,5.59110881759338,9.58695876728886
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-6.25708823773835,0.000191682,10.0552660353562,6156.752203,8.49336514171764,6.49374277473341,10.4929875087019
"Kerguelen","KER1","CAT1-S1-1E",146,181.9,183,182.4,-3.77740562145575,0.002288198,10.4437341495311,9926.584014,9.76978412967323,7.73711390530672,11.8024543540397
"Kerguelen","KER1","CAT1-S1-1E",147,183.3,184.4,183.8,-5.66620320408685,0.000346098,7.05121538687968,441.1367224,8.79752377544724,6.79325230749092,10.8017952434036
"Kerguelen","KER1","CAT1-S1-1E",151,189,190.3,189.7,-8.61946957900122,1.81e-05,6.25203725211386,309.2130411,7.27732709677606,5.27577580325294,9.27887839029919
"Kerguelen","KER1","CAT1-S1-1E",157,198.4,199.7,199,-8.30209794096162,2.48e-05,6.234665883555,285.4705255,7.44069444966722,5.44131217130044,9.440076728034
"Kerguelen","KER1","CAT1-S1-1E",161,204.5,205.8,205.2,-7.94541452918023,3.54e-05,6.57089960099668,335.9649223,7.62429757552575,5.62664718611354,9.62194796493797
"Kerguelen","KER1","CAT1-S1-1F",170,210.3,211.7,211,-8.64685209182689,1.76e-05,4.65086679194153,181.2848074,7.26323192222465,5.26146583691119,9.2649980075381
"Kerguelen","KER1","CAT1-S1-1F",177,220.9,222.2,221.6,-8.35684035620774,2.35e-05,5.5797753045747,158.4645684,7.412515739292,5.41280148833639,9.41222999024761
"Kerguelen","KER1","CAT1-S1-1F",179,224,225.4,224.7,-8.59376110983523,1.85e-05,6.01099895755489,241.9029057,7.29056055575959,5.28920692899787,9.29191418252131
"Kerguelen","KER1","CAT1-S1-1F",180,225.6,226.8,226.2,-5.89525404544231,0.000275248,9.3516418894667,3111.942568,8.67961963675081,6.67739271919052,10.6818465543111
"Kerguelen","KER1","CAT1-S1-1F",185,233.2,234.5,233.8,-4.41344176282272,0.001211341,9.56536300399911,3970.032909,9.44238392025293,7.42155195758247,11.4632158829234
"Kerguelen","KER1","CAT1-S1-1F",186,234.7,235.9,235.3,-5.36857653945632,0.000466076,9.46950694542877,3897.778682,8.95072738447436,6.94334262479839,10.9581121441503
"Kerguelen","KER1","CAT1-S1-1F",188,237.8,239.1,238.4,-6.4315565043392,0.000160994,4.48101951998627,207.6175941,8.40355743535122,6.40491652943371,10.4021983412687
"Kerguelen","KER1","CAT1-S1-1F",191,242.3,243.6,242.9,-7.7226679145141,4.43e-05,2.88736341319482,210.6531652,7.73895660753079,5.74200803306503,9.73590518199655
"Kerguelen","KER3","CAT2-S3-1A",6,7.9,9.1,8.5,-7.66603635788149,4.68e-05,7.79707323539926,412.7415789,7.7681077552336,5.77129100788977,9.76492450257742
"Kerguelen","KER3","CAT2-S3-1A",9,12.3,13.5,12.9,-8.05484063210111,3.18e-05,7.49991347093228,317.9447142,7.56797038484859,5.5698682235513,9.56607254614588
"Kerguelen","KER3","CAT2-S3-1A",13,18.1,19.3,18.7,-8.07239519695926,3.12e-05,7.77921503024593,425.057007,7.55893415587191,5.56075296212532,9.55711534961849
"Kerguelen","KER3","CAT2-S3-1A",15,21,22.1,21.6,-8.07903503936156,3.1e-05,7.84440327333355,457.224602,7.55551629067268,5.55730473122915,9.5537278501162
"Kerguelen","KER3","CAT2-S3-1A",20,28.2,29.4,28.8,-8.40265987482608,2.24e-05,7.28877378718633,215.3232617,7.38893009845257,5.38892446609146,9.38893573081368
"Kerguelen","KER3","CAT2-S3-1A",21,29.6,30.7,30.2,-8.53194141376515,1.97e-05,7.46290475750432,300.6279914,7.32238230317813,5.32148815517264,9.32327645118363
"Kerguelen","KER3","CAT2-S3-1A",22,31,32.1,31.6,-7.29715119097155,6.77e-05,8.40314795226183,814.8204864,7.95799174616341,5.9615710164344,9.95441247589242
"Kerguelen","KER3","CAT2-S3-1A",27,38.2,39.3,38.7,-5.86088691253484,0.000284872,8.17939819433301,584.9454802,8.69731015114029,6.69479600125509,10.6998243010255
"Kerguelen","KER3","CAT2-S3-1A",28,39.5,40.7,40.1,-5.77675260209313,0.000309876,9.09798805767185,1465.603155,8.74061836755524,6.73737191913972,10.7438648159708
"Kerguelen","KER3","CAT2-S3-1A",32,45.1,47,46.1,-6.99364873562309,9.18e-05,8.47022727745012,804.4079576,8.11421992405768,6.11752334489928,10.1109165032161
"Kerguelen","KER3","CAT2-S3-1B",38,46.4,47.6,47,-6.75841586905981,0.000116107,8.22495552384714,600.6912203,8.23530626611653,6.23802236745454,10.2325901647785
"Kerguelen","KER3","CAT2-S3-1B",42,51.6,52.7,52.2,-6.67873781293257,0.000125736,8.16506197310391,534.1706522,8.27632062137973,6.27876388074977,10.2738773620097
"Kerguelen","KER3","CAT2-S3-1B",45,55.3,56.5,55.9,-5.16071671460106,0.000573759,9.54046690931106,1930.925053,9.05772342724863,7.04785946997532,11.0675873845219
"Kerguelen","KER3","CAT2-S3-1B",47,58.1,59.3,58.7,-8.48976286636822,2.06e-05,7.42660216086904,261.9857183,7.34409375061431,5.34350025073632,9.3446872504923
"Kerguelen","KER3","CAT2-S3-1B",52,64.6,65.7,65.1,-8.31452177146605,2.45e-05,7.32001564163018,218.9868485,7.43429927108475,5.43484319436911,9.43375534780038
"Kerguelen","KER3","CAT2-S3-1B",55,68.3,69.4,68.9,-6.35134404873281,0.00017444,10.4201124539379,4649.592676,8.44484687325519,6.44577694027069,10.4439168062397
"Kerguelen","KER3","CAT2-S3-1B",56,69.5,70.7,70.1,-8.60401004187283,1.83e-05,7.48186856676502,239.8816494,7.28528490823391,5.28385294336834,9.28671687309948
"Kerguelen","KER3","CAT2-S3-1B",62,77.2,78.2,77.7,-8.48905773174339,2.06e-05,7.38804365345535,242.61321,7.34445671933389,5.34386815705357,9.34504528161421
"Kerguelen","KER3","CAT2-S3-1B",65,80.8,81.9,81.4,-8.2836479259891,2.53e-05,7.16054082907696,172.4655392,7.45019161244296,5.4509172561741,9.44946596871181
"Kerguelen","KER3","CAT2-S3-1B",68,84.5,85.6,85.1,-8.0814090523143,3.09e-05,7.12034994352032,186.6234713,7.55429426524465,5.55607178590447,9.55251674458484
"Kerguelen","KER3","CAT2-S3-1C",78,89.2,90.2,89.7,-7.57780331096337,5.12e-05,7.20717615552979,212.1717035,7.81352580015271,5.81687677460515,9.81017482570027
"Kerguelen","KER3","CAT2-S3-1C",83,95.7,96.8,96.2,-8.33933993596183,2.39e-05,7.13540674874693,177.9897434,7.42152409727798,5.42191788623518,9.42113030832078
"Kerguelen","KER3","CAT2-S3-1C",85,98.3,99.3,98.8,-8.94844544840113,1.3e-05,7.27820237516337,198.60815,7.10798645474231,5.10356475174447,9.11240815774014
"Kerguelen","KER3","CAT2-S3-1C",89,103.5,104.7,104.1,-8.1626319798366,2.85e-05,7.31139024807374,228.6678624,7.51248468595977,5.51386863721796,9.51110073470158
"Kerguelen","KER3","CAT2-S3-1C",91,106.1,107.2,106.7,-6.88257205505387,0.00010255,7.29736524939485,217.6265252,8.17139675115105,6.17446347190147,10.1683300304006
"Kerguelen","KER3","CAT2-S3-1C",96,112.8,113.9,113.3,-6.84920527829291,0.00010603,7.51342610082884,328.6692429,8.18857233126155,6.19155374723306,10.18559091529
"Kerguelen","KER3","CAT2-S3-1C",101,118.9,119.9,119.4,-7.2485934323631,7.11e-05,6.99216041801551,172.9016042,7.98298689864519,5.98655853481057,9.97941526247981
"Kerguelen","KER3","CAT2-S3-1D",110,122.4,123.5,123,-8.24632289830865,2.62e-05,7.03812140555832,174.8480049,7.46940470598342,5.4703425673922,9.46846684457463
"Kerguelen","KER3","CAT2-S3-1D",115,128.9,130,129.5,-7.73684819291452,4.36e-05,6.95852263578876,154.6654133,7.73165729572131,5.73467275376117,9.72864183768145
"Kerguelen","KER3","CAT2-S3-1D",117,131.4,132.4,131.9,-7.66139159053781,4.71e-05,7.22247937784267,174.586181,7.77049865364664,5.77369187973915,9.76730542755412
"Kerguelen","KER3","CAT2-S3-1D",121,136.5,137.6,137.1,-7.83848474955843,3.94e-05,7.55225777239036,337.9212261,7.67933978140764,5.68206276871438,9.67661679410091
"Kerguelen","KER3","CAT2-S3-1D",124,140.5,141.6,141,-8.34433712469641,2.38e-05,7.06708406297245,180.4046522,7.41895178961839,5.41931491146621,9.41858866777057
"Kerguelen","KER3","CAT2-S3-1D",130,148.3,149.4,148.9,-7.38072008819692,6.23e-05,7.41988028238864,291.1418983,7.91497457673998,5.9185344279788,9.91141472550116
"Kerguelen","KER3","CAT2-S3-1D",133,152.3,153.4,152.8,-6.98543469808994,9.25e-05,7.65077668257399,340.7213971,8.1184481076995,6.12173651475342,10.1151597006456
"Kerguelen","KER3","CAT2-S3-1D",134,153.6,154.8,154.2,-6.82605271885695,0.000108513,8.07602461612282,502.3374959,8.20049013327773,6.20340850287719,10.1975717636783
"Kerguelen","KER3","CAT2-S3-1D",136,156.4,157.6,157,-7.04046186899273,8.76e-05,7.78728303527818,414.9100703,8.09012281907886,6.09350421322506,10.0867414249327
"Kerguelen","KER3","CAT2-S3-1D",139,160.4,161.5,160.9,-7.81981248488682,4.02e-05,6.9917142211123,113.2958792,7.68895134742762,5.69173262903825,9.68617006581698
"Kerguelen","KER3","CAT2-S3-1D",141,163,164.1,163.5,-7.82837034733641,3.98e-05,6.86981830306151,124.7737991,7.68454617958265,5.68730099868702,9.68179136047828
"Kerguelen","KER3","CAT2-S3-1D",142,164.3,165.5,164.9,-8.37504713677488,2.31e-05,7.03061900382887,132.3029265,7.40314378165805,5.40331522256153,9.40297234075458
"Kerguelen","KER3","CAT2-S3-1E",150,166.5,167.5,167,-8.49399437691372,2.05e-05,7.18569633516042,172.8396376,7.34191557653165,5.34129238493691,9.3425387681264
"Kerguelen","KER3","CAT2-S3-1E",152,169.1,170.2,169.6,-8.23409912779931,2.65e-05,7.60000819180386,311.4876706,7.47569690349292,5.47670248649219,9.47469132049365
"Kerguelen","KER3","CAT2-S3-1E",156,174.6,175.7,175.1,-8.5809640073149,1.88e-05,7.15741324853693,180.1096332,7.29714787646769,5.29589120164312,9.29840455129227
"Kerguelen","KER3","CAT2-S3-1E",158,177.2,178.3,177.8,-8.79678144073791,1.51e-05,7.07838929932969,176.0231241,7.18605564710572,5.18303577605662,9.18907551815482
"Kerguelen","KER3","CAT2-S3-1E",159,178.6,179.6,179.1,-8.72745753690528,1.62e-05,6.86327749436364,116.9217153,7.22174019261575,5.21931637288632,9.22416401234518
"Kerguelen","KER3","CAT2-S3-1E",163,183.8,184.9,184.3,-6.52705086911545,0.000146332,10.2542919907256,4728.7047,8.35440162015021,6.35622216692964,10.3525810733708
"Kerguelen","KER3","CAT2-S3-1E",165,186.4,187.5,187,-9.0739231473732,1.15e-05,6.90536604994621,124.0107903,7.04339668971301,5.03771386845319,9.04907951097283
"Kerguelen","KER3","CAT2-S3-1E",168,190.4,191.5,190.9,-6.05172678459355,0.000235379,9.81814296386457,3496.701486,8.59907514527493,6.5980686616057,10.6000816289442
"Kerguelen","KER3","CAT2-S3-1E",171,194,195,194.5,-5.7304035931192,0.000324577,7.85664404044943,417.4053604,8.76447656405941,6.76080904368359,10.7681440844352
"Kerguelen","KER3","CAT2-S3-1E",174,197.7,198.6,198.1,-3.45419453732357,0.003161276,10.5554670465395,6653.241684,9.93615734300103,7.89660262707508,11.975712058927
"Kerguelen","KER3","CAT2-S3-1E",177,201.6,202.7,202.1,-7.63312404384317,4.84e-05,8.55369578440254,890.4292688,7.78504940022487,5.78830058184418,9.78179821860555
"Kerguelen","KER3","CAT2-S3-1E",181,207,208.1,207.5,-9.98469760796167,4.61e-06,7.65517571216539,327.664731,6.57457466885982,4.55700614702265,8.59214319069699
"South Georgia","POB4","POB_1A",15,30,31.3,30.7,-8.08460914832728,3.08e-05,9.59198643488951,2801.513185,7.55264701277475,5.55440976129759,9.55088426425191
"South Georgia","POB4","POB_1A",16,31.5,32.9,32.2,-7.51645653718555,5.44e-05,8.17310690873557,606.1221898,7.84510411037098,5.84854465147577,9.8416635692662
"South Georgia","POB4","POB_1A",19,36.1,37.4,36.8,-7.63263877083661,4.84e-05,8.20288398403177,731.6866913,7.78529919496708,5.78855133039676,9.7820470595374
"South Georgia","POB4","POB_1A",21,39.2,40.6,39.9,-6.76979408742073,0.000114793,8.55152365001153,853.1197494,8.22944931738059,6.23220133058188,10.2266973041793
"South Georgia","POB4","POB_1A",24,43.8,45.1,44.4,-6.59077390397536,0.000137298,8.87105938482569,1113.55447,8.32160012727719,6.32369876491162,10.3195014896428
"South Georgia","POB4","POB_1A",28,49.9,51.2,50.5,-7.75639904469371,4.28e-05,8.15184076795955,548.5435634,7.7215934761511,5.72455740166714,9.71862955063505
"South Georgia","POB4","POB_1E",170,200.2,201.3,200.7,-8.80981410656486,1.49e-05,7.78337301690157,469.7919771,7.17934706996122,5.17621200881808,9.18248213110436
"South Georgia","POB4","POB_1E",174,205.3,206.4,205.9,-9.2449318167458,9.66e-06,7.57687774950513,218.6404276,6.95536981431416,4.94782086330281,8.96291876532551
"South Georgia","POB4","POB_1E",177,209.4,210.5,209.9,-8.43745360660287,2.17e-05,7.5489435468377,293.3554931,7.37101999188889,5.37078486847326,9.37125511530451
"South Georgia","POB4","POB_1E",183,217.6,218.5,218.1,-7.63874556203682,4.81e-05,7.89949097518038,365.6885155,7.78215571838171,5.78539574966066,9.77891568710277
"South Georgia","POB4","POB_1F",196,225.1,226.2,225.7,-8.93826190506477,1.31e-05,7.40010841447268,330.2882839,7.11322844337175,5.10890506778274,9.11755181896077
"South Georgia","POB4","POB_1F",202,232.5,233.6,233,-9.39306200879148,8.33e-06,7.72992355279117,335.7237129,6.87911965690488,4.86981713417192,8.88842217963783
"South Georgia","POB4","POB_1F",208,240,241.2,240.6,-8.83682011045067,1.45e-05,7.73091224602177,409.3428005,7.16544570374512,5.16206879208291,9.16882261540733
"South Georgia","POB4","POB_1F",214,247.5,248.6,248.1,-9.12564083189004,1.09e-05,7.62207460058684,337.5356297,7.01677496236092,5.01054569177608,9.02300423294576
"South Georgia","POB4","POB_1F",219,253.8,254.8,254.3,-8.68012397041826,1.7e-05,7.15862387378295,207.391896,7.24610519103731,5.24407221416295,9.24813816791168
"South Georgia","POB4","POB_1G",233,261.6,262.8,262.2,-9.5020304658255,7.47e-06,7.57569890810719,411.2563028,6.82302803988376,4.81235449681278,8.83370158295473
"South Georgia","POB4","POB_1G",239,269.2,270.5,269.8,-9.92778024510517,4.88e-06,7.35756534818995,284.2386816,6.60387293558853,4.58718699466745,8.62055887650961
"South Georgia","POB4","POB_1G",247,279.3,280.2,279.8,-8.41561632473896,2.21e-05,7.66789109528974,402.3628632,7.38226075352241,5.3821704931989,9.38235101384593
"South Georgia","POB4","POB_1G",255,289.2,290.5,289.9,-8.96787273922315,1.27e-05,9.66337639206147,3119.917143,7.09798623829245,5.09337527878893,9.10259719779598
"South Georgia","POB4","POB_1G",256,290.6,291.8,291.2,-8.59432264673324,1.85e-05,8.74750343731602,1363.364667,7.29027150410663,5.28891360113713,9.29162940707613
"South Georgia","POB4","POB_1G",261,297.2,298.5,297.9,-6.48771950711432,0.000152202,9.32016506295912,2302.774585,8.37464747619272,6.3762844581126,10.3730104942728
"South Georgia","POB4","POB_1H",270,299.6,300.9,300.3,-6.86531858878488,0.000104335,9.43350052475259,2575.692802,8.18027798934225,6.18330141931553,10.177254559369
"South Georgia","POB4","POB_1H",272,302.4,303.6,303,-7.00720993527671,9.05e-05,9.71533942419385,3265.524578,8.10723928362262,6.11056662154254,10.1039119457027
"South Georgia","POB4","POB_1H",274,305.3,306.6,305.9,-6.53368177166514,0.000145364,9.0176798725949,1579.857353,8.35098835674862,6.35283895464625,10.349137758851
"South Georgia","POB4","POB_1H",276,308.2,309.4,308.8,-6.29666992648138,0.000184243,9.5972912566793,2659.160526,8.47299042974636,6.47360640434136,10.4723744551514
"South Georgia","POB4","POB_1H",277,309.6,310.8,310.2,-6.7219091076129,0.000120424,8.97187388328532,1536.009196,8.2540981563341,6.25669388760506,10.2515024250631
"South Georgia","POB4","POB_1H",278,311,312.3,311.6,-6.76959113414502,0.000114816,9.58447950256128,2762.675752,8.22955378777252,6.23230516709311,10.2268024084519
"South Georgia","POB4","POB_1H",280,313.9,315,314.5,-7.05094804992492,8.67e-05,8.88098238857682,1465.73057,8.08472504745878,6.08812213659344,10.0813279583241
"South Georgia","POB4","POB_1H",283,317.9,319.1,318.5,-6.57756774982806,0.000139123,9.31816361044126,2270.826415,8.32839800769978,6.33044097536966,10.3263550400299
