"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","Zn_fit_OLS","Zn_lwr_OLS","Zn_upr_OLS","Zn_fit_WLS","Zn_lwr_WLS","Zn_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-8.14366948836145,-10.4447723837868,3.4990720781595,-1.46277305012651,3.8297866250494,2.53183832373144,5.12773492636736,3.84353014821625,2.65001859880054,5.03704169763196
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,-8.60984590541279,-10.9140889638815,2.87487884117517,-0.8301299944925,3.70941719753685,2.41166275804553,5.00717163702817,3.71241666600421,2.47088669314438,4.95394663886404
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,-9.00066308517237,-11.3059112955859,2.95166894721385,-1.14668363699756,3.6085059577807,2.31080321760191,4.9062086979595,3.60249818992454,2.32061485037197,4.88438152947711
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,-12.3984445381776,-14.7010296311717,3.54007925457092,-2.45138529717883,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,-9.37639495630627,-11.6789800493003,3.1228272136505,-1.25123124967581,3.51148983132653,2.21374147988786,4.80923818276521,3.49682250106407,2.17606779438284,4.81757720774529
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,-9.2637411487033,-11.5663262416973,3.02993923063869,-2.88456427799963,3.5405776912703,2.24285282288952,4.83830255965109,3.5285067142911,2.21941399421724,4.83759943436496
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,-10.1596709579285,-12.4622560509226,3.23900503216466,-0.947454819171577,3.30924347039745,2.01109967063866,4.60738727015624,3.27652383225666,1.87452418195641,4.67852348255692
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-8.81634748554309,-11.1208833771942,3.37529660788889,-0.922388877828061,3.65609730388384,2.3583827771792,4.95381183058848,3.65433749197729,2.39149589275434,4.91717909120025
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-12.3984445381776,-14.7010296311717,3.28397878418057,-0.784698032301155,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-9.41368129599421,-11.7162663889883,2.9098237393006,-0.849478179556521,3.50186228433335,2.2041043104031,4.79962025826359,3.48633560885629,2.16171965188871,4.81095156582387
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-12.3984445381776,-14.7010296311717,3.37881315029192,-0.889884800048896,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-9.94015153690772,-12.2427366299018,2.7232734649831,-2.46171521804012,3.36592464531251,2.06793260707208,4.66391668355294,3.33826431214894,1.95906095466005,4.71746766963782
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-9.0960032667241,-11.3995967796632,3.08871184642079,-0.890519908079524,3.58388857549245,2.28618310840203,4.88159404258286,3.57568348471693,2.28394346534148,4.86742350409237
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-12.3984445381776,-14.7010296311717,2.88742139930985,-1.90407836502414,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-12.3984445381776,-14.7010296311717,3.30125500615249,-0.69959921222339,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-8.76036089456137,-11.06184984561,3.00023784620038,-1.33490520392733,3.6705533631317,2.37283080391455,4.96827592234885,3.67008388461385,2.4130226408462,4.92714512838151
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-8.96830441141015,-11.2739085644997,3.46713565612529,-0.649454514203668,3.61686115313885,2.31915797097524,4.91456433530246,3.61159916166302,2.33306012451397,4.89013819881207
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-12.3984445381776,-14.7010296311717,2.58407201230154,-1.0541143285557,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-10.7902194821687,-13.0928045751628,3.10187369402627,-1.24093222652586,3.14643222103878,1.84767534361415,4.44518909846342,3.09918021363323,1.63159615900674,4.56676426825972
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-9.48609387356269,-11.7886789665567,3.23708143133069,-0.819967347353311,3.48316494103624,2.18538565107469,4.78094423099778,3.46596935939861,2.13385271396609,4.79808600483114
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-12.3984445381776,-14.7010296311717,3.13401237158342,-1.82783275672611,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-12.3984445381776,-14.7010296311717,3.29514222257321,-1.09491658420443,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-8.13129153920801,-10.4345158836196,3.44252992167188,-0.649816637799449,3.83298268259089,2.53502727427453,5.13093809090724,3.84701148265701,2.65477307147812,5.0392498938359
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-9.58721802323243,-11.8898031162265,3.85287535714911,-1.12335850927037,3.45705410497028,2.15923924063579,4.75486896930478,3.43752789622294,2.09493245323371,4.78012333921217
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-12.3984445381776,-14.7010296311717,3.98221238143133,-0.785476733648751,2.73117927768406,1.42967144499389,4.03268711037423,2.64686220791406,1.01141342159317,4.28231099423495
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-10.031320924046,-12.3339060170401,2.56318952524941,-1.97432200945619,3.34238418608911,2.04433298858136,4.64043538359687,3.31262265508175,1.92395409338505,4.70129121677846
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-10.2774539935849,-12.580039086579,3.40648890117947,-0.741256437799125,3.27883121431997,1.98059285184617,4.57706957679377,3.24339700862176,1.82915800182204,4.65763601542148
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-9.75334489410641,-12.0559299871005,3.27553372469413,-1.59100122741638,3.4141591930654,2.11627119823177,4.71204718789903,3.39080422738734,2.03098412967297,4.75062432510171
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-8.48119400797582,-10.785376857693,3.71191056155902,-1.88751189740978,3.74263585613147,2.44484228265491,5.04042942960803,3.74860038883781,2.52033534922755,4.97686542844808
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-8.67614203068845,-10.9764320944557,4.16844604046188,-0.520105754620025,3.69229915734038,2.39456060752254,4.99003770715823,3.69377068666224,2.445401361386,4.94214001193847
