"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Marion Island","PB1","PB1.1B",68,85.6,86.6,86.1,86.1,0.5,2063.4,2740.2,2478.5,2462.5,338,0.02005,0.00287,68.03,31.97,1.6,0,0,0,0,2.3359,1.669,0.9012,0.2881,0.2203,0.0058,0.0052,90.8
"Marion Island","PB1","PB1.1C",75,86.5,87.6,87,87,0.5,2167.4,2752.5,2520.1,2509.2,293,0.01843,0.00227,66.42,33.58,1.68,0,0,0,0,4.1793,3.3184,1.2773,0.4289,0.362,0.0079,0.0076,96.7
"Marion Island","PB1","PB1.1C",76,87.8,88.9,88.4,88.4,0.5,2307.9,2782.1,2602.3,2581.8,237,0.01985,0.00195,61.1,38.9,1.95,0,0,0,0,3.2835,2.6235,1.4881,0.5789,0.4915,0.0115,0.0109,94.7
"Marion Island","PB1","PB1.1C",77,89.2,90.3,89.7,89.7,0.5,2379,2830.8,2712.6,2649.3,226,0.03193,0.00292,60.87,39.13,1.96,0,0,0,0,3.454,2.7977,1.7941,0.702,0.6037,0.0224,0.0213,95.1
"Marion Island","PB1","PB1.1C",78,90.5,91.6,91.1,91.1,0.5,2430.6,2863.3,2744.2,2691.2,216,0.04297,0.00371,59.1,40.9,2.04,0,0,0,0,3.0357,2.4817,1.502,0.6143,0.5329,0.0264,0.0252,95.4
"Marion Island","PB1","PB1.1C",79,91.8,92.9,92.4,92.4,0.5,2461.8,2899.8,2762.4,2722.3,219,0.04297,0.00371,59.37,40.63,2.03,0,0,0,0,3.5409,2.9407,1.4424,0.586,0.516,0.0252,0.0243,96.7
"Marion Island","PB1","PB1.1C",80,93.2,94.3,93.7,93.7,0.5,2483.1,2950.8,2782.3,2753.5,234,0.03985,0.00362,59.57,40.43,2.02,0,0,0,0,2.6445,2.2081,1.5391,0.6222,0.5507,0.0248,0.0242,97.6
"Marion Island","PB1","PB1.1C",81,94.5,95.6,95.1,95.1,0.5,2508.3,3011.9,2805.9,2787.1,252,0.04233,0.00407,54.3,45.7,2.29,0,0,0,0,3.2835,2.7877,1.5246,0.6968,0.6264,0.0295,0.0294,99.5
"Marion Island","PB1","PB1.1C",82,95.9,97,96.4,96.4,0.5,2549.5,3040.3,2835.4,2818.7,245,0.03931,0.00365,53.61,46.39,2.32,0,0,0,0,3.2835,2.8205,1.2695,0.5889,0.5353,0.0232,0.0232,100.2
"Marion Island","PB1","PB1.1C",83,97.2,98.3,97.8,97.8,0.5,2582,3072.2,2867.9,2852.7,245,0.04232,0.00387,56.13,43.87,2.19,0,0,0,0,2.7977,2.4228,1.4003,0.6144,0.5628,0.026,0.0262,100.8
"Marion Island","PB1","PB1.1C",84,98.5,99.6,99.1,99.1,0.5,2608.4,3115.6,2897.4,2884.4,254,0.04212,0.00394,53.72,46.28,2.31,0,0,0,0,3.808,3.3587,1.1034,0.5106,0.4759,0.0215,0.0221,102.5
"Marion Island","PB1","PB1.1C",85,99.9,101,100.4,100.4,0.5,2638.5,3155.4,2927.4,2916.2,258,0.03868,0.00364,56.29,43.71,2.19,0,0,0,0,2.4955,2.206,1.4541,0.6356,0.5937,0.0246,0.0253,102.8
"Marion Island","PB1","PB1.1C",86,101.2,102.3,101.8,101.8,0.5,2686.5,3170.1,2963.5,2950.8,242,0.04165,0.00364,50.66,49.34,2.47,0,0,0,0,2.4955,2.231,1.3525,0.6673,0.6299,0.0278,0.0287,103.1
"Marion Island","PB1","PB1.1C",87,102.6,103.7,103.1,103.1,0.5,2714,3197.8,2994.8,2982.9,242,0.04165,0.0036,55.09,44.91,2.25,0,0,0,0,3.5409,3.224,1.1229,0.5043,0.4844,0.021,0.022,104.7
"Marion Island","PB1","PB1.1C",88,103.9,105,104.4,104.4,0.5,2739.2,3227.7,3025.5,3015,244,0.04041,0.00349,44.47,55.53,2.78,0,0,0,0,3.3682,3.0971,1.9189,1.0655,1.033,0.0431,0.0455,105.6
"Marion Island","PB1","PB1.1C",89,105.2,106.2,105.7,105.7,0.5,2781.1,3252.5,3054.9,3046.9,236,0.03922,0.00322,51.24,48.76,2.44,0,0,0,0,3.6287,3.3855,1.4207,0.6927,0.6809,0.0272,0.0289,106.5
"Marion Island","PB1","PB1.1C",90,106.5,107.7,107.1,107.1,0.6,2846,3268.1,3088.5,3081.1,211,0.04073,0.00302,46.13,53.87,2.69,0,0,0,0,3.582,3.3635,1.4357,0.7733,0.7648,0.0315,0.0335,106.3
"Marion Island","PB1","PB1.1C",91,107.9,109.2,108.6,108.6,0.6,2894.6,3287.6,3125.5,3117.6,197,0.04303,0.00297,49.37,50.63,2.53,0,0,0,0,4.2887,4.0785,1.1879,0.6014,0.602,0.0259,0.0277,107
