Kerguelen,KER1,CAT1.1A,CAT1.1A_14,A,14,2.4,2.4,1.4,0.095,19.5,20.9,20.2,19.5,20.9,20.2,19.5,20.9,20.2,20.2,0.7,169,468,340,336,150,0.03125,0.01499,1.1476,7.8218,2.213,6.6742,1.0654,84.04,15.96,0.8,0.022,87.5,4.37,50.58,4.38,6.199,1.1623,1.0766,0.357,0.0848,0.0112,0.008,71.7
Kerguelen,KER1,CAT1.1A,CAT1.1A_15,A,15,2.4,2.4,1.4,0.095,21,22.4,21.7,21,22.4,21.7,21,22.4,21.7,21.7,0.7,264,479,386,384,108,0.03191,0.00996,1.1476,7.4737,2.5603,6.3261,1.4127,77.67,22.33,1.12,0.063,75,3.75,43.35,3.75,6.3302,1.2534,0.9993,0.4045,0.1003,0.0129,0.0072,56
Kerguelen,KER1,CAT1.1A,CAT1.1A_16,A,16,2.5,2.5,1.4,0.095,22.5,23.9,23.2,22.5,23.9,23.2,22.5,23.9,23.2,23.2,0.7,352,493,435,431,71,0.03125,0.00605,1.1476,7.4101,2.6271,6.2625,1.4795,76.38,23.62,1.18,0.109,65.29,3.26,37.74,3.27,6.7321,1.4104,0.9302,0.3902,0.1013,0.0122,0.0055,45.3
Kerguelen,KER1,CAT1.1A,CAT1.1A_17,A,17,2.4,2.2,1.5,0.095,24,25.5,24.7,24,25.5,24.7,24,25.5,24.7,24.7,0.725,419,522,483,479,52,0.04571,0.00626,1.1476,7.1281,3.0406,5.9805,1.893,68.35,31.65,1.58,0.34,32.27,1.61,18.65,1.62,6.0213,1.3006,0.9932,0.505,0.1343,0.0231,0.0093,40.3
Kerguelen,KER1,CAT1.1A,CAT1.1A_18,A,18,2.2,2.5,1.4,0.095,25.6,27,26.3,25.6,27,26.3,25.6,27,26.3,26.3,0.7,486,538,515,514,26,0.05,0.00386,1.1476,7.724,2.6813,6.5764,1.5337,76.68,23.32,1.17,0.301,45.77,2.29,26.45,2.29,6.0692,1.3777,1.0836,0.4418,0.1224,0.0221,0.0078,35.4
Kerguelen,KER1,CAT1.1A,CAT1.1A_19,A,19,2.5,2.3,1.4,0.095,27.1,28.5,27.8,27.1,28.5,27.8,27.1,28.5,27.8,27.8,0.7,518,573,543,544,28,0.05172,0.00392,1.1476,8.3336,2.5601,7.186,1.4125,80.34,19.66,0.98,0.054,75.78,3.79,43.81,3.79,6.3302,1.5066,1.1352,0.4044,0.1165,0.0209,0.0076,36.4
Kerguelen,KER1,CAT1.1A,CAT1.1A_20,A,20,2.5,2.3,1.4,0.095,28.6,30,29.3,28.6,30,29.3,28.6,30,29.3,29.3,0.7,525,645,568,573,60,0.05172,0.00665,1.1476,7.7694,2.3506,6.6218,1.203,81.83,18.17,0.91,0.04,81.98,4.1,47.39,4.1,6.3302,1.5699,1.0461,0.3713,0.1107,0.0192,0.0082,42.7
Kerguelen,KER1,CAT1.1A,CAT1.1A_21,A,21,2.4,2.5,1.4,0.095,30.1,31.5,30.8,30.1,31.5,30.8,30.1,31.5,30.8,30.8,0.7,539,688,596,602,75,0.056,0.0082,1.1476,8.5629,2.5182,7.4153,1.3706,81.52,18.48,0.92,0.111,64.31,3.22,37.17,3.22,6.4628,1.6706,1.1474,0.3896,0.1202,0.0218,0.0099,45.5
Kerguelen,KER1,CAT1.1A,CAT1.1A_22,A,22,2.2,2.3,1.4,0.095,31.5,32.9,32.2,31.5,32.9,32.2,31.5,32.9,32.2,32.2,0.7,548,715,626,627,84,0.05357,0.0083,1.1476,7.4545,2.9873,6.3069,1.8397,70.83,29.17,1.46,0.416,27.53,1.38,15.91,1.38,5.5637,1.4744,1.1336,0.5369,0.1691,0.0288,0.0135,47
Kerguelen,KER1,CAT1.1A,CAT1.1A_23,A,23,2.2,2.3,1.4,0.095,33,34.4,33.7,33,34.4,33.7,33,34.4,33.7,33.7,0.675,557,763,653,655,103,0.05357,0.0095,1.1476,7.9233,4.0075,6.7757,2.8599,57.79,42.21,2.11,0.854,14.51,0.73,8.39,0.73,5.365,1.4754,1.2629,0.747,0.2428,0.04,0.0201,50.2
