"Element","Model","n_test_median","n_success","Failure_rate_pct","R2_single","RMSE_single","RMSE_ppm_single","R2_mean","R2_sd","R2_q05","R2_q25","R2_q75","R2_q95","RMSE_mean","RMSE_sd","RMSE_ppm_mean","RMSE_ppm_sd","R2_boot_s","RMSE_boot_s","Robustness_boot","Bootstrap_Unstable"
"Sr","PLS_LOO",121,500,0,0.619560933054721,0.381668523678026,58.9814163562467,0.597449566356917,0.0564945275041404,0.500181484867475,0.563890901215506,0.637370500994758,0.685295831893533,0.390103842033651,0.0283752209728333,60.7255645941753,7.2080718780612,0.136038852202702,1,0.0816233113216209,FALSE
"Sr","PLS_kfold",121,500,0,0.619560933054721,0.381668523678026,58.9814163562467,0.597449566356917,0.0564945275041404,0.500181484867475,0.563890901215506,0.637370500994758,0.685295831893533,0.390103842033651,0.0283752209728333,60.7255645941753,7.2080718780612,0.136038852202702,1,0.0816233113216209,FALSE
"Sr","OLS",120,2000,0,0.605940022011523,0.388440903375382,59.7735590156883,0.591142431208165,0.0557300424291053,0.489657473355962,0.556996746339724,0.630605382937026,0.672037080636319,0.393455313385731,0.0276937441982073,60.5558927501267,5.26449830625146,0,0.987740138309167,0.00490394467633317,FALSE
"Sr","WLS",120,2000,0,0.605899324973479,0.388460961218056,59.3656290640811,0.591142431208165,0.0557300424291053,0.489657473355962,0.556996746339724,0.630605382937026,0.672037080636319,0.393455313385731,0.0276937441982073,60.5558927501267,5.26449830625146,0,0.987740138309167,0.00490394467633317,FALSE
"Sr","OLS_weighted",120,2000,0,0.588442221601662,0.396971381054182,68.563181097856,0.591142431208165,0.0557300424291053,0.489657473355962,0.556996746339724,0.630605382937026,0.672037080636319,0.393455313385731,0.0276937441982073,60.5558927501267,5.26449830625146,0,0.987740138309167,0.00490394467633317,FALSE
"Sr","WLS_weighted",120,2000,0,0.605197017350042,0.38880693583257,61.616501941787,0.591142431208165,0.0557300424291053,0.489657473355962,0.556996746339724,0.630605382937026,0.672037080636319,0.393455313385731,0.0276937441982073,60.5558927501267,5.26449830625146,0,0.987740138309167,0.00490394467633317,FALSE
"Ti","PLS_LOO",121,500,0,0.756227776634957,0.607666319730726,1919.97750377683,0.739341401560762,0.0388336597273309,0.669031577105258,0.714378982829773,0.7702391233063,0.795851706492855,0.624040764610541,0.0402572127710715,2159.18362979419,628.698066665003,0.948047334363506,0.650092368378499,0.708791453266704,FALSE
"Ti","PLS_kfold",121,500,0,0.756227776634957,0.607666319730726,1919.97750377683,0.739341401560762,0.0388336597273309,0.669031577105258,0.714378982829773,0.7702391233063,0.795851706492855,0.624040764610541,0.0402572127710715,2159.18362979419,628.698066665003,0.948047334363506,0.650092368378499,0.708791453266704,FALSE
"Ti","Bayes",120,2000,0,0.757847910218222,0.605643649083077,2132.72586760655,0.740669782493147,0.0400655385419121,0.670524969765554,0.715409294841138,0.769916507553549,0.799989588472668,0.622162917765223,0.0396698157487076,2377.52692907741,753.230525650054,1,1,0.6,FALSE
"Ti","RF",118,25,0,0.739729829501074,0.627892441456487,1631.97472441788,0.715100720422703,0.0313751950533959,0.666113658459323,0.691620353924781,0.739681328568367,0.75265451829803,0.652478669145326,0.0374204421148597,1753.52425079516,175.14154897496,0,0,0.4,FALSE
