"depth","SH20_age","surface","kcps","cps","cps_acf_sum","MSE","Si","S","Cl","K","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","Br","Rb","Sr","Zr","Ba","Mo_inc","Mo_coh","coh_inc","sum","scatter_sum"
399.3,5952.8,7.53,22229,61051,60275,1.24,0,0.104520945665699,0.0364993778515139,0.0580671920364994,0.522604728328494,0.111157196184156,0.0381584404811282,0,0.0812940688510991,24.5408544172543,0.180837826627955,0.268768145997511,0.179178763998341,0,2.860223973455,0,0.774782248029863,1.16963915387806,0,59.5537121526338,9.51970136872667,0.15985068,100,69.0734135213604
399.4,5954.4,7.52,22034,62018,61219,1.35,0,0.14537970237998,0,0.0277691566343782,0.478609581992519,0.106176187131446,0.0147013182182002,0.0588052728728009,0.0849409497051569,26.285956974142,0.343030758424672,0.37079991505905,0.359365556444895,0.124144464953691,2.55149545075875,0,0.713830673483722,1.2185759323086,0.026135676832356,57.7925153955471,9.29776703311063,0.160881854,100,67.0902824286578
399.5,5956.1,7.51,21770,59573,58838,1.4,0.0526870389884088,0.113871987491077,0.0373908018627418,0.0543866208912608,0.506475407049866,0.127468642713892,0,0.0220945647370747,0.0441891294741494,23.3998436384649,0.362010945307454,0.2685339406506,0.266834358747748,0.0611849485026683,2.55277201808355,0,0.70702607158639,1.02994663312825,0,60.5510044529046,9.84227879941534,0.162545261,100,70.3932832523199
399.6,5957.5,7.5,22725,67393,66439,1.34,0.034618221225485,0.132452324688812,0.0240822408525113,0.0587004620779964,0.498201357636328,0.135462604795376,0.0692364424509701,0.0135462604795376,0.100844383569891,30.9050407140384,0.237812128418549,0.298017730549828,0.255873809057933,0.0933186833034814,2.28781288098858,0.0963289634100453,0.377790153373771,0.976835894579991,0,54.6410993542949,8.76292539020756,0.160372421,100,63.4040247445025
399.7,5959.4,7.51,23028,69877,68803,1.37,0.0479630248681017,0.0697643998081479,0.0247082249320524,0.0203479499440431,0.46218914872898,0.123541124660262,0,0.0232547999360493,0.0552301498481171,33.0741392090461,0.204932924436434,0.284871299216604,0.308126099152653,0.103193174716219,1.66126477043152,0.235454849352499,0.777582372861649,0.970887897330058,0,53.2505850035609,8.3019635771696,0.155903707,100,61.5525485807305
399.8,5961.5,7.51,22952,67733,66889,1.34,0.0119601130230681,0.112126059591263,0.0254152401740196,0.0179401695346021,0.411128885167965,0.100165946568195,0.0164451554067186,0.0149501412788351,0.0358803390692042,29.8599171762173,0.348338291796857,0.303487867960352,0.294517783193051,0.242192288717128,2.1214250474667,0.0149501412788351,0.744517035685987,1.3051473336423,0,55.043430160415,8.97606482381259,0.16307241,100,64.0194949842276
399.9,5963.1,7.52,23075,65663,64957,1.39,0.0415659590190434,0.144711116584818,0.0461843989100482,0.0631186785103992,0.47262034884616,0.0939082777837646,0.0138553196730145,0.0153947996366827,0.0615791985467309,27.6706128669735,0.307895992733655,0.398725310590083,0.323290792370337,0.20475083516788,2.0428899117878,0,0.678910663977708,1.2131102113706,0,57.0069430546361,9.1999322628816,0.161382663,100,66.2068753175177
400,5964.4,7.52,22977,65074,64143,1.38,0.0233852485851925,0.110690176636578,0.0202672154405001,0.0670377126108851,0.498885303150773,0.109131160064231,0,0.018708198868154,0.0997770606301545,28.6594016494395,0.275945933305271,0.260355767581809,0.257237734437117,0.0935409943407698,2.10623138923967,0.0685967291832312,0.497326286578426,0.77639025302839,0,56.9789376861076,9.07815350077171,0.159324724,100,66.0570911868793
400.1,5966.3,7.51,22809,64287,63603,1.24,0,0.0911906671068975,0.0141502759303806,0,0.407213496218732,0.0566011037215226,0,0.0628901152461362,0.0911906671068975,27.3634891435939,0.323884093517601,0.402496737575272,0.276716507082999,0,1.88984796314639,0.128924736254579,0.682357750420578,1.01253085546279,0,57.9217961416914,9.27471974592394,0.160124864,100,67.1965158876154
400.2,5968.2,7.5,22651,63317,62208,1.43,0.0225051440329218,0.102880658436214,0.0353652263374486,0.0112525720164609,0.437242798353909,0.101273148148148,0,0.0176826131687243,0.135030864197531,27.6539994855967,0.417952674897119,0.218621399176955,0.321502057613169,0,2.03510802469136,0.072337962962963,0.614068930041152,1.05291923868313,0,57.8253600823045,8.92489711934156,0.154342266,100,66.7502572016461
400.3,5969.9,7.48,22392,62966,62211,1.44,0,0.122164890453457,0,0.022504058767742,0.377746700744241,0.0514378486119818,0.0128594621529954,0.0128594621529954,0.0675121763032261,28.1718667116748,0.178425037372812,0.310234524441015,0.315056822748389,0.208966259986176,2.03018758740416,0.0803716384562216,0.55134943980968,1.36149555544839,0.00803716384562216,56.7182652585556,9.39865940107055,0.165707808,100,66.1169246596261
400.4,5971.6,7.46,22204,64490,63388,1.44,0.015775856629015,0.112008582066006,0.0268189562693254,0.0236637849435224,0.351801602827033,0.0883447971224837,0,0,0.0299741275951284,30.0041017227235,0.170379251593362,0.299741275951284,0.323405060894807,0.250836120401338,1.91045623777371,0.0804568688079763,0.690982520350855,1.28573231526472,0,55.428472266044,8.90704865274184,0.160694464,100,64.3355209187859
400.5,5973.4,7.45,21629,63195,62203,1.37,0,0.112534765204251,0,0.0160763950291787,0.311882063566066,0.0707361381283861,0,0.0289375110525216,0.0128611160233429,29.9647926948861,0.244361204443516,0.348857772133177,0.273298715496037,0.146295194765526,2.0609938427407,0,0.938861469704034,1.21859074321174,0,55.1307814735624,9.12013890005305,0.165427347,100,64.2509203736154
400.6,5974.9,7.44,21459,63855,62873,1.4,0.0190860941898748,0.16064129276478,0.0429437119272184,0.0508962511729995,0.40557950153484,0.108154533742624,0.0206766020390311,0,0.0429437119272184,33.0364385348242,0.29583445994306,0.265614810809091,0.182908402652967,0.29583445994306,1.79727386954655,0.0174955863407186,0.478742862596027,1.10222193946527,0,53.008445596679,8.66826777790148,0.163526164,100,61.6767133745805
400.7,5976.5,7.43,21362,61979,60992,1.36,0.049186778593914,0.0836175236096537,0.024593389296957,0.0459076600209864,0.32791185729276,0.14264165792235,0.0295120671563484,0.0639428121720882,0.0426285414480588,30.0367261280168,0.144281217208814,0.355784365162644,0.159037250786988,0.209863588667366,2.02485571878279,0.113129590766002,0.665661070304302,1.3132869884575,0,55.1055876180483,9.06184417628542,0.164445106,100,64.1674317943337
400.8,5978.2,7.44,20884,57731,56879,1.4,0.0298880078763691,0.0949383779602314,0,0.0140649448829972,0.339316795302308,0.10197085040173,0.0105487086622479,0.0263717716556198,0.0914221417394821,23.3776965136518,0.182844283478964,0.421948346489917,0.316461259867438,0.404367165386171,2.1501784489882,0.30591255120519,0.761265141792226,1.39770389774785,0,60.0696214771708,9.90347931574043,0.164866684,100,69.9731007929113
400.9,5980,7.46,21279,61465,60602,1.5,0,0.0693046434111085,0.0445529850499983,0.047853206164813,0.334972443153691,0.0676545328537012,0.0132008844592588,0.0412527639351837,0.0643543117388865,27.8604666512656,0.244216362496287,0.330022111481469,0.265667799742583,0.325071779809247,2.04283687007029,0.0643543117388865,0.627042011814792,1.15837761129996,0,57.1284776079997,9.27032111151447,0.162271454,100,66.3987987195142
401,5981.6,7.48,21532,61336,60680,1.4,0,0.0725115359261701,0,0.0444957152274225,0.393869479235333,0.108767303889255,0,0.0576796308503626,0.016479894528675,27.5576796308504,0.294990112063283,0.354317732366513,0.2636783124588,0.332893869479235,1.78312458800264,0.0379037574159525,0.581740276862228,1.28707976268952,0,57.2379696769941,9.57481872116018,0.167280894,100,66.8127883981543
401.1,5982.5,7.5,21761,63087,62178,1.36,0.0385988613335907,0.065939721444884,0.0305574318890926,0.0305574318890926,0.387596899224806,0.127054585223069,0,0,0.114188298111872,28.2833156421886,0.286274888224131,0.28788317411303,0.255717456335038,0.192994306667953,1.76428962012287,0,0.78323522789411,1.21908070378591,0,56.9703110424909,9.16240470906108,0.160827711,100,66.132715751552
401.2,5984,7.51,22132,66443,65481,1.37,0,0.0641407431163238,0.0152716055038866,0,0.326812357783174,0.190895068798583,0.00763580275194331,0,0.0809395091705991,31.4518715352545,0.274888899069959,0.332920999984728,0.287106183473069,0.206166674302469,2.05861242192392,0.172569142193919,0.557413600891862,1.01861608710924,0,54.0996624975184,8.85447687115346,0.163669725,100,62.9541393686718
401.3,5985.5,7.52,22433,68098,66869,1.31,0.0538366059010902,0.101691366702059,0.0089727676501817,0.0179455353003634,0.336478786881814,0.112159595627271,0.0164500740253331,0.0373865318757571,0.0568275284511508,33.0018394173683,0.478547608009691,0.255723878030178,0.352928860907147,0.10468228925212,1.87680390016301,0.0523411446260599,0.838953775291989,1.10365042097235,0,52.5609774334894,8.63180247947479,0.164224543,100,61.1927799129642
401.4,5987,7.51,23178,69499,68533,1.35,0.00875490639545912,0.0671209490318533,0.0335604745159266,0.0160506617250084,0.415858053784308,0.121109538470518,0,0.0218872659886478,0.0875490639545912,32.1013234500168,0.255351436534224,0.29912596851152,0.0977631214159602,0.159047466184174,1.87938657289189,0.141537653393256,0.726657230823107,1.11333226328922,0,53.5917003487371,8.86288357433645,0.165377913,100,62.4545839230736
401.5,5988.3,7.5,23441,70788,69972,1.49,0,0.0800320128051221,0.0328702909735323,0.0357285771451438,0.377293774652718,0.118618876121877,0.022866289372892,0.0485908649173955,0.11433144686446,32.5587377808266,0.393014348596582,0.33299033899274,0.164351454867661,0.270108043217287,1.93648888126679,0,0.505916652375236,1.20619676442005,0.0157205739438633,53.4013605442177,8.38478248442234,0.157014398,100,61.78614302864
401.6,5989.6,7.49,23142,66993,66042,1.33,0,0.0348263226431665,0.0105993155870507,0,0.331607159080585,0.0802519608733836,0.0136276914690651,0.0408830744071954,0.025741194997123,29.1890009387965,0.398231428484904,0.304351776142455,0.308894339965477,0.160503921746767,1.67772023863602,0,0.716210896096424,1.35519820720148,0,56.0930922746131,9.25925925925926,0.16506951,100,65.3523515338724
