"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.987992385766077,-3.29057748681763,9.48720661262688,4.86509082338325,9.91071440635222,8.59450768099901,11.2269211317054,9.89465697518094,8.76068558310995,11.0286283672519
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,-2.03685740656167,-4.3394425072222,9.2206794817005,6.36105409025073,9.17573595317056,7.86025704051962,10.4912148658215,9.18802836220358,7.83219670338736,10.5438600210198
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.729098744489396,-3.03168383541023,10.4199476085342,5.03129705680506,10.0921307413729,8.77525366321355,11.4090078195322,10.0690756572962,8.98944657938231,11.1487047352101
"Bird Island","BI10","BI10.13",519,491,492,491.5,-0.867727753033165,-3.17031285317169,9.8575508967614,5.24858047034423,9.99498827571193,8.6784942759961,11.3114822754278,9.97568020403628,8.86697788089239,11.0843825271802
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.52484007909647,-2.82742517885127,9.74492905252694,3.87295380012497,10.235262331199,8.91771956542128,11.5528050969766,10.2066863264991,9.16977822347773,11.2435944295206
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,0.0552868331360163,-2.24729825891182,10.3759748290375,6.47224559360384,10.6417786818713,9.32168905566878,11.9618683080738,10.5975223894949,9.6810356119865,11.5140091670032
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-0.050870384879016,-2.35345547682088,10.6011333038366,5.09882486729562,10.5673903989714,9.24783922446701,11.8869415734758,10.5260034368783,9.5875969244883,11.4644099492682
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-1.40366021448268,-3.70624529119645,9.5943967832687,4.9273511934466,9.61944060874214,8.30390404665012,10.9349771708341,9.61461829008633,8.39301154333374,10.8362250368389
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.998009585370585,-3.30059468650326,9.69213420221314,5.03567072141488,9.90369498466825,8.58751029771848,11.219879671618,9.88790830903028,8.7518303010059,11.0239863170547
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.118943328035315,-2.42152841652414,9.73713427247931,5.54407373718118,10.5196891738637,9.20046623700902,11.8389121107184,10.4801421597357,9.52764990504141,11.43263441443
