"Location","Site","Section","sample","min_depth","max_depth","midpoint","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","Cu_fit_OLS","Cu_lwr_OLS","Cu_upr_OLS","Cu_fit_WLS","Cu_lwr_WLS","Cu_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-5.82738849989273,-6.736233460185,3.67375208829088,-0.982711391122956,2.55399519039613,1.35907157203753,3.74891880875472,2.56100594894428,1.34439283082621,3.77761906706234
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-5.84549997789854,-6.67706109992704,3.51298415889917,-1.19754654370722,2.51268389839436,1.31763768945892,3.7077301073298,2.52048970971837,1.30083023404616,3.74014918539059
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-5.74841959260654,-6.9614580899633,3.39941893349363,-0.982607700178471,2.73411895428299,1.5395688199063,3.92866908865968,2.73766315704122,1.53418600345767,3.94114031062477
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-5.64822427116742,-7.03568545182421,3.08162662506956,-1.00474976621422,2.96265900937153,1.76820544138964,4.15711257735342,2.96180486493726,1.77464174391864,4.14896798595589
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-5.82872350379399,-7.16151695195839,3.08445908409579,-1.4254009236686,2.55095011942121,1.35601793512149,3.74588230372092,2.55801948161049,1.34118223898128,3.7748567242397
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-5.41083819699978,-6.43181909010473,3.2862844286255,-1.16089708575069,3.50412367746474,2.30821496398668,4.7000323909428,3.49284882318237,2.34267048550063,4.64302716086411
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-5.51301246014287,-6.20433901417114,3.27699586002435,-1.19618118795979,3.27106976444804,2.07607743709452,4.46606209180155,3.26428012840727,2.09847956391308,4.43008069290145
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-5.81860806023624,-6.49595092914663,2.5442626656955,-2.50186808509538,2.57402289362592,1.37915374906382,3.76889203818801,2.58064821080258,1.3655074932354,3.79578892836975
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-5.42448133687524,-6.34482765300802,3.25120980381015,-1.69085807669886,3.4730044206578,2.27724339593956,4.66876544537603,3.4623284692494,2.31009082827622,4.61456611022258
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-5.65710909807635,-6.74665996734392,2.95412827386822,-1.95718194877398,2.94239320452103,1.74794812976781,4.13683827927424,2.94192908382169,1.75333563319908,4.13052253444431
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-5.89921865299249,-6.61741986351269,2.38066240716184,-2.67941045698756,2.39015453485801,1.1946637387198,3.58564533099623,2.4003184740905,1.17155121307652,3.62908573510449
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-5.88664667267094,-6.85673246331918,1.19338356995938,-4.10975328925197,2.41883053523399,1.22345464001329,3.61420643045469,2.42844259306566,1.20181647202014,3.65506871411117
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-5.81601699816722,-6.66468339056054,3.09437038917735,-2.28774967403327,2.57993296467002,1.38507927625724,3.77478665308279,2.58644454010292,1.37173775987709,3.80115132032875
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-5.75912341222957,-6.8209547614097,2.93859825159303,-2.94260666388186,2.70970412641309,1.51511872203361,3.90428953079257,2.71371820255774,1.50847468127398,3.9189617238415
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-5.25819971795207,-5.94869154002132,3.63610180941281,-1.45860284747364,3.85228371037996,2.65419179166625,5.05037562909368,3.83430837331911,2.70658918891398,4.96202755772425
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-5.47546262638988,-6.59145991816902,2.93012729221651,-2.46436185091047,3.35671888409968,2.16144067821673,4.55199708998264,3.34828089558602,2.18827491015147,4.50828688102056
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-5.33999389519485,-5.95603047457184,3.52900141615505,-1.16654220208093,3.66571566005093,2.4689147409337,4.86251657916817,3.65133090171843,2.51171047694868,4.79095132648817
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-5.17124711797248,-6.16509156353822,3.37340392649146,-3.36509765873611,4.05061784119566,2.85084786682638,5.25038781556495,4.02882548235667,2.91340841965076,5.14424254506258
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-5.12744530178846,-6.43156678658987,3.00685054882714,-1.52548771817033,4.1505273912614,2.9497932069994,5.3512615755234,4.12681223211125,3.01745208232027,5.23617238190223
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-5.11052459924036,-6.45570031887793,3.63556871051726,-0.844535011238966,4.18912258948958,2.98799465488711,5.39025052409206,4.1646646499034,3.05761867505108,5.27171062475571
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-5.11385879566402,-5.86634195584542,3.45249206784874,-1.52695679701767,4.18151746957585,2.98046805978721,5.3825668793645,4.15720589364486,3.04970505200664,5.26470673528309
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-5.47256573858987,-7.15464990299274,2.67595324568004,-2.62081843215067,3.36332652693061,2.16802380731803,4.55862924654319,3.35476137161775,2.19519987322568,4.51432287000981
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-5.81249674105412,-6.82066246583849,1.43396273345894,-3.2331029268333,2.5879624788529,1.3931293375631,3.7827956201427,2.59431952298865,1.380201886745,3.80843715923231
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-5.91957381446387,-6.7678042291153,1.70550550024164,-3.1239220267421,2.34372552343125,1.14803463904206,3.53941640782043,2.35478300805113,1.12253672422431,3.58702929187795
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-6.05315778522654,-6.88158295122599,1.3992966767082,-2.52261591886856,2.03902778307221,0.841593276274828,3.2364622898696,2.0559493008059,0.800501842352303,3.3113967592595
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-6.05693934253432,-7.14815285807297,1.49296121522098,-2.87609254484164,2.03040225741865,0.832907534776936,3.22789698006036,2.04748977693494,0.791376397470662,3.30360315639923
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-5.88518236359096,-7.12469152147716,0.964106123583434,-3.60678910889717,2.42217054425835,1.22680760093324,3.61753348758345,2.43171832224503,1.20534120859599,3.65809543589406
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-5.90614648275753,-6.91565338500831,1.68908480824599,-4.83222525231255,2.37435253359283,1.17879558806979,3.56990947911587,2.38482058882754,1.15487095688413,3.61477022077095
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-5.89741752106414,-6.64987497517555,1.39588834556843,-2.81158320434524,2.39426281840074,1.19878889044817,3.58973674635332,2.4043476920297,1.1758875405092,3.63280784355021
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-5.83354806598271,-7.0717010779676,1.25566512117344,-3.52247764675275,2.53994555660778,1.34498179190148,3.73490932131408,2.54722670612658,1.32957893827701,3.76487447397615
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-5.84857472020267,-6.94198619540245,1.11128140245745,-3.9186257556868,2.50567057915474,1.31060219069222,3.70073896761725,2.513611364687,1.29343348731529,3.7337892420587
