"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.294907107530329,0.103894470569376,21.73821403,0.324179306,19.3470331771287,-5.64416097135117,44.3382273256086
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.151673305852069,0.14625889735933,21.04953065,0.452109582,12.7925958431495,-12.128452092286,37.713643778585
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.100002199135581,0.0994817192972235,23.73857998,0.966107219,10.4281048711698,-14.4919663588549,35.3481761011945
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.148614317114332,0.105685745213045,30.35980649,0.744553021,12.6526152676713,-12.2680150945533,37.573245629896
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,0.164028073933858,0.139271202545668,28.7689376,1.015325028,13.3579550825128,-11.5652399598483,38.2811501248738
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,0.247084118141868,0.0792796862963115,10.73581104,0.228115294,17.1586336275984,-7.79814168186786,42.1154089370646
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,0.11202203823333,0.0769411566211582,3.470088908,0.051336491,10.9781376232689,-13.941007743241,35.8972829897788
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,0.0758203244197443,0.0855169697807073,14.31278916,0.159446453,9.3215323960559,-15.6025190985023,34.2455838906141
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,0.117075178568491,0.0576637335116592,25.23019472,0.998221456,11.209371391266,-13.7095934623455,36.1283362448776
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,0.00557758494267895,0.0139351399174266,4.409343496,0.109085804,6.1071959148974,-18.8444450788748,31.0588369086696
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,0.206028814561023,0.149831531545814,17.13305574,0.606510173,15.2799261479729,-9.65608705075701,40.2159393467028
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,0.331891015654587,0.175197074243786,22.17089462,0.341431777,21.0394319358421,-3.98590495825646,46.0647688299407
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,0.192112062050897,0.0598818201610941,20.66172394,0.413234479,14.6430898624639,-10.2877316914411,39.5739114163688
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,0.191040735905836,0.0911772678782276,18.82353425,0.246588299,14.594065539994,-10.3363951420597,39.5245262220478
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.240668828514479,0.153567499451182,20.45548446,0.186144909,16.8650673509977,-8.08792789522356,41.8180625972189
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.273820113957377,0.100082968052506,22.53472619,0.574635518,18.3820837286291,-6.59257872560598,43.3567461828642
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.327662057743336,0.104276994058599,22.63461313,0.371207655,20.8459130925764,-4.17518831032788,45.8670144954807
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.388830280465286,0.251656599438645,34.84930473,0.4460711,23.6449959763951,-1.44566880717079,48.735660759961
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.4216431654954,0.0967117565211939,30.00680597,0.483109576,25.1465270127635,0.0112273411818258,50.2818266843453
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.283340196011742,0.148007978351551,30.61922635,0.814471421,18.8177265762569,-6.16413499665769,43.7995881491715
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.227635787747215,0.138182895360747,22.88497366,0.157906318,16.2686700761972,-8.67725658375319,41.2145967361476
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.255967479949975,0.123512078151071,17.215285,0.129114638,17.5651398963986,-7.39719702634384,42.527476819141
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,0.252807704841902,0.132532108731623,12.67297664,0.01647487,17.4205472954017,-7.53976784299198,42.3808624337954
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,0.20545050217662,0.165034265021313,16.21679654,0.37298632,15.2534623367871,-9.68231649364295,40.1892411672172
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,0.333852696384686,0.144033201404478,25.92994062,0.739003308,21.1291992481948,-3.89813136835335,46.1565298647429
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,0.241912650116801,0.113411846776027,20.04468741,0.567264654,16.9219851361262,-8.03172750735142,41.8756977796039
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,0.396978682529059,0.118758047329333,36.0531191,0.504743667,24.0178701867651,-1.08340344494929,49.1191438184794
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,0.368354791742358,0.121701548698516,32.92937976,0.625658215,22.7080292398807,-2.3573673272236,47.7734258069851
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,0.227722753546108,0.123180140204359,20.28673632,0.730322508,16.2726496667154,-8.67332144554688,41.2186207789777
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,961.955384615385,0.140983448372698,0.0927036809109943,24.33687143,0.484303741,12.303423593745,-12.6163624256507,37.2232096131407
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,977.5775,0.161463653935234,0.129469931990337,17.07719827,0.285189211,13.2406061747686,-11.6820824836669,38.1632948332042
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,1058.64692307692,0.322272546523458,0.209963729925622,24.826568,0.44191291,20.5992868553505,-4.41654060596921,45.6151143166702
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,1151.60416666667,0.126972413494574,0.120224082646524,19.90308814,0.256749837,11.6622729085238,-13.2566963825519,36.5812421995994
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,1233.23666666667,0.0762880113848659,0.0875841658998146,18.26896274,0.575472326,9.34293394281994,-15.5810137498017,34.2668816354416
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,1270.93,0.112459700480836,0.104738095869408,10.8681745,0.236926204,10.9981652266776,-13.9209596180453,35.9172900714004
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,1396.85230769231,0.0763912860381144,0.0952005884014573,15.70363184,0.348620627,9.34765983318223,-15.576265080469,34.2715847468335
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,1480.03461538462,0.0939202010807143,0.111552582046782,9.202783759,0.122397024,10.1497901532127,-14.771015897312,35.0705962037374
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,1611.23,0.150346883252285,0.128094845602098,21.18442756,0.491478719,12.731898202601,-12.1889631080892,37.6527595132913
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,1669.44846153846,0.267707609903351,0.134776589289315,15.49870515,0.173585498,18.1023730436764,-6.86789673282952,43.0726428201823
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,1768.77461538462,0.107658141152036,0.117709043419291,4.023302013,0.0599472,10.7784439084045,-14.1409567730962,35.6978445899053
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,1865.00538461538,0.162981407937172,0.137858540257922,12.28390196,0.234622527,13.3100592185163,-11.6129253020456,38.2330437390781
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,1961.41923076923,0.030724268764835,0.0489388119721653,7.299756414,0.150374982,7.25791844923286,-17.6811077800453,32.196944678511
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,2158.50153846154,0.151365295769813,0.111931716661517,8.233526579,0.141616657,12.7785011758382,-12.1425026645119,37.6995050161884
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,2273.88416666667,0.104929410519302,0.109945277422452,7.965558382,0.084434919,10.6535760788559,-14.2660310731343,35.5731832308461
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,2256.42833333333,0.24097410078785,0.139726091847185,19.53359169,0.455132686,16.8790367350548,-8.07413389229261,41.8322073624023
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,2363.54384615385,0.226870347174899,0.131539915610826,7.558500739,0.287978878,16.2336432026147,-8.71189377814126,41.1791801833706
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,2407.86357142857,0.136125280735285,0.139728442391299,7.439046804,0.184488361,12.0811118561224,-12.8382833942989,37.0005071065437
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,2535.41461538462,0.224830745573825,0.169930644349416,7.303239025,0.077414334,16.1403101993439,-8.80420223590242,41.0848226345902
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,2595.94769230769,0.116286897977122,0.125624976702553,4.662067798,0.062005502,11.1732993490722,-13.7456855304141,36.0922842285585
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,2697.92846153846,0.198806893044576,0.135912053016143,4.800340815,0.12000852,14.9494480662922,-9.98375421809066,39.882650350675
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,2780.0925,0.250139738754321,0.1550995876878,18.92485386,0.140043919,17.2984600762863,-7.66018539264013,42.2571055452127
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,2819.29,0.13160341629265,0.107147999706159,21.81206384,0.163590479,11.8741894902093,-13.0449446566693,36.7933236370879
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,2859.43,0.164874217339213,0.146776134660294,16.08852231,0.061136385,13.3966749507351,-11.5266941541398,38.3200440556099
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,2943.97461538462,0.0844283249851376,0.129407039803854,3.265430798,0.119514767,9.71543802179264,-15.2068723913482,34.6377484349335
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,3049.39,0.0614639269515138,0.0702201638716489,13.37718549,0.291622644,8.66457777749049,-16.2631746009506,33.5923301559316
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,3062.22846153846,0.0726576007481673,0.114173468192441,4.424370634,0.133615993,9.17680486758738,-15.7479763475298,34.1015860827046
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,3116.22307692308,0.0741443051546944,0.11029636478783,3.053481296,0.058016145,9.24483706915263,-15.6795951009337,34.1692692392389
