"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,7135.69230769231,0.00351786609824422,0.00118862015439752,28.74922169,0.311511624,26.1062820055091,-12.1228354100334,64.3353994210515
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,7290.50833333333,0.00569316510073148,0.00190202406237108,39.15988603,0.099160724,52.1420974904949,13.8275598498205,90.4566351311693
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,7450.61818181818,0.00382721713128035,0.00116686027277668,34.66157048,0.4641381,29.8088564134452,-8.41876184465744,68.0364746715479
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,7672.18333333333,0.00427912204538844,0.00118917303273355,25.95749555,0.857134355,35.217636055703,-3.01593324097066,73.4512053523766
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,7821.06363636364,0.00472333175730518,0.00113913903437946,89.58971424,1.243282919,40.5343130195957,2.28547835230227,78.7831476868892
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,8011.50909090909,0.00555955902089445,0.00157918756616275,97.79698974,5.191445766,50.5429870977021,12.2401329536184,88.8458412417858
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,7881.69166666667,0.00530337178070401,0.00226525467894591,46.69505839,0.266664267,47.4767218589558,9.19392060689478,85.7595231110169
"Bird Island","BI10","BI10.13",519,491,492,491.5,8384.23636363636,0.00631059465521871,0.001034011073698,78.63602567,0.631116592,59.5320158130914,21.1525993621487,97.9114322640341
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,8490.03636363636,0.00566448168586993,0.00132213149317018,99.33071721,5.308945902,51.7987901585094,13.4868315734288,90.11074874359
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,8597.97,0.012228992665181,0.0021739544430854,78.85879013,2.91695892,130.36840123776,90.4852440266636,170.251558448857
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,8738.44,0.0167657545377973,0.00420558593395058,273.7512725,0.443798565,184.668198589618,142.636021135535,226.700376043701
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-30.6269230769231,0.00358367333713615,0.00147022964713821,23.13004442,0.161910311,26.893918614273,-11.3345006081278,65.1223378366738
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-1.38846153846154,0.0030714497568857,0.00147975230572796,28.86151963,0.069267647,20.7631942369755,-17.4760695399911,59.0024580139421
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,27.85,0.00372795501894738,0.00165083881583524,28.38931831,0.300926774,28.6208036269565,-9.60680214632716,66.8484094002402
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,56.4453846153846,0.00321885154241811,0.001819067179752,33.07658228,0.588763165,22.5274232858976,-15.7074476887639,60.7622942605592
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,110.519230769231,0.00479068053658961,0.00151801758860524,33.89863255,0.559327437,41.3404000855961,3.0884366357794,79.5923635354128
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,152.406666666667,0.00537572870692116,0.00204074301616624,28.97734663,0.156477672,48.3427506567884,10.0545989431077,86.6309023704691
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,210.763076923077,0.00404414826115397,0.00174481720499346,41.9704529,0.247625672,32.4052713724376,-5.82399745108938,70.6345401959646
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,281.104545454545,0.00545428058296879,0.00120796548120441,61.64578206,1.02948456,49.2829258457795,10.9886863725717,87.5771653189873
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,321.895,0.00552341193631897,0.00161799843563516,43.74139458,0.209958694,50.1103482635688,11.810510754295,88.4101857728426
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,363.2825,0.00346879566553202,0.00183662125566867,34.73791874,0.340431604,25.5189656272078,-12.7108058026044,63.7487370570199
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,382.52,0.00497339358471807,0.00144539315884943,40.88974473,0.249427443,43.5272641453564,5.26573343637078,81.7887948543421
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,493.1425,0.0035364927524932,0.00195766143645879,27.8525667,0.35929811,26.3292215336266,-11.8996774629895,64.5581205302427
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,520.634166666667,0.00490606598467808,0.00104703494389037,16.00316636,0.17603483,42.7214305704392,4.46360871339027,80.9792524274882
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,601.545833333333,0.00401683974683992,0.00140195158402238,36.18123,0.137488674,32.0784200112975,-6.15051848708527,70.3073585096802
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,653.46,0.00397227560614106,0.00130664344294165,35.46679751,0.539095322,31.5450387413407,-6.68343650074968,69.773513983431
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,692.363333333333,0.00504530896443118,0.00144199908842169,35.40585383,0.400086148,44.388008141746,6.12227950117073,82.6537367823213
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,770.521818181818,0.00513257499030033,0.00185495496752542,49.15261573,0.407966711,45.4324816348333,7.16133123675844,83.7036320329082
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,822.286923076923,0.00539150870784255,0.00186721677079799,39.76047449,0.397604745,48.5316190339046,10.2422676991743,86.8209703686349
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,906.45,0.00366066719722762,0.00125144880223118,34.52810771,0.252055186,27.8154461525683,-10.4124163787685,66.0433086839052
