"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-0.261131058258572,-0.0130565529129286,-2.39147121283915,-0.119573560641958,-2.58960726853221,-4.03537700821328,-1.14383752885115,-2.58333494112912,-4.00196443637466,-1.16470544588358
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-0.407347953705563,-0.0203673976852782,-2.35462812833505,-0.117731406416753,-2.67328166550133,-4.11802407236417,-1.2285392586385,-2.66818673260417,-4.09064127826719,-1.24573218694116
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-0.368693450574819,-0.018434672528741,-2.21818807912842,-0.110909403956421,-2.65116115590004,-4.09615470251453,-1.20616760928556,-2.64575496212242,-4.06717614153388,-1.22433378271096
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-0.346309166734949,-0.0173154583367475,-4.23298129337994,-0.211649064668997,-2.63835147719526,-4.08349717833692,-1.1932057760536,-2.63276503658138,-4.05359507869179,-1.21193499447096
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-1.03920421955985,-0.0519602109779923,-4.04320549475842,-0.202160274737921,-3.03486909939461,-4.47759598916262,-1.59214220962659,-3.03486211542209,-4.47643210173977,-1.59329212910441
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-1.21401137401102,-0.0607005687005512,-3.74609388900974,-0.187304694450487,-3.13490461984439,-4.57777058180164,-1.69203865788713,-3.13630525010563,-4.58389056539128,-1.68871993481998
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-1.15569274400594,-0.0577846372002972,-3.96006710124648,-0.198003355062324,-3.10153107444922,-4.54431705993989,-1.65874508895855,-3.10246210074062,-4.54800617128621,-1.65691803019502
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-1.2803930429741,-0.0640196521487051,-4.25277857596899,-0.21263892879845,-3.17289233736027,-4.61589024141265,-1.72989443330788,-3.17482749827266,-4.62477798584579,-1.72487701069953
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-1.08495707578239,-0.0542478537891195,-3.51628593290205,-0.175814296645103,-3.06105172789546,-4.50378583029304,-1.61831762549788,-3.06141316346421,-4.50452758698711,-1.61829873994132
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-0.482527530955856,-0.0241263765477928,-3.70715179135536,-0.185357589567768,-2.71630409305036,-4.16060019075997,-1.27200799534075,-2.71181453493525,-4.13632430977928,-1.28730476009121
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-0.986609126979531,-0.0493304563489765,-3.75841398538625,-0.187920699269312,-3.00477091791059,-4.44751508672358,-1.56202674909761,-3.00434041808614,-4.44416139977233,-1.56451943639994
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-0.907969430960983,-0.0453984715480492,-3.99555104808437,-0.199777552404219,-2.95976839530832,-4.40258941417722,-1.51694737643942,-2.95870465849879,-4.39596343165808,-1.5214458853395
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-1.25819817361574,-0.0629099086807871,-3.51272455965653,-0.175636227982826,-3.16019105339652,-4.60313999627926,-1.71724211051379,-3.16194749271069,-4.61110225024027,-1.71279273518111
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-1.08254093566536,-0.054127046783268,-4.07137724590554,-0.203568862295277,-3.0596690623241,-4.50240226622318,-1.61693585842503,-3.06001104220622,-4.50304337309783,-1.6169787113146
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-1.11289125410978,-0.0556445627054891,-4.33798298463478,-0.216899149231739,-3.0770374012284,-4.51978608259602,-1.63428871986078,-3.07762377351182,-4.52169161997648,-1.63355592704717
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-1.28573081770974,-0.0642865408854871,-4.45300569962765,-0.222650284981383,-3.17594694388024,-4.61895734900217,-1.7329365387583,-3.17792508660145,-4.62806768129749,-1.72778249190542
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-0.940429006391486,-0.0470214503195743,-4.34548617638229,-0.217274308819114,-2.97834378217943,-4.42112567084511,-1.53556189351375,-2.97754142231721,-4.4158500819771,-1.53923276265732
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-0.884381097124167,-0.0442190548562083,-4.69498797071745,-0.234749398535873,-2.94626968434699,-4.38912567343206,-1.50341369526192,-2.94501600522895,-4.38151863315773,-1.50851337730017
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-0.821346366039241,-0.0410673183019621,-4.2946716293321,-0.214733581466605,-2.91019729274328,-4.35317371597663,-1.46722086950994,-2.90843603380121,-4.34294621066403,-1.4739258569384
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-1.28209592778117,-0.0641047963890587,-4.95490007374778,-0.247745003687389,-3.17386683390462,-4.6168686955324,-1.73086497227685,-3.17581570709842,-4.62582745065421,-1.72580396354262
