Site,Site_Section,ID_Sample_No.,Core_section,Sample_ID,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3
HER42PB,HER42PB1D,HER42PB1D_125,D,125,2.2,2.3,1.3,135.77,137.02,136.39,135.77,137.02,136.39,6.7413,2.0331,4.7082,0.8855,NA,84.2,15.8,NA,NA,4.9,1.15,0.18
HER42PB,HER42PB1D,HER42PB1D_126,D,126,2.3,2,1.2,137.08,138.28,137.68,137.08,138.28,137.68,6.1109,1.9786,4.1323,0.831,NA,83.3,16.7,NA,NA,4.3,1.17,0.2
HER42PB,HER42PB1D,HER42PB1D_127,D,127,2.3,2.3,1.2,138.34,139.54,138.94,138.34,139.54,138.94,7.1061,2.2618,4.8443,1.1142,NA,81.3,18.7,NA,NA,4.8,1.25,0.23
HER42PB,HER42PB1D,HER42PB1D_128,D,128,2.1,2.1,1.2,139.61,140.76,140.18,139.61,140.76,140.18,7.0105,2.3665,4.644,1.2189,NA,79.2,20.8,NA,NA,4,1.47,0.31
HER42PB,HER42PB1D,HER42PB1D_129,D,129,2.2,2,1.2,140.82,141.97,141.39,140.82,141.97,141.39,7.2133,2.3315,4.8818,1.1839,NA,80.5,19.5,NA,NA,3.9,1.56,0.3
HER42PB,HER42PB1D,HER42PB1D_130,D,130,2.2,2,1.2,142.03,143.18,142.61,142.03,143.18,142.61,6.9112,2.3267,4.5845,1.1791,NA,79.5,20.5,NA,NA,3.9,1.48,0.3
HER42PB,HER42PB1D,HER42PB1D_131,D,131,2.2,2.1,1.2,143.24,144.39,143.82,143.24,144.39,143.82,7.8153,2.4726,5.3427,1.325,NA,80.1,19.9,NA,NA,4.2,1.6,0.32
HER42PB,HER42PB1D,HER42PB1D_132,D,132,2.2,2,1.2,144.46,145.66,145.06,144.46,145.66,145.06,7.2122,2.1343,5.0779,0.9867,NA,83.7,16.3,NA,NA,4.2,1.46,0.24
HER42PB,HER42PB1D,HER42PB1D_133,D,133,2.2,2,1.2,145.72,146.92,146.32,145.72,146.92,146.32,7.1391,2.0636,5.0755,0.916,NA,84.7,15.3,NA,NA,4.2,1.44,0.22
HER42PB,HER42PB1D,HER42PB1D_134,D,134,2.3,1.8,1.2,146.98,148.18,147.58,146.98,148.18,147.58,6.4263,2.0755,4.3508,0.9279,NA,82.4,17.6,NA,NA,4,1.33,0.23
HER42PB,HER42PB1D,HER42PB1D_135,D,135,2.2,1.9,1.2,148.24,149.39,148.82,148.24,149.39,148.82,6.7601,2.0644,4.6957,0.9168,NA,83.7,16.3,NA,NA,3.8,1.48,0.24
HER42PB,HER42PB1D,HER42PB1D_136,D,136,2.2,2.1,1.2,149.46,150.61,150.03,149.46,150.61,150.03,6.6932,2.0097,4.6835,0.8621,NA,84.5,15.5,NA,NA,4.1,1.36,0.21
HER42PB,HER42PB1D,HER42PB1D_137,D,137,2,2.3,1.3,150.67,151.92,151.3,150.67,151.92,151.3,7.5009,2.1607,5.3402,1.0131,NA,84.1,15.9,NA,NA,4.5,1.4,0.22
HER42PB,HER42PB1D,HER42PB1D_138,D,138,2.2,2,1.1,151.98,153.08,152.53,151.98,153.08,152.53,7.0116,2.2383,4.7733,1.0907,NA,81.4,18.6,NA,NA,3.8,1.54,0.29
HER42PB,HER42PB1D,HER42PB1D_139,D,139,2.2,2.2,1.2,153.15,154.35,153.75,153.15,154.35,153.75,7.7495,2.4029,5.3466,1.2553,NA,81,19,NA,NA,4.5,1.48,0.28
HER42PB,HER42PB1D,HER42PB1D_140,D,140,2,2.1,1.2,154.41,155.61,155.01,154.41,155.61,155.01,6.9723,2.1042,4.8681,0.9566,NA,83.6,16.4,NA,NA,4,1.47,0.24
HER42PB,HER42PB1D,HER42PB1D_141,D,141,2.2,2.1,1.2,155.67,156.82,156.25,155.67,156.82,156.25,7.4913,2.3397,5.1516,1.1921,NA,81.2,18.8,NA,NA,4.2,1.52,0.29
HER42PB,HER42PB1D,HER42PB1D_142,D,142,2.1,2.1,1.1,156.88,157.98,157.43,156.88,157.98,157.43,6.4881,2.1166,4.3715,0.969,NA,81.9,18.1,NA,NA,3.6,1.47,0.27
HER42PB,HER42PB1D,HER42PB1D_143,D,143,2.1,2.2,1.1,158.05,159.15,158.6,158.05,159.15,158.6,7.5368,2.6442,4.8926,1.4966,NA,76.6,23.4,NA,NA,3.9,1.64,0.38
HER42PB,HER42PB1D,HER42PB1D_144,D,144,2,2.2,1.1,159.21,160.31,159.76,159.21,160.31,159.76,7.4945,3.0874,4.4071,1.9398,NA,69.4,30.6,NA,NA,3.8,1.67,0.51
HER42PB,HER42PB1D,HER42PB1D_145,D,145,2,2,1.2,160.37,161.57,160.97,160.37,161.57,160.97,6.9278,2.5118,4.416,1.3642,NA,76.4,23.6,NA,NA,3.8,1.53,0.36
HER42PB,HER42PB1D,HER42PB1D_146,D,146,2,2.1,1.2,161.64,162.84,162.24,161.64,162.84,162.24,7.1784,2.7057,4.4727,1.5581,NA,74.2,25.8,NA,NA,4,1.52,0.39
HER42PB,HER42PB1D,HER42PB1D_147,D,147,1.8,2,1.2,162.9,164.1,163.5,162.9,164.1,163.5,6.755,2.2853,4.4697,1.1377,NA,79.7,20.3,NA,NA,3.3,1.69,0.34
HER42PB,HER42PB1D,HER42PB1D_148,D,148,2.1,2.1,1.2,164.16,165.36,164.76,164.16,165.36,164.76,6.5248,2.0698,4.455,0.9222,NA,82.9,17.1,NA,NA,4.1,1.33,0.23
HER42PB,HER42PB1D,HER42PB1D_149,D,149,2.1,2.2,1.2,165.42,166.62,166.02,165.42,166.62,166.02,7.6923,2.3376,5.3547,1.19,NA,81.8,18.2,NA,NA,4.4,1.5,0.27
HER42PB,HER42PB1D,HER42PB1D_150,D,150,1.9,2,1.2,166.69,167.84,167.26,166.69,167.84,167.26,5.9135,2.0235,3.89,0.8759,NA,81.6,18.4,NA,NA,3.3,1.42,0.26
HER42PB,HER42PB1D,HER42PB1D_151,D,151,2,2,1.1,167.9,169,168.45,167.9,169,168.45,5.5562,1.8811,3.6751,0.7335,NA,83.4,16.6,NA,NA,3.5,1.28,0.21
HER42PB,HER42PB1E,HER42PB1E_152,E,152,2.1,2.2,1.1,160,161.1,160.55,160,161.1,160.55,6.9225,2.1918,4.7307,1.0442,NA,81.9,18.1,NA,NA,4,1.45,0.26
HER42PB,HER42PB1E,HER42PB1E_153,E,153,2.1,2.3,1.2,161.47,162.67,162.07,161.47,162.67,162.07,7.2351,2.2189,5.0162,1.0713,NA,82.4,17.6,NA,NA,4.4,1.4,0.25
HER42PB,HER42PB1E,HER42PB1E_154,E,154,2.2,2,1.2,163.05,164.25,163.65,163.05,164.25,163.65,6.7492,2.0958,4.6534,0.9482,NA,83.1,16.9,NA,NA,4.2,1.35,0.23
HER42PB,HER42PB1E,HER42PB1E_155,E,155,2.3,2.2,1.3,164.62,165.87,165.25,164.62,165.87,165.25,7.7012,2.1996,5.5016,1.052,NA,83.9,16.1,NA,NA,4.9,1.35,0.22
HER42PB,HER42PB1E,HER42PB1E_156,E,156,2.2,2,1.2,166.24,167.44,166.84,166.24,167.44,166.84,6.6376,2.0767,4.5609,0.9291,NA,83.1,16.9,NA,NA,4.1,1.35,0.23
HER42PB,HER42PB1E,HER42PB1E_157,E,157,2.1,2,1.2,167.82,168.97,168.39,167.82,168.97,168.39,6.6747,2.033,4.6417,0.8854,NA,84,16,NA,NA,3.7,1.49,0.24
HER42PB,HER42PB1E,HER42PB1E_158,E,158,2,2.1,1.2,169.34,170.49,169.92,169.34,170.49,169.92,6.8197,1.9777,4.842,0.8301,NA,85.4,14.6,NA,NA,3.8,1.5,0.22
HER42PB,HER42PB1E,HER42PB1E_159,E,159,2.1,2.2,1.2,170.86,172.06,171.46,170.86,172.06,171.46,6.9564,2.2041,4.7523,1.0565,NA,81.8,18.2,NA,NA,4.3,1.37,0.25
HER42PB,HER42PB1E,HER42PB1E_160,E,160,2.1,2.1,1.2,172.44,173.64,173.04,172.44,173.64,173.04,6.642,2.0303,4.6117,0.8827,NA,83.9,16.1,NA,NA,4.2,1.32,0.21
HER42PB,HER42PB1E,HER42PB1E_161,E,161,2,2,1.2,174.01,175.21,174.61,174.01,175.21,174.61,6.2684,2.1188,4.1496,0.9712,NA,81,19,NA,NA,3.7,1.39,0.26
HER42PB,HER42PB1E,HER42PB1E_162,E,162,1.9,2.1,1.2,175.58,176.78,176.18,175.58,176.78,176.18,6.8322,2.1077,4.7245,0.9601,NA,83.1,16.9,NA,NA,3.8,1.51,0.25
HER42PB,HER42PB1E,HER42PB1E_163,E,163,2,2.2,1.2,177.16,178.36,177.76,177.16,178.36,177.76,7.1242,2.03,5.0942,0.8824,NA,85.2,14.8,NA,NA,4.2,1.44,0.21
HER42PB,HER42PB1E,HER42PB1E_164,E,164,2.1,2.2,1.2,178.73,179.93,179.33,178.73,179.93,179.33,6.8111,2.0348,4.7763,0.8872,NA,84.3,15.7,NA,NA,4.3,1.33,0.21
HER42PB,HER42PB1E,HER42PB1E_165,E,165,2,2,1.2,180.3,181.5,180.9,180.3,181.5,180.9,6.3539,1.8873,4.4666,0.7397,NA,85.8,14.2,NA,NA,3.8,1.38,0.2
HER42PB,HER42PB1E,HER42PB1E_166,E,166,2.1,2.2,1.3,181.88,183.13,182.5,181.88,183.13,182.5,6.9913,2.0351,4.9562,0.8875,NA,84.8,15.2,NA,NA,4.5,1.29,0.2
HER42PB,HER42PB1E,HER42PB1E_167,E,167,2,2.1,1.2,183.5,184.65,184.08,183.5,184.65,184.08,6.9904,2.0042,4.9862,0.8566,NA,85.3,14.7,NA,NA,3.8,1.54,0.23
HER42PB,HER42PB1E,HER42PB1E_168,E,168,2.1,2.3,1.3,185.02,186.27,185.65,185.02,186.27,185.65,7.3589,2.0093,5.3496,0.8617,NA,86.1,13.9,NA,NA,4.7,1.31,0.18
HER42PB,HER42PB1E,HER42PB1E_169,E,169,2.1,2.1,1.3,186.65,187.95,187.3,186.65,187.95,187.3,6.9057,2.0989,4.8068,0.9513,NA,83.5,16.5,NA,NA,4.4,1.31,0.22
HER42PB,HER42PB1E,HER42PB1E_170,E,170,2,2.2,1.3,188.32,189.57,188.95,188.32,189.57,188.95,6.9133,1.9543,4.959,0.8067,NA,86,14,NA,NA,4.2,1.36,0.19
HER42PB,HER42PB1E,HER42PB1E_171,E,171,2.1,1.9,1.3,189.94,191.24,190.59,189.94,191.24,190.59,6.5517,1.95,4.6017,0.8024,NA,85.2,14.8,NA,NA,4,1.36,0.2
HER42PB,HER42PB1E,HER42PB1E_172,E,172,2.1,2.2,1.3,191.62,192.87,192.24,191.62,192.87,192.24,7.2631,2.0586,5.2045,0.911,NA,85.1,14.9,NA,NA,4.5,1.35,0.2
HER42PB,HER42PB1E,HER42PB1E_173,E,173,2.1,2.2,1.3,193.24,194.49,193.87,193.24,194.49,193.87,7.1781,1.9805,5.1976,0.8329,NA,86.2,13.8,NA,NA,4.5,1.33,0.18
HER42PB,HER42PB1E,HER42PB1E_174,E,174,2.1,2.4,1.2,194.86,196.06,195.46,194.86,196.06,195.46,6.4116,1.975,4.4366,0.8274,NA,84.3,15.7,NA,NA,4.6,1.15,0.18
HER42PB,HER42PB1E,HER42PB1E_175,E,175,2.1,2.3,1.3,196.44,197.69,197.06,196.44,197.69,197.06,7.2617,2.2999,4.9618,1.1523,NA,81.2,18.8,NA,NA,4.6,1.32,0.25
HER42PB,HER42PB1E,HER42PB1E_176,E,176,2,2.3,1.1,198.06,199.16,198.61,198.06,199.16,198.61,6.4372,2.2485,4.1887,1.1009,NA,79.2,20.8,NA,NA,3.9,1.36,0.28
HER42PB,HER42PB1E,HER42PB1E_177,E,177,2.1,2.4,1.1,199.53,200.63,200.08,199.53,200.63,200.08,6.3647,2.4472,3.9175,1.2996,NA,75.1,24.9,NA,NA,4.3,1.22,0.3
HER42PB,HER42PB1E,HER42PB1E_178,E,178,2.3,2,1.1,201.01,202.11,201.56,201.01,202.11,201.56,6.5058,2.4774,4.0284,1.3298,NA,75.2,24.8,NA,NA,3.8,1.41,0.35
HER42PB,HER42PB1E,HER42PB1E_179,E,179,1.9,1.9,1.1,202.48,203.58,203.03,202.48,203.58,203.03,5.7089,1.7778,3.9311,0.6302,NA,86.2,13.8,NA,NA,3.1,1.46,0.2
HER42PB,HER42PB1E,HER42PB1E_180,E,180,1.8,2,1.2,203.95,205.15,204.55,203.95,205.15,204.55,5.7995,1.9294,3.8701,0.7818,NA,83.2,16.8,NA,NA,3.3,1.4,0.24
HER42PB,HER42PB1E,HER42PB1E_181,E,181,1.9,2.1,1.1,205.53,206.63,206.08,205.53,206.63,206.08,5.6207,1.7954,3.8253,0.6478,NA,85.5,14.5,NA,NA,3.5,1.3,0.19
HER42PB,HER42PB1E,HER42PB1E_182,E,182,1.9,1.8,2,207,209,208,207,209,208,7.9053,2.2718,5.6335,1.1242,NA,83.4,16.6,NA,NA,5.4,1.26,0.21
HER42PB,HER42PB1F,HER42PB1F_183,F,183,1.9,2.1,1.2,200,201.2,200.6,200,201.2,200.6,5.7016,1.9944,3.7072,0.8468,NA,81.4,18.6,NA,NA,3.8,1.21,0.22
HER42PB,HER42PB1F,HER42PB1F_184,F,184,2.2,2.2,1.2,201.38,202.53,201.96,201.38,202.53,201.96,7.1395,2.8999,4.2396,1.7523,NA,70.8,29.2,NA,NA,4.4,1.37,0.4
HER42PB,HER42PB1F,HER42PB1F_185,F,185,2.2,2,1.2,202.71,203.86,203.29,202.71,203.86,203.29,6.6794,2.2697,4.4097,1.1221,NA,79.7,20.3,NA,NA,3.9,1.42,0.29
HER42PB,HER42PB1F,HER42PB1F_186,F,186,2.3,2.1,1.2,204.04,205.19,204.62,204.04,205.19,204.62,6.5899,2.0918,4.4981,0.9442,NA,82.7,17.3,NA,NA,4.2,1.3,0.23
HER42PB,HER42PB1F,HER42PB1F_187,F,187,2.2,2.2,1.2,205.37,206.52,205.95,205.37,206.52,205.95,7.4119,2.5157,4.8962,1.3681,NA,78.2,21.8,NA,NA,4.4,1.43,0.31
HER42PB,HER42PB1F,HER42PB1F_188,F,188,2.3,2.1,1.2,206.7,207.9,207.3,206.7,207.9,207.3,6.4253,1.9191,4.5062,0.7715,NA,85.4,14.6,NA,NA,4.5,1.18,0.17
HER42PB,HER42PB1F,HER42PB1F_189,F,189,2,2.4,1.2,208.08,209.28,208.68,208.08,209.28,208.68,7.0825,2.0175,5.065,0.8699,NA,85.3,14.7,NA,NA,4.6,1.3,0.19
HER42PB,HER42PB1F,HER42PB1F_190,F,190,2.2,2.1,1.3,209.46,210.71,210.09,209.46,210.71,210.09,7.5286,2.1446,5.384,0.997,NA,84.4,15.6,NA,NA,4.5,1.41,0.22
HER42PB,HER42PB1F,HER42PB1F_191,F,191,2.2,2.1,1.3,210.89,212.19,211.54,210.89,212.19,211.54,7.234,2.2986,4.9354,1.151,NA,81.1,18.9,NA,NA,4.7,1.29,0.24
HER42PB,HER42PB1F,HER42PB1F_192,F,192,2.3,2.1,1.2,212.37,213.52,212.95,212.37,213.52,212.95,6.6592,2.1686,4.4906,1.021,NA,81.5,18.5,NA,NA,4.3,1.29,0.24
HER42PB,HER42PB1F,HER42PB1F_193,F,193,2.2,2.1,1.3,213.7,215,214.35,213.7,215,214.35,7.0187,2.2071,4.8116,1.0595,NA,82,18,NA,NA,4.6,1.27,0.23
HER42PB,HER42PB1F,HER42PB1F_194,F,194,2,2.2,1.3,215.18,216.43,215.81,215.18,216.43,215.81,6.7106,1.8994,4.8112,0.7518,NA,86.5,13.5,NA,NA,4.2,1.32,0.18
HER42PB,HER42PB1F,HER42PB1F_195,F,195,2,2,1.2,216.61,217.76,217.19,216.61,217.76,217.19,5.7954,1.7417,4.0537,0.5941,NA,87.2,12.8,NA,NA,3.4,1.35,0.17
HER42PB,HER42PB1F,HER42PB1F_196,F,196,2.2,1.8,1.2,217.94,219.14,218.54,217.94,219.14,218.54,6.103,1.8633,4.2397,0.7157,NA,85.6,14.4,NA,NA,3.7,1.35,0.19
HER42PB,HER42PB1F,HER42PB1F_197,F,197,2,2.4,1.2,219.32,220.52,219.92,219.32,220.52,219.92,7.1665,1.9985,5.168,0.8509,NA,85.9,14.1,NA,NA,4.5,1.35,0.19
HER42PB,HER42PB1F,HER42PB1F_198,F,198,2.3,2.2,1.2,220.7,221.85,221.28,220.7,221.85,221.28,6.8048,1.8865,4.9183,0.7389,NA,86.9,13.1,NA,NA,4.6,1.24,0.16
HER42PB,HER42PB1F,HER42PB1F_199,F,199,2.1,2.4,1.2,222.03,223.23,222.63,222.03,223.23,222.63,7.2853,1.9858,5.2995,0.8382,NA,86.3,13.7,NA,NA,4.7,1.32,0.18
HER42PB,HER42PB1F,HER42PB1F_200,F,200,2.4,1.8,1.2,223.41,224.61,224.01,223.41,224.61,224.01,6.1136,1.7257,4.3879,0.5781,NA,88.4,11.6,NA,NA,4.1,1.22,0.14
HER42PB,HER42PB1F,HER42PB1F_201,F,201,2.3,2.1,1.1,224.79,225.89,225.34,224.79,225.89,225.34,6.3178,1.7612,4.5566,0.6136,NA,88.1,11.9,NA,NA,4.1,1.27,0.15
HER42PB,HER42PB1F,HER42PB1F_202,F,202,2.2,2.2,1.2,226.07,227.27,226.67,226.07,227.27,226.67,7.5164,1.9553,5.5611,0.8077,NA,87.3,12.7,NA,NA,4.5,1.43,0.18
HER42PB,HER42PB1F,HER42PB1F_203,F,203,1.9,2.3,1.3,227.45,228.7,228.08,227.45,228.7,228.08,6.631,1.7379,4.8931,0.5903,NA,89.2,10.8,NA,NA,4.3,1.27,0.14
HER42PB,HER42PB1F,HER42PB1F_204,F,204,2.1,2.3,1.2,228.88,230.08,229.48,228.88,230.08,229.48,6.8058,1.799,5.0068,0.6514,NA,88.5,11.5,NA,NA,4.4,1.3,0.15
HER42PB,HER42PB1F,HER42PB1F_205,F,205,2.1,2.3,1.2,230.26,231.46,230.86,230.26,231.46,230.86,7.0249,1.8274,5.1975,0.6798,NA,88.4,11.6,NA,NA,4.6,1.29,0.15
HER42PB,HER42PB1F,HER42PB1F_206,F,206,2.3,2.2,1.3,231.64,232.94,232.29,231.64,232.94,232.29,7.5972,2.0726,5.5246,0.925,NA,85.7,14.3,NA,NA,5.1,1.28,0.18
HER42PB,HER42PB1F,HER42PB1F_207,F,207,2.3,2.3,1.2,233.12,234.32,233.72,233.12,234.32,233.72,8.2547,2.8891,5.3656,1.7415,NA,75.5,24.5,NA,NA,5,1.43,0.35
HER42PB,HER42PB1F,HER42PB1F_208,F,208,2.2,2.2,1.2,234.5,235.65,235.08,234.5,235.65,235.08,7.8459,2.814,5.0319,1.6664,NA,75.1,24.9,NA,NA,4.4,1.53,0.38
HER42PB,HER42PB1F,HER42PB1F_209,F,209,2.2,2.1,1.1,235.83,236.93,236.38,235.83,236.93,236.38,7.0842,2.7402,4.344,1.5926,NA,73.2,26.8,NA,NA,3.9,1.52,0.41
HER42PB,HER42PB1F,HER42PB1F_210,F,210,2.3,2.2,1.2,237.11,238.26,237.69,237.11,238.26,237.69,7.4522,2.6081,4.8441,1.4605,NA,76.8,23.2,NA,NA,4.5,1.41,0.33
HER42PB,HER42PB1F,HER42PB1F_211,F,211,2.2,2.2,1.1,238.44,239.54,238.99,238.44,239.54,238.99,7.1152,2.4657,4.6495,1.3181,NA,77.9,22.1,NA,NA,4.1,1.46,0.32
HER42PB,HER42PB1F,HER42PB1F_212,F,212,2.2,2.2,1.2,239.72,240.92,240.32,239.72,240.92,240.32,7.7151,2.7011,5.014,1.5535,NA,76.3,23.7,NA,NA,4.5,1.47,0.35
HER42PB,HER42PB1F,HER42PB1F_213,F,213,2.2,2.1,1.2,241.1,242.25,241.68,241.1,242.25,241.68,7.3614,2.6716,4.6898,1.524,NA,75.5,24.5,NA,NA,4,1.56,0.38
HER42PB,HER42PB1F,HER42PB1F_214,F,214,2.2,2.2,1.2,242.43,243.63,243.03,242.43,243.63,243.03,7.4767,2.7442,4.7325,1.5966,NA,74.8,25.2,NA,NA,4.5,1.42,0.36
HER42PB,HER42PB1F,HER42PB1F_215,F,215,2.1,2.1,1.2,243.81,244.96,244.39,243.81,244.96,244.39,7.0114,2.5405,4.4709,1.3929,NA,76.2,23.8,NA,NA,3.9,1.51,0.36
HER42PB,HER42PB1F,HER42PB1F_216,F,216,2,2.2,1,245.14,246.14,245.64,245.14,246.14,245.64,6.1602,2.2918,3.8684,1.1442,NA,77.2,22.8,NA,NA,3.4,1.48,0.34
HER42PB,HER42PB1F,HER42PB1F_217,F,217,2.2,2.3,1.1,246.32,247.42,246.87,246.32,247.42,246.87,7.1362,2.4624,4.6738,1.3148,NA,78,22,NA,NA,4.3,1.4,0.31
HER42PB,HER42PB1F,HER42PB1F_218,F,218,2.2,2.1,1.9,247.6,249.5,248.55,247.6,249.5,248.55,10.3346,3.024,7.3106,1.8764,NA,79.6,20.4,NA,NA,6.7,1.36,0.28
HER42PB,HER42PB1G,HER42PB1G_219,G,219,2.1,2.4,1.2,240,241.2,240.6,240,241.2,240.6,5.8361,2.3182,3.5179,1.1706,NA,75,25,NA,NA,4.8,0.98,0.25
HER42PB,HER42PB1G,HER42PB1G_220,G,220,2.3,2.4,1.4,241.34,242.74,242.04,241.34,242.74,242.04,7.4521,2.658,4.7941,1.5104,NA,76,24,NA,NA,5.9,1.06,0.25
HER42PB,HER42PB1G,HER42PB1G_221,G,221,2.5,2.3,1.2,242.89,244.09,243.49,242.89,244.09,243.49,7.1387,3.1078,4.0309,1.9602,NA,67.3,32.7,NA,NA,5.3,1.13,0.37
HER42PB,HER42PB1G,HER42PB1G_222,G,222,2.3,2.4,1.2,244.23,245.43,244.83,244.23,245.43,244.83,7.8721,3.0635,4.8086,1.9159,NA,71.5,28.5,NA,NA,5.2,1.29,0.37
