"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,3.89287307483287,0.194643653741644,4.5561357035539,0.227806785177695,4.59038696618973,3.58052764557549,5.60024628680396,4.59105430369564,3.58373070071318,5.5983779066781
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,3.77722488126316,0.188861244063158,4.36641684063244,0.218320842031622,4.50261647739387,3.49285439167807,5.51237856310966,4.50280330826473,3.49328524706444,5.51232136946503
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,3.16669371825282,0.158334685912641,4.41825611125441,0.220912805562721,4.03925758739775,3.02827467948549,5.05024049531002,4.03690772257391,3.01409013686915,5.05972530827867
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,3.39428580536553,0.169714290268276,4.41277308151556,0.220638654075778,4.2119872091528,3.20180006745282,5.22217435085279,4.2105829666043,3.19305668886002,5.22810924434857
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,3.58808436789624,0.179404218394812,4.75048291191367,0.237524145595684,4.3590694422272,3.34924080828686,5.36889807616754,4.35847041325172,3.34513849979989,5.37180232670355
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,2.99534890828233,0.149767445414116,4.02738629464842,0.201369314732421,3.90921649242227,2.89736792861042,4.92106505623411,3.90615470711329,2.87909645483038,4.9332129593962
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,3.52463463256781,0.17623173162839,4.26308549424532,0.213154274712266,4.31091465388296,3.3010009889228,5.32082831884311,4.31005199762653,3.29537861862945,5.32472537662362
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,3.51562916272619,0.175781458136309,4.22954356265997,0.211477178132998,4.304080007656,3.29415172188102,5.31400829343098,4.30317993457639,3.28831364736029,5.31804622179249
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,3.68041214140093,0.184020607070046,4.38318300353866,0.219159150176933,4.42914104092497,3.41937986854199,5.43890221330796,4.42892562458017,3.41749013951846,5.44036110964189
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,3.78966692022255,0.189483346011127,4.37286207921166,0.218643103960583,4.51205928672253,3.50229176431448,5.52182680913058,4.51229781301629,3.50302087130572,5.52157475472686
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,4.08160113113431,0.204080056556715,4.61991954902129,0.230995977451065,4.73362096959059,3.72337828446511,5.74386365471607,4.73507245322515,3.73110386827169,5.7390410381786
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,3.65885624684759,0.18294281234238,4.37065565207022,0.218532782603511,4.41278132666591,3.40301037315276,5.42255228017905,4.4124763477431,3.40060401259835,5.42434868288786
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,3.5082988139383,0.175414940696915,5.4783978067488,0.27391989033744,4.29851668430181,3.28857602900374,5.30845733959987,4.29758615435883,3.28256238165699,5.31260992706067
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,3.41703486813857,0.170851743406929,4.97716138611071,0.248858069305536,4.22925247113058,3.21912262750093,5.23938231476022,4.22794274865425,3.21092374036653,5.24496175694197
