"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm_cv","RMSEP_ppm_boot","RMSEP_ppm_boot_sd","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","Rank","Recommended_CI","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,60.5787104774056,5.28700680476254,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,7,"Log-normal % CI",142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,0.0829833982179688,0.701125595375304,0.118572842695004,0.27910289070828,7,0.502742483059667,0.66372153923012,FALSE,0,0,0.243531037899779,0.243531037899779,NA,7,"RF",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,60.5787104774056,5.28700680476254,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,8,"Log-normal % CI",131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,0,0.651944596393486,0,0.195583378918046,8,0.502742483059667,0.66372153923012,FALSE,0,0,0.195583378918046,0.195583378918046,NA,8,"RF",FALSE,"Unstable","Low confidence","Unstable","Low confidence"
"Ti","Bayes",0.769067236846491,0.591446999353038,0.623668660505259,1783.30513592537,2175.20269035076,2160.24662753634,678.539986335789,495.052856787575,523.780752631662,3392.06646739343,8.13964971656281,145.1547914418,1,"Bootstrap predictive CI",2136.84030349143,6140.791272153,1.19824715380669,0.658891574121819,5.250857290592,0.870815320764271,0.521667229229369,1,0.804826297074519,1,0.671527282088629,0.795280268418731,FALSE,0.948543874181804,1,0.78938945932906,0.804826297074519,NA,1,"Bayes",TRUE,"Preferred 1","High confidence","Stable","High confidence"
"Ti","PLS_LOO",0.754035431978301,0.610392701137588,0.641872967170071,2029.36926987965,2537.30386853136,2442.28425216607,721.459027702275,NA,NA,3392.06646739343,8.40035634529776,170.474250231858,3,"Bootstrap predictive CI",2133.88133038419,6414.01219915502,1.05149977485898,0.64176020813951,5.76961477414703,0.84022078378288,0.709777257806518,0.702408109193344,0.75974392361311,2,0.655646926889098,0.779810353260142,FALSE,0.42931359312351,0.596743521362934,0.67781556879216,0.728044547263987,NA,2,"Bayes",FALSE,"Acceptable 2","High confidence","Stable","High confidence"
"Ti","RF",0.756832566591894,0.606912052672566,0.609044942817076,1564.13335357282,1585.29746044422,1692.64345582933,222.06135387904,NA,NA,3392.06646739343,8.33529338721705,130.375103987612,2,"Bootstrap predictive CI",2184.67851862918,6513.04143260543,1.39673418103316,0.619847631357715,5.36671081667037,0.801087585566202,0.56367763060617,0.757784332195116,0.716873623066866,3,0.67310103767453,0.787160415438426,FALSE,1,0.788338637521843,0.789538323408332,0.726039914664885,NA,3,"Bayes",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,2123.67445314434,2183.23509730289,418.899208076447,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,4,"Log-normal % CI",2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,0.843547945918634,0.977311079632154,0.22519296680845,0.698170392299635,4,0.656221008716905,0.779132874677105,FALSE,0.44808399624468,0.57908359078499,0.765037701130504,0.804337579492597,NA,4,"Bayes",FALSE,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,2183.23509730289,418.899208076447,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,8,"Log-normal % CI",2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,0.82894040320553,1,0,0.631576161282212,5,0.656221008716905,0.779132874677105,FALSE,0.44808399624468,0.57908359078499,0.766001360155616,0.805301238517709,NA,5,"Bayes",FALSE,"Unstable","Moderate confidence","Acceptable","Moderate confidence"
"Ti","PLS_kfold",0.722585439792273,0.648242771227545,0.66229125012325,3631.23527201128,4038.49868709091,4119.50022982683,1500.18974924516,NA,NA,3392.06646739343,8.92125719463223,323.951837958329,7,"Bootstrap predictive CI",2281.88665811464,7489.50975894848,0.628405070776574,0.731228345246699,3.81223766390282,1,0,0.0797774455728799,0.423933233671864,6,0.642516621127862,0.756917796944312,FALSE,0,0,0.4,0.4,NA,6,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,2183.23509730289,418.899208076447,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,5,"Log-normal % CI",2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,0.0172605060070091,0.957161794787446,0.210661448677743,0.35725117544236,7,0.656221008716905,0.779132874677105,FALSE,0.44808399624468,0.57908359078499,0.428477939712441,0.467777818074535,NA,7,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,2183.23509730289,418.899208076447,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,6,"Log-normal % CI",2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,0,0.953538808895254,0.205485411130937,0.347707266007857,8,0.656221008716905,0.779132874677105,FALSE,0.44808399624468,0.57908359078499,0.42048684154198,0.459786719904073,NA,8,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
