"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-1.60983178671317,-0.0804915893356586,-0.522962128445841,-0.0261481064222921,-0.652506059151715,-1.6098686071711,0.304856488867667
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-1.56274075005999,-0.0781370375029994,-0.85152324103048,-0.042576162051524,-0.619436768275965,-1.57608880711425,0.337215270562318
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-1.45777251464604,-0.0728886257323022,-0.834872189495013,-0.0417436094747507,-0.545723693425165,-1.50094994501208,0.409502558161753
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-1.46896126604374,-0.0734480633021872,-0.868254933647315,-0.0434127466823657,-0.553580901522578,-1.50894872421712,0.401786921171962
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-0.808726451588255,-0.0404363225794127,-0.675089100293886,-0.0337544550146943,-0.0899364656116686,-1.04123353228434,0.861360601061007
"Bird Island","BI10","BI10.7",271,265,266,265.5,-1.34939693162533,-0.0674698465812664,-1.0624297162087,-0.053121485810435,-0.469617836908651,-1.42360168379274,0.484366009975438
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-1.90666297531279,-0.0953331487656396,-1.24282001602113,-0.0621410008010566,-0.860953305473522,-1.82379725661664,0.101890645669597
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-1.37556930068007,-0.0687784650340037,-0.965024247450171,-0.0482512123725085,-0.487997166536775,-1.44225962905024,0.466265295976687
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-1.69805615328075,-0.0849028076640374,-0.823093714574025,-0.0411546857287013,-0.714460890637777,-1.67327227645753,0.244350495181972
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-1.20971588322972,-0.0604857941614861,-0.800335517311577,-0.0400167758655788,-0.37152797634255,-1.3242561448197,0.581200192134598
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-1.13119827628587,-0.0565599138142934,-0.418561877151963,-0.0209280938575981,-0.316389636492082,-1.26858338715428,0.635804114170113
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-1.52428766272787,-0.0762143831363935,0.466268781425607,0.0233134390712804,-0.592433405843712,-1.54853778887987,0.36367097719245
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-1.6468521170297,-0.0823426058514848,-0.82227201065795,-0.0411136005328975,-0.678503279823872,-1.636455118669,0.279448559021253
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-1.8605401388839,-0.0930270069441949,-0.66781418703356,-0.033390709351678,-0.828563925194745,-1.79044319789213,0.133315347502644
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-1.47679982717422,-0.0738399913587111,-0.850266852403121,-0.0425133426201561,-0.559085466223079,-1.51455395102478,0.396383018578624
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-1.48354057600683,-0.0741770288003417,-1.07607256113967,-0.0538036280569834,-0.563819101320301,-1.51937512568038,0.391736923039784
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-1.47261786472363,-0.0736308932361813,-0.80025272548609,-0.0400126362743045,-0.55614871769217,-1.511563346298,0.399265910913655
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-1.29196717247463,-0.0645983586237314,-0.929929239053656,-0.0464964619526828,-0.429288263697816,-1.38270864110148,0.524132113705849
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-1.4847283364397,-0.0742364168219849,-0.933624429347335,-0.0466812214673668,-0.564653196257185,-1.52022473906592,0.390918346551553
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-1.51342531437259,-0.0756712657186293,-0.607315347682704,-0.0303657673841352,-0.584805411582296,-1.54076039531144,0.371149572146844
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-1.39295693987926,-0.069647846993963,-0.913551579714184,-0.0456775789857092,-0.500207492305459,-1.45466260038702,0.454247615776105
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-0.514468914720238,-0.0257234457360119,0.545367649623619,0.027268382481181,0.116703455075069,-0.835599559262739,1.06900646941288
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-1.16835019398795,-0.0584175096993973,-0.794781232463849,-0.0397390616231924,-0.342479263317038,-1.29491048304332,0.609951956409243
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-1.63865558811979,-0.0819327794059894,-0.90044728384786,-0.045022364192393,-0.672747335211961,-1.63056637288449,0.285071702460564
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-1.11070240023519,-0.0555351200117593,0.323449153636797,0.0161724576818399,-0.301996577110844,-1.25407116908349,0.650078014861802
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-1.31645182357595,-0.0658225911787975,-0.446250503892303,-0.0223125251946152,-0.446482407356705,-1.40013496321357,0.507170148500159
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-1.31662483188022,-0.0658312415940109,-0.441857772089684,-0.0220928886044842,-0.446603901006969,-1.40025814002978,0.507050338015846
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,-1.34682240290772,-0.0673411201453858,-1.19860049241476,-0.059930024620738,-0.467809895417414,-1.42176707322033,0.486147282385502
