"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER1","CAT1.1B",59,79.6,81,80.3,80.3,0.7,3110,3445,3253,3259,168,0.03404,0.00205,86.9,13.1,0.66,91.2,4.56,52.72,4.56,5.3192,3.3723,0.9322,0.3379,0.2311,0.0115,0.0086,74.4
"Kerguelen","KER1","CAT1.1B",60,81.2,82.6,81.9,81.9,0.7,3141,3490,3301,3306,175,0.03478,0.00213,88.94,11.06,0.55,93.02,4.65,53.77,4.65,4.8466,3.1115,1.0039,0.3479,0.2407,0.0121,0.0091,75.3
"Kerguelen","KER1","CAT1.1B",61,82.8,84.2,83.5,83.5,0.7,3164,3577,3346,3352,207,0.03404,0.00238,87.5,12.5,0.62,92.59,4.63,53.52,4.63,4.9627,3.2381,1.0442,0.3617,0.2541,0.0123,0.0095,77.2
"Kerguelen","KER1","CAT1.1B",62,84.4,85.8,85.1,85.1,0.7,3182,3691,3387,3399,255,0.03478,0.00289,87.93,12.07,0.6,92.57,4.63,53.51,4.63,5.3192,3.5319,0.926,0.3275,0.2338,0.0114,0.0091,79.7
"Kerguelen","KER1","CAT1.1B",63,86,87.4,86.7,86.7,0.7,3234,3725,3434,3445,246,0.02394,0.0019,87.96,12.04,0.6,92.03,4.6,53.2,4.6,5.8137,3.9301,0.9216,0.3084,0.2239,0.0074,0.0059,80.5
"Kerguelen","KER1","CAT1.1C",70,87.7,89.1,88.4,88.4,0.7,3262,3841,3504,3516,290,0.03478,0.00314,87.71,12.29,0.61,93.02,4.65,53.77,4.65,5.5637,4.1449,0.9725,0.3258,0.259,0.0113,0.01,88.5
"Kerguelen","KER1","CAT1.1C",71,89.3,90.7,90,90,0.675,3282,3910,3548,3562,314,0.0375,0.00359,87.61,12.39,0.62,93.71,4.69,54.17,4.69,4.6735,3.5145,1.0768,0.3789,0.3039,0.0142,0.0128,89.8
"Kerguelen","KER1","CAT1.1C",72,90.8,92.2,91.5,91.5,0.7,3325,3934,3591,3602,305,0.03636,0.00335,86.83,13.17,0.66,92.9,4.65,53.7,4.65,5.5637,4.2562,1.0798,0.3485,0.284,0.0127,0.0115,90.7
"Kerguelen","KER1","CAT1.1C",73,92.4,93.7,93.1,93.1,0.65,3350,3971,3639,3646,311,0.03659,0.00337,86.53,13.47,0.67,93.59,4.68,54.1,4.68,5.3984,4.1892,1.1048,0.3614,0.2985,0.0132,0.0121,91.8
"Kerguelen","KER1","CAT1.1C",74,93.9,95.2,94.6,94.6,0.65,3376,4017,3683,3687,321,0.03659,0.00343,87.47,12.53,0.63,93.57,4.68,54.09,4.68,5.0521,3.9634,1.0864,0.3633,0.3032,0.0133,0.0123,92.8
"Kerguelen","KER1","CAT1.1C",75,95.4,96.7,96.1,96.1,0.65,3431,4044,3723,3728,307,0.03488,0.0031,88.19,11.81,0.59,94.85,4.74,54.82,4.74,5.1663,4.1072,1.0891,0.3507,0.2964,0.0122,0.0114,93.4
"Kerguelen","KER1","CAT1.1C",76,96.9,98.3,97.6,97.6,0.7,3483,4065,3767,3771,291,0.03556,0.003,87.89,12.11,0.61,93.79,4.69,54.22,4.69,5.688,4.5817,1.0006,0.3229,0.2763,0.0115,0.0108,94
