Section,position,Ca,Ca_SD,Ti,Ti_Sd,Mn,Mn_SD,Fe,Fe_SD,Sr,Sr_SD,Zr,Zr_SD,inc,inc_SD,coh,coh_SD,
MI1I,597,180,10,1280,20,0,0,10050,70,150,40,20,30,66520,60,9600,400,
MI1I,598,260,40,1340,60,10,20,10590,30,300,200,120,30,67300,700,9700,100,
MI1I,599,190,10,1070,30,14,9,8520,60,150,50,30,40,66800,300,9690,40,
MI1I,600,260,10,1090,30,2,4,8298,6,180,40,20,30,66900,500,9600,200,
MI1I,601,210,10,1090,80,0,0,8200,100,200,100,190,50,66700,700,9700,500,
MI1I,602,190,20,980,30,0,0,8100,20,300,100,60,60,66500,200,9600,400,
MI1I,603,190,20,1127,1,6,8,8600,50,220,10,30,40,66800,300,9500,200,
MI1I,604,216,8,1160,20,0,0,9600,100,300,200,90,100,67300,200,9700,400,
MI1I,605,180,30,940,50,6,8,8630,60,200,100,80,100,67420,60,9700,300,
MI1I,606,140,10,890,30,18,2,8220,50,260,20,80,100,68000,1000,9870,40,
MI1I,607,130,30,670,20,0,0,6520,40,90,40,100,200,67500,500,9670,90,
MI1I,608,150,20,630,50,0,0,6120,60,110,9,70,100,68600,400,9510,30,
MI1I,609,140,20,676,0,0,0,6370,20,300,100,66,4,69300,40,9930,70,
MI1I,610,180,20,765,1,0,0,7056,8,130,90,60,9,70000,20,9700,300,
MI1I,611,204,4,870,20,10,20,8100,80,220,50,80,40,68900,500,9800,100,
MI1I,612,129,3,781,8,0,0,7910,10,200,100,140,70,69050,90,9700,100,
MI1J,1124,260,10,1230,40,0,0,4730,80,436,7,390,60,55400,500,8500,200,
MI1J,1125,220,20,990,10,0,0,5300,80,480,50,400,200,56700,100,8720,60,
MI1J,1126,330,50,1646,2,8,10,6700,100,600,300,340,40,58829,6,9100,100,
MI1J,1127,490,20,2410,90,10,20,9000,100,580,30,310,40,64800,500,9900,400,
MI1J,1128,340,30,1640,40,6,8,5520,30,400,100,200,300,67100,200,9900,100,
MI1J,1129,290,30,1170,50,7,10,4200,40,300,10,240,50,67600,200,10000,400,
MI1J,1130,284,9,1330,20,2,4,5010,6,310,20,470,90,68100,300,10020,80,
MI1J,1131,200,20,1150,20,3,4,4580,50,190,30,271,1,68700,900,10000,200,
MI1J,1132,185.5,7,1000,60,0,0,3970,80,202,8,190,30,69380,40,10300,200,
MI1J,1133,160,10,1140.5,7,8,10,3650,70,300,100,200,80,68700,300,9920,60,
MI1J,1134,200,20,900,20,10,10,2970,60,100,100,300,100,68400,700,9800,100,
MI1J,1135,194,1,830,30,10,7,3130,50,100,100,300,10,70100,500,10010,90,
MI1J,1136,184,4,970,40,0,0,3600,50,250,20,190,80,70500,300,10100,200,
MI1J,1137,174,9,1030,30,0,0,5050,90,220,40,300,100,69000,800,10000,300,
MI1J,1138,230,10,1210,40,0,0,5300,200,300,100,250,70,69000,600,9870,20,
MI1J,1139,160,10,1190,20,2,3,5300,200,300,100,300,100,68200,900,10100,100,
MI1J,1140,210,10,1195,4,0,0,5160,90,310,60,200,300,68800,500,9960,70,
MI1J,1141,293,8,1250,20,4,6,6300,100,240,30,240,70,67400,300,9900,200,
MI1J,1142,280,20,1403,4,9,10,6800,100,360,90,220,10,65900,100,9510,60,
MI1J,1143,360,60,1676,2,16,3,7830,30,430,20,300,100,60200,200,8900,200,
MI1J,1144,560,40,1680,40,2,3,7830,50,320,20,400,100,54700,600,8330,90,
MI1J,1147,694,0,2580,30,33,7,11580,40,900,50,750,60,45480,80,7780,60,
MI1J,1148,714,8,2440,10,10,20,9740,30,830,80,740,40,41900,600,7500,200,
MI1J,1149,310,40,2240,20,4,5,8940,60,1214,4,800,30,41980,90,7510,80,
MI1J,1150,558,5,3080,20,20,10,14880,20,1270,20,860,50,40500,200,7786,4,
MI1J,1151,1000,3,4700,200,20,9,16850,60,1460,80,1000,100,38940,90,7880,70,
MI1J,1152,849,4,5390,70,20,10,19600,200,1600,30,960,30,38700,800,7600,200,
MI1J,1153,990,10,5510,30,30,20,22400,200,1470,50,1000,70,39300,400,7700,70,
MI1J,1154,1190,40,6470,60,34,8,24200,200,1570,40,900,20,38700,500,7610,30,
MI1J,1155,1600,100,7000,100,30,30,23700,80,1900,200,980,90,39090,90,7800,200,
MI1J,1156,1780,20,8400,100,50,30,28700,200,1710,10,930,40,36900,200,7700,200,
MI1J,1157,1940,80,9800,100,41,4,31300,300,1980,70,1030,60,37000,300,7840,4,
MI1J,1158,1688,2,9400,100,30,20,30410,30,1640,80,890,80,36500,500,7600,100,
MI1J,1159,1945.5,7,9160,20,40,10,28900,100,2070,30,900,200,34900,200,7200,200,
MI1J,1160,2290,20,9800,300,60,9,28880,70,2080,40,844,8,32350,80,7070,10,
MI1J,1161,2680,20,8760,50,102,2,29240,20,2200,100,990,40,29100,300,6900,100,
MI1J,1162,2510,30,7360,50,70,10,24200,200,2340,40,900,100,26224,9,6600,100,
MI1J,1163,3143,7,8700,100,167.5,7,30210,4,2390,40,1020,60,25300,200,6400,100,
MI1J,1164,2400,20,7100,200,120,10,25220,20,2300,100,940,70,26300,200,6400,100,
MI1J,1165,2900,100,8290,90,110,6,32200,500,2440,10,960,40,27000,100,6700,200,
MI1J,1166,2950,10,8100,100,140,20,33181,8,2580,80,980,60,29000,600,7200,100,
MI1J,1167,2600,100,7810,10,100,30,29600,200,2400,100,860,30,30900,300,7180,30,
MI1J,1168,2010,40,7410,80,80,30,23800,200,2150,20,860,40,32200,700,7200,200,
,Mean cps,238,,812,,6,,7156,,239,,173,,67574,,9776,,
,Mean cps +/- SD,439,,1704,,18,,7148,,447,,236,,9592,,763,,Sample population = 2
,Mean cps +/- SE,310,,1205,,12.6,,5054,,316,,167,,6782,,539,,Sample population = 2
,Mean cps +/- %SE,131,,148,,207,,70.6,,132,,96.6,,10.04,,5.52,,Sample population = 2
,Mean SD,,28,,39,,4,,174,,99,,96,,651,,249,Sample population = 374
,Mean SE,,1.4,,2.0,,0.2,,9.0,,5.1,,5.0,,33.6,,12.9,Sample population = 374
,Mean % SD err,,11.8,,4.8,,64.7,,2.4,,41.6,,55.5,,0.96,,2.54,Sample population = 374
,Mean %SE,,0.6,,0.2,,3.3,,0.1,,2.2,,2.9,,0.05,,0.13,Sample population = 374
,Min,48,0,6,0,0,0,540,0,0,0,0,0,25300,4,6400,1,
,Max,3143,300,9800,500,167.5,40,46200,7000,2580,2000,1030,2000,75500,8000,10700,5000,
,n (repeats),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
,n (measurements),374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,
