depth	min	max	median	wmean
260	4006.1	5319.9	4583.2	4593.7
261	4014.2	5341.8	4601.9	4613.4
262	4024.7	5375.4	4619.9	4633
263	4031.5	5404.8	4636.5	4652.6
264	4039.3	5436.7	4653.5	4672
265	4050.3	5455.5	4675.3	4691.4
266	4063.6	5474.9	4695.2	4710.5
267	4073.8	5496.4	4717.3	4730.1
268	4085.4	5517.8	4735.9	4748.9
269	4094.7	5546.6	4757.2	4767.9
270	4103.5	5585.3	4776.4	4787.1
271	4111.5	5622.2	4792.7	4805.5
272	4123.1	5660	4813.1	4825.1
273	4133.2	5677.5	4832.5	4844.6
274	4148.8	5701.1	4853.8	4864
275	4159.5	5724.1	4875.3	4883.3
276	4168.6	5745.3	4896.2	4902.6
277	4178.3	5772.4	4915.1	4921.6
278	4187.1	5803.9	4936.2	4940.7
279	4196.1	5834.4	4956.2	4959.9
280	4201	5870.9	4974.4	4978.7
281	4215.4	5887.9	4997.4	4998.2
282	4225.4	5907.8	5017.6	5017.7
283	4237.3	5932.2	5037.6	5037.7
284	4245.4	5955.8	5059.2	5056.8
285	4257.8	5983.9	5079.4	5076.9
286	4272.2	6019	5101.2	5097
287	4282.9	6059.7	5120.3	5116.4
288	4290.6	6105.6	5139.9	5135.8
289	4302.8	6120.1	5161.4	5156.1
290	4312.3	6140.3	5183.1	5175.3
291	4322.3	6161.1	5204.5	5195.4
292	4338.2	6187.1	5224	5216.4
293	4348.5	6207.7	5242.7	5236.1
294	4355.2	6236.1	5258.8	5255.7
295	4365.6	6267	5277.1	5275.2
296	4375.9	6296.5	5297.1	5295.7
297	4412.1	6322.6	5338.9	5339.2
298	4445.7	6349.2	5384.9	5383.6
299	4478.9	6376.7	5437.9	5428.2
300	4510.3	6403.5	5492.4	5472.3
301	4534.3	6445.5	5538.7	5516.4
302	4560.1	6493.8	5584	5560.6
303	4588	6552.9	5628.3	5604.7
304	4606.8	6614.7	5669.8	5648.8
305	4724.5	6633.6	5732.7	5716.1
306	4824.6	6659.1	5800.3	5784.9
307	4896.7	6688.7	5866.4	5853.8
308	4944.1	6714.1	5939.7	5922.3
309	4988.3	6754	6019	5990.9
310	5033.8	6800.3	6099.5	6060
311	5078	6851.3	6180	6128.8
312	5123.7	6925.7	6254.5	6197.1
313	5311.7	6945	6316	6270.5
314	5501.5	6963.1	6379.9	6344.4
315	5682.1	6980.8	6441.3	6418.1
316	5857.7	6998.5	6508.1	6491.9
317	6024.5	7019.5	6579.4	6566.1
318	6147.7	7048.7	6656.3	6640
319	6238.2	7094.5	6735.9	6714.6
320	6311.3	7165.6	6812.6	6788
321	6544.7	7201.1	6899.7	6890.7
322	6759.8	7244.1	6987.2	6993.8
323	6925.1	7298.2	7084.1	7097.6
324	6992.9	7437.2	7189.3	7201.9
325	7036.4	7620.3	7292.4	7305.6
326	7065.1	7830.4	7380.6	7408.2
327	7087.4	8064.5	7468.3	7511.9
328	7103.3	8302	7556.6	7614.5
