"Location","Site","Section","sample","min_depth","max_depth","midpoint","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Isla Hermite","HER42PB","HER42PB_1F",211,238.4,239.5,239,-3.90600937024524,-6.41354274276517,5.35396994184868,0.0556525753006418,5.15064343252688,4.40039116517884,5.90089569987493
"Isla Hermite","HER42PB","HER42PB_1F",213,241.1,242.3,241.7,-3.83353620558944,-4.74790975407825,5.31236219951462,-1.95206802692786,5.1800587969137,4.42972051322881,5.93039708059858
"Isla Hermite","HER42PB","HER42PB_1G",224,246.9,248.1,247.5,-4.69762871065721,-6.27964999530687,4.98873899768367,1.04625678437039,4.82934145179428,4.07935010331141,5.57933280027715
"Isla Hermite","HER42PB","HER42PB_1G",231,256.4,257.6,257,-4.63931929736509,-6.18227381826565,5.28040139826097,0.87408207137687,4.8530080413149,4.10303991321731,5.60297616941249
"Isla Hermite","HER42PB","HER42PB_1G",232,257.7,258.9,258.3,-4.57071622159181,-5.73368909670996,5.13777851716181,0.217897586470738,4.8808526163588,4.13090316613588,5.63080206658171
"Isla Hermite","HER42PB","HER42PB_1G",236,263.2,264.4,263.8,-4.31361936680588,-5.66547244085487,5.14522793339927,-0.00466942782956201,4.98520293281248,4.23524035978183,5.73516550584312
"Isla Hermite","HER42PB","HER42PB_1G",240,268.6,269.8,269.2,-4.60925329070443,-5.88464931426894,5.22044871643946,1.09770467958223,4.86521121397584,4.11525242171729,5.61517000623439
"Isla Hermite","HER42PB","HER42PB_1G",245,275.2,276.4,275.8,-4.51338551293651,-5.64767800867355,5.22209737850423,0.626877523470812,4.90412196983135,4.15418096190104,5.65406297776165
"Isla Hermite","HER42PB","HER42PB_1G",253,285.8,286.9,286.3,-3.86004443540171,-5.79142014400285,5.23644389367915,0.4205526761784,5.1692996525755,4.41899403852917,5.91960526662184
"Isla Hermite","HER42PB","HER42PB_1H",260,285,286.2,285.6,-4.0216719010823,-5.7849794049707,5.26476931152298,-0.449063498563672,5.10369839422709,4.35356182863594,5.85383495981825
"Isla Hermite","HER42PB","HER42PB_1H",264,290.3,291.5,290.9,-4.57167858966572,-5.81352570675323,5.17572858684227,-0.0833680666394441,4.88046201098503,4.13051236336136,5.63041165860871
"Isla Hermite","HER42PB","HER42PB_1H",269,297,298.2,297.6,-4.19738581938952,-6.06421068466685,5.23833976299513,-0.258428542691107,5.03237973497729,4.28236815694204,5.78239131301253
"Isla Hermite","HER42PB","HER42PB_1H",273,302.3,303.5,302.9,-4.59499715462389,-6.08042476206016,5.06026399040885,-0.23805337613919,4.87099748589523,4.12104249315654,5.62095247863392
"Isla Hermite","HER42PB","HER42PB_1H",278,309.3,310.6,309.9,-4.10221158801145,-5.72939581099711,5.12506762195143,-0.214071738670926,5.07100899464212,4.3209373230609,5.82108066622334
"Isla Hermite","HER42PB","HER42PB_1H",281,313.5,314.8,314.2,-3.88924197076632,-6.05441594176955,5.34318829338769,0.587195217253658,5.15744897452072,4.40717773232416,5.90772021671728
"Isla Hermite","HER42PB","HER42PB_1H",286,320.5,321.8,321.1,-4.29943134487138,-6.33274112604994,5.26026487715558,0.468765113226304,4.99096155860333,4.24099444076402,5.74092867644264
"Isla Hermite","HER42PB","HER42PB_1I",301,332.1,333.3,332.7,-4.61172794781008,-6.00610459231391,5.23302201135047,0.704812866577583,4.86420680164142,4.11424730874552,5.61416629453731
"Isla Hermite","HER42PB","HER42PB_1I",303,334.9,336.2,335.6,-4.38092631632022,-6.04231168415942,5.13754934684211,0.861682908393722,4.95788442871331,4.2079379713965,5.70783088603012
"Isla Hermite","HER42PB","HER42PB_1I",312,347.6,348.8,348.2,-4.30951650974804,-6.03723798852435,5.14778652195482,0.15695385525731,4.98686819796209,4.23690435174518,5.736832044179
"Isla Hermite","HER42PB","HER42PB_1I",317,354.3,355.4,354.9,-3.43701553363393,-5.38658931045896,5.45174011807119,0.660240353808929,5.34099836824153,4.59000527485699,6.09199146162608
"Isla Hermite","HER42PB","HER42PB_1I",320,358.3,359.6,358.9,-3.52958888598084,-5.05509612226713,5.36346345511039,0.247467644887838,5.30342475179017,4.5526123798828,6.05423712369754
"Isla Hermite","HER42PB","HER42PB_1I",322,361,362.2,361.6,-3.07779021335293,-5.24481281637153,5.56665132343003,0.856120621826596,5.48680052471174,4.73494585032416,6.23865519909933
"Isla Hermite","HER42PB","HER42PB_1J",335,369.7,370.8,370.2,-3.51867759327829,-5.45337642897856,5.4910596274632,0.34116226621828,5.30785342069543,4.55702062897581,6.05868621241505
"Isla Hermite","HER42PB","HER42PB_1J",340,376.7,377.9,377.3,-4.52656731345452,-6.11267472880898,5.43687997435676,1.32028980347576,4.89877174858251,4.14882937723424,5.64871411993078
"Isla Hermite","HER42PB","HER42PB_1J",342,379.6,380.9,380.3,-4.34462895416866,-5.41922942507974,5.55643935797871,1.009538080049,4.9726167801849,4.22266274921203,5.72257081115778
"Isla Hermite","HER42PB","HER42PB_1J",346,385.3,386.5,385.9,-3.99788316946965,-5.68669855224533,5.01185432211293,0.52890176860749,5.11335375027522,4.36319555531803,5.86351194523241
"Isla Hermite","HER42PB","HER42PB_1J",349,389.6,390.9,390.2,-3.46965175045635,-4.93513410372679,5.14215822127037,0.409154663984942,5.32775200022935,4.57682455343848,6.07867944702021
"Isla Hermite","HER42PB","HER42PB_1J",352,394,395.2,394.6,-3.77176255527306,-5.30213288878595,5.21737663819127,-0.00397968746159918,5.20513144886963,4.45471162873026,5.955551269009
"Isla Hermite","HER42PB","HER42PB_1J",353,395.4,396.6,396,-3.72312235181389,-5.36000939252018,5.4548734241333,0.371667437243581,5.22487350533143,4.4743841628442,5.97536284781867
"Kerguelen","KER1","CAT1-S1-1A",1,0,1.4,0.7,-4.32475260231762,-5.47351541423175,4.92752091756339,1.85672615181643,4.9806841818936,4.23072489532791,5.73064346845929
"Kerguelen","KER1","CAT1-S1-1A",3,3.1,4.7,3.9,-3.30551272959163,-4.68755456206281,5.14768757386669,2.15601590320393,5.39437264708204,4.64309371010267,6.1456515840614
"Kerguelen","KER1","CAT1-S1-1A",5,6.4,7.8,7.1,-3.30205859479186,-4.01390094746203,5.04266029354866,1.50894549544396,5.39577460923256,4.64448770366291,6.14706151480221
"Kerguelen","KER1","CAT1-S1-1A",7,9.3,10.6,9.9,-4.6950745925835,-6.08797234469612,4.17969722173075,0.793631398730637,4.83037811569852,4.08038792567076,5.58036830572628
"Kerguelen","KER1","CAT1-S1-1A",8,10.7,12,11.4,-3.6728507068999,-4.27814506291727,4.96598854381959,1.65564854943454,5.24527773026756,4.49471160847416,5.99584385206096
"Kerguelen","KER1","CAT1-S1-1A",9,12.1,13.6,12.8,-4.4392882307699,-4.5575762419298,4.29379140139575,0.914953789364664,4.9341965300545,4.1842567664675,5.68413629364151
"Kerguelen","KER1","CAT1-S1-1A",11,15.1,16.5,15.8,-4.82749388868934,-5.7642850004764,4.19960516048835,0.194913529924231,4.77663185161169,4.02656453558671,5.52669916763667
"Kerguelen","KER1","CAT1-S1-1A",13,18,19.4,18.7,-5.80853211229162,-6.15321327189509,3.34323167546116,-1.65903821442658,4.3784486487433,3.62672764577953,5.13016965170706
"Kerguelen","KER1","CAT1-S1-1A",17,24,25.5,24.7,-4.29081657848025,-5.40056684247827,4.73961955289527,1.33319759592975,4.99445811479355,4.24448804243251,5.74442818715459
"Kerguelen","KER1","CAT1-S1-1A",20,28.6,30,29.3,-5.30658913946609,-5.85255645029751,4.1734096486412,0.744986297659174,4.58217696000427,3.83154005669017,5.33281386331836
"Kerguelen","KER1","CAT1-S1-1A",23,33,34.4,33.7,-2.98365516222219,-3.75300777631441,5.14356253417404,1.5024092766817,5.52500800252416,4.77288547169097,6.27713053335735
"Kerguelen","KER1","CAT1-S1-1A",25,35.9,37.2,36.6,-3.15184365683705,-4.54012457061365,4.24212282828025,0.652387380980545,5.45674375770661,4.7050875302396,6.20839998517362
"Kerguelen","KER1","CAT1-S1-1A",26,37.3,38.7,38,-3.32397268246355,-4.71125645486598,4.86948388369066,1.49249097197769,5.38688013253724,4.63564338270278,6.1381168823717
"Kerguelen","KER1","CAT1-S1-1A",27,38.8,40.1,39.4,-3.06091212712609,-4.49689489046857,4.88195297672773,1.3466647125039,5.49365099217611,4.74174957604657,6.24555240830565
"Kerguelen","KER1","CAT1-S1-1A",28,40.2,41.6,40.9,-3.19279837894282,-4.2048157034975,4.47721176336419,1.07378454451455,5.44012107978405,4.68856995889691,6.19167220067119
"Kerguelen","KER1","CAT1-S1-1B",36,45.1,46.2,45.6,-2.92328047212909,-4.79415064014409,5.21231622310062,1.98876747741482,5.5495128453479,4.79720934064148,6.30181635005432
"Kerguelen","KER1","CAT1-S1-1B",40,50.7,52.1,51.4,-3.26950257955763,-4.44706141074709,4.84740727482237,1.00793985235354,5.40898842507248,4.65762525631614,6.16035159382882
"Kerguelen","KER1","CAT1-S1-1B",41,52.3,53.6,53,-2.7012724756541,-4.16964585722302,5.14353574555259,1.83428993819435,5.63962131714038,4.88659073641005,6.3926518978707
"Kerguelen","KER1","CAT1-S1-1B",46,59.9,61.2,60.5,-4.78471708599328,-5.49259540617064,4.33270035602076,0.659162653545354,4.79399407450597,4.04395547841245,5.54403267059948
"Kerguelen","KER1","CAT1-S1-1B",49,64.4,65.8,65.1,-5.32388865025541,-5.64885610926055,3.54530030860516,-0.0270185241517416,4.57515544499249,3.82448946651835,5.32582142346663
"Kerguelen","KER1","CAT1-S1-1B",51,67.6,68.9,68.3,-5.68777618241925,-6.28041788096795,3.87074465554362,-1.21799065018036,4.42746099277345,3.6760462581699,5.17887572737701
"Kerguelen","KER1","CAT1-S1-1B",57,76.5,77.9,77.2,-6.51097616396035,-6.45854412344292,4.26103587895191,-0.36572045435112,4.0933410804548,3.33926988472974,4.84741227617986
"Kerguelen","KER1","CAT1-S1-1C",69,86.1,87.5,86.8,-5.84084397729364,-6.30295154006853,4.04143999956154,-0.194372612753821,4.36533392845247,3.61352609794208,5.11714175896286
"Kerguelen","KER1","CAT1-S1-1C",73,92.4,93.7,93.1,-6.12388021500315,-6.01568852203396,3.95854497480659,-0.00911003867754613,4.2504553508929,3.49779909597442,5.00311160581138
"Kerguelen","KER1","CAT1-S1-1C",80,103.1,104.5,103.8,-6.42599630177923,-6.43816271176975,3.59719041508339,-2.14613639563284,4.1278326556947,3.37409721354838,4.88156809784102
"Kerguelen","KER1","CAT1-S1-1C",86,112.2,113.6,112.9,-6.66465665739683,-6.42855490133393,4.18563224565495,-0.541327749697456,4.03096533441074,3.2762511508574,4.78567951796408
"Kerguelen","KER1","CAT1-S1-1C",93,122.9,124.1,123.5,-6.90942826457943,-6.68851025588854,4.35756618917752,-1.81451666300031,3.93161758202518,3.17578435629084,4.68745080775951
"Kerguelen","KER1","CAT1-S1-1D",105,130.3,131.4,130.8,-5.55206470501734,-5.8638602477305,4.35835444934548,-0.555501890626936,4.48254348542035,3.73143860196896,5.23364836887174
"Kerguelen","KER1","CAT1-S1-1D",108,134.6,135.8,135.2,-6.31514037782617,-6.18844816878588,4.24929113110277,-0.632055507358403,4.17282679128962,3.41950810949461,4.92614547308464
"Kerguelen","KER1","CAT1-S1-1D",110,137.6,138.8,138.2,-6.23958901860099,-6.54038498810886,3.98801767607498,-0.126670214148855,4.20349153143286,3.45044309302388,4.95653996984184
"Kerguelen","KER1","CAT1-S1-1D",114,143.4,144.6,144,-5.94368954299537,-6.18480086309209,4.38111625065007,0.00195637604779455,4.32359103223629,3.57149314581777,5.07568891865482
"Kerguelen","KER1","CAT1-S1-1D",117,147.8,148.9,148.4,-4.74226013823197,-5.16826982354587,4.69742712211146,0.801284362409764,4.81122647487212,4.06121279318107,5.56124015656317
"Kerguelen","KER1","CAT1-S1-1D",119,150.7,151.8,151.3,-6.13090359915737,-6.02725027975918,4.30934207756106,-0.334918905065573,4.24760470396578,3.49492539313991,5.00028401479165
"Kerguelen","KER1","CAT1-S1-1D",123,156.5,157.7,157.1,-5.64766285286209,-6.19061740900141,4.49002991795554,0.836967632120722,4.44374216679554,3.69242280370368,5.1950615298874
"Kerguelen","KER1","CAT1-S1-1D",124,158,159.2,158.6,-5.95917863920457,-6.41206363863511,4.26858756715499,-0.879844633638024,4.31730432720306,3.5651609523732,5.06944770203292
"Kerguelen","KER1","CAT1-S1-1E",132,161.5,162.7,162.1,-6.09162465409299,-6.4599721778377,4.93582334456757,-0.214514681076934,4.26354721851286,3.51099560581223,5.0160988312135
"Kerguelen","KER1","CAT1-S1-1E",137,168.8,170,169.4,-5.78882065449422,-6.3865879394148,4.26929091798623,-0.148052610735855,4.38644912335289,3.63478007780611,5.13811816889967
"Kerguelen","KER1","CAT1-S1-1E",144,179,180.2,179.6,-5.63784286173305,-6.39355324032122,3.83358244373305,-0.317815581779144,4.44772789887593,3.69643139929625,5.19902439845561
"Kerguelen","KER1","CAT1-S1-1E",145,180.4,181.6,181,-4.35205100486641,-4.38471778753824,3.57158720706362,-0.458680710525404,4.96960432272139,4.21965205313446,5.71955659230833
