"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,345.5,54.1156169695958,76.74575589,1.991003144,26.8989234262709,13.2750794904729,40.5227673620688
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,215.85,81.7855185997593,33.30735274,0.338289287,15.7031005523508,2.26035918912772,29.1458419155739
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,226.545454545455,92.2912386268205,17.29854042,0.049507222,16.626698042879,3.17453226889636,30.0788638168616
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,134.4,42.7400410752155,24.79954461,0.187662858,8.66955043217506,-4.73445070252602,22.0735515668761
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,151.363636363636,37.1032956144673,9.040037779,0.114474506,10.1344317898678,-3.27280899901786,23.5416725787534
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,217.583333333333,63.7601447661944,19.75221569,0.192516402,15.8527811769668,2.40858054652018,29.2969818074134
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,41.1666666666667,51.9384834261269,2.860665218,0.027058096,0.618459911965687,-12.8131626893607,14.0500825132921
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,269.25,77.7830607873883,7.991640436,0.149589066,20.314415179943,6.81466359562688,33.8141667642592
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,239.090909090909,82.298790447314,18.03152781,0.074044402,17.7100508154491,4.2455545849543,31.174547045944
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,167.818181818182,71.7660340019123,10.38688508,0.082678757,11.5553510060649,-1.85746303491535,24.9681650470452
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,6161.61818181818,209.181818181818,78.2199695497488,11.60935571,0.11557168,15.1272750025825,1.68990169904929,28.5646483061158
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,6233.21818181818,232.636363636364,59.4580065714833,11.06017577,0.081390222,17.1526736643442,3.69469319959616,30.6106541290923
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,6633.50909090909,147.636363636364,40.0606358593388,14.40052097,0.07942808,9.81256611106074,-3.59374467813262,23.2188769002541
