"Site","depth","SH20_mean_age","SH20_mean_95CI","K","K_ICP","Ca","Ca_ICP","Ti","Ti_ICP","Mn","Mn_ICP","Fe","Fe_ICP","Zn","Zn_ICP","Rb","Rb_ICP","Sr","Sr_ICP","Zr","Zr_ICP","Mo_inc","Mo_coh","inc_coh","coh_inc","Dry_mass","Ti_predicted"
"BI10",477.5,6978,441,21.1666666666667,6175.999603,262.25,9855.628818,103.166666666667,3509.410749,46,115.4337622,9028.25,13189.89932,18.6666666666667,35.42302354,83,30.35980649,827.166666666667,245.5928888,837.75,55.86097273,38904.9166666667,5975.08333333333,6.51251556352867,0.153578193189394,24.08,2695.37578757316
"BI10",491.5,7600,600,17.2727272727273,790.4601626,305.909090909091,7012.381581,72.4545454545455,307.9839209,40.0909090909091,64.82600414,14940.0909090909,19102.04921,56.3636363636364,94.75874646,68.7272727272727,3.470088908,813.363636363636,131.8281488,709.818181818182,7.181000574,35579.7272727273,5895.09090909091,6.03513247835222,0.165775222059842,20.23,2420.18142172445
"BI10",495.3,7780,589,26.7272727272727,3163.380594,346.727272727273,9040.006112,109.090909090909,1347.461524,51,87.95481953,20218.4545454545,17067.4608,34.2727272727273,57.03901807,46.3636363636364,14.31278916,826.363636363636,224.4453244,670.545454545455,28.83560184,34173,5605.90909090909,6.09310645382194,0.164327659169191,23.11,2567.23768095881
"BI10",499.2,7965,603,54.8,6266.517708,495.9,11396.20863,167.4,2883.518514,120.7,169.8695081,32461.8,32079.57549,169.1,47.08824283,88.2,25.23019472,1238.5,262.4737246,658.3,49.62591564,30715.8,5547,5.5384849477478,0.181211009456814,27.05,3636.58350036633
"BI10",504.5,8096,608,37.9,1326.826528,555.3,7680.69076,91.7,440.1427786,67.6,77.40139067,31490.9,40180.34818,296.1,160.9095737,4.4,4.409343496,1130.4,198.8915063,631.5,8.837063052,33134.3,5557.3,5.96205532533205,0.167993663405533,18.25,2860.11732092771
"HER42PB",2.8,-58,12,69.2857142857143,5443.67845,441.857142857143,15948.18938,148.142857142857,1607.114721,119.714285714286,407.4375349,7603.42857142857,14682.28264,22.8571428571429,42.19689147,123.428571428571,17.13305574,675.571428571429,204.6688961,680.142857142857,8.791484806,31968.4285714286,5356.71428571429,5.96938572501382,0.167590926857068,20.52,2211.08196966506
"HER42PB",5.6,-51,23,76,5975.780316,482.285714285714,16588.68048,157,1837.980819,154.142857142857,366.7929674,10177.8571428571,16189.75967,0.375,35.42095591,156.857142857143,22.17089462,1007.57142857143,214.4801797,652.142857142857,9.110923126,28922.4285714286,5319.57142857143,5.43927447296275,0.183999063807584,28.42,3022.96389917649
"HER42PB",8.4,-44,33,114.714285714286,5333.453521,559.714285714286,15380.19155,211,1832.527324,145.428571428571,315.5650704,25766,16934.94085,14.5714285714286,31.93149296,125.285714285714,20.66172394,1022.14285714286,191.8197183,578.571428571429,8.621791549,27171.1428571429,5221.57142857143,5.20683413034176,0.192187451338734,70.39,3196.04214163515
"HER42PB",11.2,-24,45,107.142857142857,5207.184,637,15558.14641,291.142857142857,1580.648497,157.857142857143,291.4015196,19232.2857142857,17138.00234,0.375,27.71352621,155.428571428571,18.82353425,919.285714285714,198.4859127,781.285714285714,8.287638868,30279.8571428571,5440.42857142857,5.56645999036342,0.179760078469108,24.25,3207.42015156012
"HER42PB",16.6,40,119,72.4285714285714,5837.940234,338.428571428571,17669.83951,89.2857142857143,1819.746676,80.2857142857143,318.8457154,4260.57142857143,13667.24784,1.14285714285714,28.93439766,115.428571428571,20.45548446,817.428571428571,217.6036906,695.285714285714,10.6404829,30612.2857142857,5399,5.67165761870067,0.176368679541489,28.09,2457.35377058714
"HER42PB",20.8,88,164,71.8571428571429,6956.874444,379.428571428571,21182.64262,181.142857142857,2092.551562,136.285714285714,343.7990278,7323.71428571429,11986.74089,3.42857142857143,27.00122448,133.714285714286,22.53472619,1071.85714285714,287.7800097,672.714285714286,20.13391113,26951.8571428571,5034.42857142857,5.35649387272073,0.18676836987703,32.86,3501.87670007588
"HER42PB",26.4,152,177,89.4285714285714,5864.826617,545.571428571429,16828.03623,266.428571428571,2256.103454,149,382.915235,7554.14285714286,14179.20706,18,36.91192497,127.428571428571,22.63461313,1007.71428571429,192.0094569,647.142857142857,11.10116946,26567.4285714286,4950.28571428571,5.36897401637984,0.186331493834922,31.48,3473.04128188185
"HER42PB",33.4,231,182,119.166666666667,8871.994311,444.833333333333,23025.53265,205.5,3140.602681,141.333333333333,585.3572459,17545.5,35487.97724,13.3333333333333,47.90043877,214.333333333333,34.84930473,1003.66666666667,237.2807242,559.666666666667,16.78597985,21620,4560.16666666667,4.73921707700219,0.211144706632251,40.47,3333.97787910611
"HER42PB",37.4,279,179,153.714285714286,7746.307975,703.285714285714,19806.58483,322,2780.927179,185.285714285714,509.8802514,13981.4285714286,25321.34917,9.71428571428571,42.59030524,202.714285714286,30.00680597,1057.71428571429,201.9638553,670.714285714286,18.09041528,24532.2857142857,4836.85714285714,5.07489128782646,0.197354673411826,36.82,3594.98201871377
"HER42PB",41.5,328,164,88.5,8706.157013,441.166666666667,23961.57686,292.666666666667,2482.596033,140.166666666667,510.7720501,20058.5,30348.25974,2.5,44.27594323,172.833333333333,30.61922635,832,256.1176349,638.166666666667,12.6893661,26534.3333333333,5003.83333333333,5.3068268133608,0.188708828148677,41.37,3357.72137036014
"HER42PB",54.3,477,127,73.3333333333333,4618.995032,413,16479.65741,166.5,1575.735639,108,285.4554922,6598.16666666667,13872.977,4.5,30.62449678,122.166666666667,17.215285,818.333333333333,199.578966,649.666666666667,9.92564195,30065,5239.16666666667,5.73912234671247,0.174285190557314,24.3,2721.43938144352
