"Location","Site","Section","sample","min_depth","max_depth","midpoint","Rb","Rb_sd","Rb_ICP","Rb_ICP_sd","Rb_fit_OLS","Rb_lwr_OLS","Rb_upr_OLS","Rb_fit_WLS","Rb_lwr_WLS","Rb_upr_WLS"
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,-0.728857045422678,-0.0364428522711339,-2.40033488518447,-0.120016744259224,-2.8724075027751,-4.30931489400037,-1.43550011154984,-2.86957439271293,-4.29177615812678,-1.44737262729907
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-0.569289602204072,-0.0284644801102036,-2.19700068700445,-0.109850034350223,-2.78402319321425,-4.22159710656419,-1.34644927986431,-2.77979983401851,-4.19619768412641,-1.36340198391062
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,-0.590663280850775,-0.0295331640425387,-2.35088975737249,-0.117544487868624,-2.79586206079187,-4.23333175019097,-1.35839237139277,-2.79182492215353,-4.20898408779217,-1.3746657565149
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,-0.841219832778666,-0.0420609916389333,-2.40180999705014,-0.120090499852507,-2.93464518221944,-4.37123792982481,-1.49805243461406,-2.93279104546545,-4.35924528559939,-1.5063368053315
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,-0.719684519992177,-0.0359842259996088,-2.45599072744756,-0.122799536372378,-2.86732684652874,-4.30426556943551,-1.43038812362197,-2.86441381981643,-4.28627445788481,-1.44255318174806
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,-0.87226815948547,-0.0436134079742735,-2.25317822234387,-0.112658911117194,-2.95184283146197,-4.38837119524093,-1.515314467683,-2.95025920671489,-4.37791242937191,-1.52260598405786
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,-0.703682527470352,-0.0351841263735176,-2.47886052214155,-0.123943026107078,-2.85846335262227,-4.29545877518964,-1.42146793005491,-2.85541090676662,-4.2766786104119,-1.43414320312134
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,-0.556827914894161,-0.0278413957447081,-2.19114657093565,-0.109557328546783,-2.77712067220725,-4.21475748442089,-1.33948385999361,-2.77278873917191,-4.1887450217335,-1.35683245661032
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.586039235536156,-0.0293019617768078,-2.30769421714245,-0.115384710857123,-2.79330080490993,-4.230792650724,-1.35580895909585,-2.78922337876141,-4.2062174152943,-1.37222934222853
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,-0.681010744034633,-0.0340505372017316,-2.4402230316909,-0.122011151584545,-2.84590546559306,-4.28298565990117,-1.40882527128495,-2.84265548929735,-4.26308787186115,-1.42222310673355
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,-0.403857085306365,-0.0201928542653183,-2.6312225143778,-0.13156112571889,-2.69239022291663,-4.13092702039392,-1.25385342543934,-2.68672551447921,-4.09740065654009,-1.27605037241833
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,-1.78590054621315,-0.0892950273106575,-2.70943675051457,-0.135471837525728,-3.45790325371696,-4.89690998204719,-2.01889652538673,-3.46427975296776,-4.93171661324762,-1.9968428926879
