"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","KER1","WLS_weighted",2523,8612.8305688864,4810.54345293707,91044.5216746843,0.052837264279622,0.000471520679947397,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00384096488678577,0.993825358305678,0.399834722254343,8,"Marginal"
"Ca","KER3","OLS_weighted",2000,6929.60011628761,2850.52629603518,11865.8233108174,0.240229963093797,0.000960819586332564,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,0.976233190453279,0.973926706010544,0.975310596676185,1,"Stable"
"Ca","KER3","OLS",2000,7307.47310664866,2907.92704381854,14717.2059434183,0.197586896249081,0.000942254380051319,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.77346126646194,0.932956955461597,0.837259542061802,2,"Stable"
"Ca","KER3","Bayes",1739,8790.34321420576,3460.79839225225,14230.0373132729,0.243203746839387,0.000593900528355073,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.990373820953032,0.164208674911761,0.659907762536524,3,"Acceptable"
"Ca","KER3","PLS_LOO",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,0.000519490313939327,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,1,0,0.6,4,"Acceptable"
"Ca","KER3","PLS_kfold",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,0.000519490313939327,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,1,0,0.6,5,"Acceptable"
"Ca","KER3","RF",1739,8072.79592334449,2586.14469446502,12492.5229148559,0.207015405302128,0.000564827326867087,0.7,0.7,FALSE,4,0.7,0.818294742628607,0.100049850356961,0.530996785719949,6,"Acceptable"
"Ca","KER3","WLS_weighted",2000,7392.36329969694,2820.87475149484,78148.2245403915,0.0360964662739951,0.000971585458947964,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00555858930506898,0.997684864622563,0.402409099432067,7,"Marginal"
"Ca","KER3","WLS",2000,7396.02526284447,2817.84336265569,80676.94684287,0.0349274913457476,0.000972634549198093,0.3,0.3,FALSE,8,0.308444560944566,0,1,0.4,8,"Marginal"
"Ca","PB1","RF",930,28354.4803088602,16903.2777594128,43878.1059698234,0.385232620820912,0.000341925373407462,0.7,0.7,FALSE,4,0.7,0.827911316173358,1,0.896746789704015,1,"Stable"
"Ca","PB1","PLS_LOO",930,26016.0371741661,16267.2343263315,42458.2350324681,0.383134963426808,0.000339425733066382,0.812251917349835,0.863390475772702,FALSE,2,0.837235427150408,0.822418141305426,0.982831217658744,0.886583371846753,2,"Stable"
"Ca","PB1","PLS_kfold",930,26016.0371741661,16267.2343263315,42458.2350324681,0.383134963426808,0.000339425733066382,0.812251917349835,0.863390475772702,FALSE,3,0.837235427150408,0.822418141305426,0.982831217658744,0.886583371846753,3,"Stable"
"Ca","PB1","Bayes",930,26886.6038264908,17330.5961294262,43524.7369021779,0.398178079016924,0.00028810163030577,0.893979184949795,0.90286449739367,FALSE,1,0.89337836429761,0.861811831012461,0.630311563260533,0.76921172391169,4,"Stable"
"Ca","PB1","OLS_weighted",970,27360.2382187574,21632.6896885983,47971.6411185266,0.450947459461497,0.000196333199693836,0.682931997255936,0.682931997255936,FALSE,5,0.682931997255936,1,0,0.6,5,"Acceptable"
"Ca","PB1","OLS",970,27724.7788492419,21481.064067992,56626.8005435383,0.379344477558395,0.000200006794371442,0.602394248790927,0.602394248790927,FALSE,6,0.612277417462477,0.812491924675323,0.0252320889502739,0.497587990385303,6,"Marginal"
"Ca","PB1","WLS_weighted",970,26695.1575574388,20151.5413130683,282441.802896564,0.071347587738095,0.000216309287528219,0.302167567694534,0.302167567694534,FALSE,7,0.310714594767109,0.00593467690114087,0.137205780536496,0.058443118355283,7,"Unstable"
"Ca","PB1","WLS",970,26659.6362260705,20104.930594342,291032.742754723,0.0690813356739247,0.000216927768973039,0.3,0.3,FALSE,8,0.308444560944566,0,0.141453820998042,0.0565815283992168,8,"Unstable"
"Fe","ALL","OLS_weighted",14519,15756.8906271743,17745.5706044317,26305.9766538876,0.674583226386664,3.77959583073471e-05,0.685764682948298,0.685764682948298,FALSE,1,0.685764682948298,1,0.742789853177484,0.897115941270993,1,"Stable"
"Fe","ALL","RF",13396,19101.04240858,16899.9809921232,43942.7615453961,0.384590781229447,4.04466669539799e-05,0.502337918930422,0.502337918930422,FALSE,5,0.502337918930422,0.505844797326056,1,0.703506878395634,2,"Acceptable"
"Fe","ALL","OLS",14519,16489.7914089335,17477.4542318397,50727.5899499971,0.344535473675517,3.83459852233895e-05,0.470285041923846,0.470285041923846,FALSE,6,0.490537268119636,0.437589437736436,0.79616143138217,0.581018235194729,3,"Acceptable"
"Fe","ALL","Bayes",13396,20039.3503092571,21079.6068331299,49770.6178813076,0.423535164530212,3.29801397973113e-05,0.513819534327551,0.586904388293669,FALSE,2,0.562584151391753,0.572207111049672,0.275489387088756,0.453520021465305,4,"Marginal"
"Fe","ALL","WLS_weighted",14519,16225.1661371414,16654.3372974163,181108.83229552,0.0919576206545299,4.02274106465872e-05,0.302875896815167,0.302875896815167,FALSE,7,0.321781097623359,0.00718974203791843,0.978724577260547,0.39580367612697,5,"Marginal"
"Fe","ALL","WLS",14519,16230.5950256377,16672.7990888321,190028.62119965,0.0877383574304587,4.01831768454211e-05,0.299887612617911,0.299887612617911,FALSE,8,0.318856979630259,0,0.974432373171306,0.389772949268523,6,"Marginal"
"Fe","ALL","PLS_LOO",13396,19736.9429343488,23037.6123237105,50988.4215852367,0.451820464479349,3.01410523451525e-05,0.524930387654866,0.583802835934084,FALSE,3,0.539037995940333,0.620406049892652,0,0.372243629935591,7,"Marginal"
"Fe","ALL","PLS_kfold",13396,19736.9429343488,23037.6123237105,50988.4215852367,0.451820464479349,3.01410523451525e-05,0.524930387654866,0.583802835934084,FALSE,4,0.539037995940333,0.620406049892652,0,0.372243629935591,8,"Marginal"
"Fe","BI10","OLS_weighted",5017,20519.7953664731,17402.2900964142,34234.6694181385,0.508323591031786,0.000255688721444451,0.685764682948298,0.685764682948298,FALSE,1,0.685764682948298,1,0.864590719212758,0.945836287685103,1,"Stable"
"Fe","BI10","OLS",5017,21361.6317087794,17035.7338836164,65690.3835348874,0.259333755823924,0.00026863051350664,0.470285041923846,0.470285041923846,FALSE,6,0.490537268119636,0.437023640782447,0.921117490789207,0.630661180785151,2,"Acceptable"
